종목,시세,등락률,시가총액(억),거래량(백만)
일진하이솔루스271940,"25,000",1.21%,"9,078","27,240"
,300300,,,
세아베스틸지주001430,"25,050",1.01%,"8,983","162,452"
,250250,,,
아이에스동서010780,"28,300",4.24%,"8,743","69,113"
,"11,501,150",,,
한일시멘트300720,"12,590",0.64%,"8,720","27,525"
,8080,,,
후성093370,"9,070",0.22%,"8,558","455,218"
,2020,,,
한세실업105630,"21,250",-1.39%,"8,500","54,012"
,300300,,,
TKG휴켐스069260,"20,150",0.50%,"8,237","90,159"
,100100,,,
GKL114090,"12,820",1.91%,"7,930","241,626"
,240240,,,
KG스틸016380,"7,860",0.64%,"7,861","255,126"
,5050,,,
녹십자홀딩스005250,"16,170",0.75%,"7,604","34,566"
,120120,,,
롯데관광개발032350,"9,300",0.22%,"7,047","281,684"
,2020,,,
PI첨단소재178920,"23,350",0.00%,"6,857","75,246"
,0,,,
대상001680,"19,760",2.97%,"6,846","111,091"
,570570,,,
신풍제약019170,"12,670",2.01%,"6,713","121,992"
,250250,,,
신세계인터내셔날031430,"17,430",2.35%,"6,223","74,912"
,400400,,,
삼성전자005930,"72,800",-0.27%,"4,346,002","13,232,883"
,200200,,,
SK하이닉스000660,"146,800",-1.28%,"1,068,707","3,252,291"
,"19,001,900",,,
LG에너지솔루션373220,"410,000",3.67%,"959,400","353,751"
,"1,450,014,500",,,
삼성바이오로직스207940,"828,000",0.85%,"589,321","59,532"
,"70,007,000",,,
현대차005380,"252,500",5.21%,"534,117","2,229,073"
,"1,250,012,500",,,
기아000270,"115,800",2.03%,"465,567","2,110,980"
,"23,002,300",,,
셀트리온068270,"182,200",-0.22%,"397,287","288,807"
,400400,,,
POSCO홀딩스005490,"442,000",0.34%,"373,805","454,512"
,"15,001,500",,,
LG화학051910,"504,000",4.24%,"355,785","585,926"
,"2,050,020,500",,,
NAVER035420,"205,000",0.74%,"332,938","830,393"
,"15,001,500",,,
삼성물산028260,"163,800",4.80%,"303,999","944,851"
,"75,007,500",,,
삼성SDI006400,"404,500",4.79%,"278,153","497,877"
,"1,850,018,500",,,
KB금융105560,"67,700",3.99%,"273,177","2,058,685"
,"26,002,600",,,
카카오035720,"58,400",-1.35%,"259,879","2,295,393"
,800800,,,
포스코퓨처엠003670,"303,000",0.83%,"234,714","539,575"
,"25,002,500",,,
신한지주055550,"44,500",3.49%,"228,178","1,894,427"
,"15,001,500",,,
현대모비스012330,"230,500",1.54%,"215,875","241,564"
,"35,003,500",,,
하나금융지주086790,"55,700",5.09%,"162,843","1,485,680"
,"27,002,700",,,
LG전자066570,"99,300",1.43%,"162,502","475,716"
,"14,001,400",,,
삼성생명032830,"80,300",1.13%,"160,600","530,579"
,900900,,,
메리츠금융지주138040,"74,800",4.91%,"152,122","446,562"
,"35,003,500",,,
LG003550,"96,500",4.32%,"151,795","325,196"
,"40,004,000",,,
삼성화재000810,"304,000",4.11%,"144,020","111,443"
,"1,200,012,000",,,
카카오뱅크323410,"30,100",1.01%,"143,539","840,388"
,300300,,,
SK034730,"194,000",3.91%,"142,005","189,238"
,"73,007,300",,,
에코프로머티450080,"198,600",-0.95%,"137,005","687,641"
,"19,001,900",,,
한국전력015760,"21,100",1.93%,"135,454","1,264,745"
,400400,,,
SK이노베이션096770,"127,100",3.92%,"127,933","486,206"
,"48,004,800",,,
HMM011200,"17,830",1.94%,"122,856","2,328,725"
,340340,,,
삼성에스디에스018260,"157,600",4.86%,"121,947","286,609"
,"73,007,300",,,
KT&G033780,"90,900",1.22%,"121,645","136,731"
,"11,001,100",,,
크래프톤259960,"237,500",-0.21%,"114,866","64,227"
,500500,,,
SK텔레콤017670,"52,100",0.77%,"114,012","438,885"
,400400,,,
우리금융지주316140,"14,750",4.46%,"110,913","4,225,814"
,630630,,,
기업은행024110,"13,720",3.00%,"109,407","1,373,905"
,400400,,,
KT030200,"39,450",2.60%,"101,726","1,044,679"
,"10,001,000",,,
삼성전기009150,"136,100",-0.73%,"101,658","307,402"
,"10,001,000",,,
포스코인터내셔널047050,"57,300",-0.52%,"100,804","572,393"
,300300,,,
두산에너빌리티034020,"15,370",-0.13%,"98,454","1,430,897"
,2020,,,
HD현대중공업329180,"110,400",0.36%,"98,006","93,732"
,400400,,,
고려아연010130,"464,500",0.65%,"97,120","34,490"
,"30,003,000",,,
SK스퀘어402340,"65,500",4.97%,"91,033","617,037"
,"31,003,100",,,
하이브352820,"208,500",-4.79%,"86,845","268,117"
,"1,050,010,500",,,
대한항공003490,"23,100",0.87%,"85,059","494,181"
,200200,,,
HD한국조선해양009540,"119,900",3.01%,"84,857","214,724"
,"35,003,500",,,
S-Oil010950,"72,500",0.83%,"81,623","318,344"
,600600,,,
아모레퍼시픽090430,"125,000",0.40%,"73,116","104,940"
,500500,,,
한화에어로스페이스012450,"141,300",-2.48%,"71,540","395,547"
,"36,003,600",,,
DB손해보험005830,"100,000",5.26%,"70,800","147,211"
,"50,005,000",,,
한화오션042660,"22,500",-0.66%,"68,931","531,918"
,150150,,,
한국타이어앤테크놀로지161390,"55,500",3.35%,"68,751","338,189"
,"18,001,800",,,
현대글로비스086280,"179,300",1.99%,"67,238","77,496"
,"35,003,500",,,
SK바이오팜326030,"85,400",0.00%,"66,880","125,112"
,0,,,
카카오페이377300,"49,400",1.23%,"66,341","205,853"
,600600,,,
삼성중공업010140,"7,300",1.25%,"64,240","2,910,550"
,9090,,,
롯데케미칼011170,"137,300",4.57%,"58,731","138,950"
,"60,006,000",,,
한화솔루션009830,"33,600",4.19%,"57,756","1,356,511"
