"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","55,000","53,300","55,200","53,100","107.24K","4.17%"
"2024- 02- 15","52,800","54,500","54,600","52,700","157.25K","-2.22%"
"2024- 02- 14","54,000","54,300","55,400","53,700","112.33K","-1.82%"
"2024- 02- 13","55,000","56,700","57,300","54,400","242.55K","-3.00%"
"2024- 02- 12","56,700","56,700","56,700","56,700","","0.00%"
"2024- 02- 08","56,700","59,400","59,400","56,100","428.77K","-4.06%"
"2024- 02- 07","59,100","58,800","61,900","57,000","0.00K","1.03%"
"2024- 02- 06","58,500","59,400","60,100","57,900","158.87K","-2.34%"
"2024- 02- 05","59,900","59,200","60,000","57,500","0.10K","2.39%"
"2024- 02- 02","58,500","57,600","59,400","56,100","393.04K","0.69%"
"2024- 02- 01","58,100","53,700","58,400","53,500","0.08K","7.99%"
"2024- 01- 31","53,800","52,600","54,200","52,300","0.02K","2.67%"
"2024- 01- 30","52,400","51,900","53,500","51,200","430.66K","2.34%"
"2024- 01- 29","51,200","47,700","51,600","47,400","0.40K","7.56%"
"2024- 01- 26","47,600","47,000","47,800","46,850","36.38K","0.53%"
"2024- 01- 25","47,350","47,000","47,450","46,600","37.02K","0.85%"
"2024- 01- 24","46,950","47,150","47,150","46,450","32.56K","-0.53%"
"2024- 01- 23","47,200","46,350","47,250","46,200","55.93K","2.05%"
"2024- 01- 22","46,250","46,150","46,300","45,600","58.33K","0.98%"
"2024- 01- 19","45,800","46,350","46,650","45,700","76.75K","-0.87%"
"2024- 01- 18","46,200","46,050","46,300","45,950","0.01K","0.43%"
"2024- 01- 17","46,000","47,700","47,750","45,950","0.01K","-4.47%"
"2024- 01- 16","48,150","48,600","48,700","48,100","50.29K","-1.03%"
"2024- 01- 15","48,650","49,350","49,400","48,650","40.86K","-0.92%"
"2024- 01- 14","49,100","49,100","49,100","49,100","","0.00%"
"2024- 01- 12","49,100","48,900","49,200","48,650","62.68K","0.31%"
"2024- 01- 11","48,950","49,300","49,950","48,950","88.19K","-0.31%"
"2024- 01- 10","49,100","49,500","49,550","48,700","111.15K","-0.41%"
"2024- 01- 09","49,300","49,550","49,650","49,050","0.00K","0.51%"
"2024- 01- 08","49,050","50,000","50,000","49,000","109.72K","-1.51%"
"2024- 01- 05","49,800","50,000","50,400","49,750","71.86K","-0.60%"
"2024- 01- 04","50,100","50,600","50,900","50,000","80.54K","-1.38%"
"2024- 01- 03","50,800","51,400","51,400","50,700","70.17K","-1.36%"
"2024- 01- 02","51,500","51,800","51,900","51,000","64.28K","-0.58%"
"2023- 12- 28","51,800","51,300","52,000","51,100","80.31K","0.97%"
"2023- 12- 27","51,300","52,500","52,500","50,900","0.05K","-2.84%"
"2023- 12- 26","52,800","52,100","52,800","51,800","0.02K","1.34%"
"2023- 12- 22","52,100","51,900","52,300","51,500","63.45K","0.97%"
"2023- 12- 21","51,600","52,200","52,300","51,500","66.42K","-1.34%"
"2023- 12- 20","52,300","51,800","52,300","51,600","0.02K","1.55%"
"2023- 12- 19","51,500","51,400","51,700","51,100","54.89K","0.00%"
"2023- 12- 18","51,500","51,800","52,000","51,300","0.00K","-0.96%"
"2023- 12- 17","52,000","52,000","52,000","52,000","","0.00%"
"2023- 12- 15","52,000","51,800","52,100","51,500","72.61K","0.97%"
"2023- 12- 14","51,500","51,000","51,800","50,700","0.00K","1.78%"
"2023- 12- 13","50,600","51,200","51,200","50,600","50.49K","-0.78%"
"2023- 12- 12","51,000","51,100","51,400","50,800","56.30K","0.20%"
"2023- 12- 11","50,900","50,900","51,000","50,500","50.62K","0.20%"
"2023- 12- 08","50,800","51,000","51,200","50,600","47.20K","0.00%"
"2023- 12- 07","50,800","51,500","51,900","50,600","120.77K","-2.31%"
"2023- 12- 06","52,000","51,800","52,000","51,600","47.19K","0.39%"
"2023- 12- 05","51,800","51,200","52,200","50,800","86.82K","0.97%"
"2023- 12- 04","51,300","51,200","51,900","50,800","79.85K","1.18%"
"2023- 12- 01","50,700","51,000","51,300","50,600","68.04K","-0.20%"
"2023- 11- 30","50,800","50,900","51,200","50,700","74.13K","-0.39%"
"2023- 11- 29","51,000","51,400","51,600","50,800","78.35K","-1.16%"
"2023- 11- 28","51,600","52,300","52,400","51,400","67.60K","-0.96%"
"2023- 11- 27","52,100","52,000","52,500","51,600","68.00K","-0.57%"
"2023- 11- 26","52,400","52,400","52,400","52,400","","0.00%"
"2023- 11- 24","52,400","53,000","53,000","52,100","49.50K","-0.76%"
"2023- 11- 23","52,800","52,700","52,900","52,300","80.55K","0.19%"
"2023- 11- 22","52,700","52,800","53,200","52,100","81.33K","-0.94%"
"2023- 11- 21","53,200","52,300","53,200","52,100","0.07K","2.31%"
"2023- 11- 20","52,000","51,200","52,200","51,100","72.80K","1.56%"
"2023- 11- 17","51,200","51,800","51,900","51,000","49.87K","-0.97%"
"2023- 11- 16","51,700","51,500","51,800","51,200","56.40K","0.39%"
"2023- 11- 15","51,500","51,400","51,700","51,000","139.12K","1.78%"
"2023- 11- 14","50,600","50,300","50,800","50,200","69.45K","1.20%"
"2023- 11- 13","50,000","51,500","51,600","49,800","0.00K","-1.96%"
"2023- 11- 10","51,000","51,600","51,700","50,500","95.38K","-1.16%"
"2023- 11- 09","51,600","52,100","52,300","51,200","0.02K","-0.96%"
"2023- 11- 08","52,100","54,300","54,500","51,600","349.93K","-3.52%"
"2023- 11- 07","54,000","55,100","55,600","53,800","0.00K","-2.00%"
"2023- 11- 06","55,100","54,700","55,300","53,900","114.97K","2.61%"
"2023- 11- 03","53,700","54,200","54,500","53,400","84.08K","0.56%"
"2023- 11- 02","53,400","54,300","54,600","53,000","101.04K","-1.29%"
"2023- 11- 01","54,100","53,400","54,900","53,100","76.21K","1.31%"
"2023- 10- 31","53,400","53,500","54,300","52,900","72.76K","0.38%"
"2023- 10- 30","53,200","52,800","53,400","52,000","93.62K","-1.30%"
"2023- 10- 27","53,900","53,900","54,400","53,300","65.66K","0.94%"
"2023- 10- 26","53,400","54,100","54,500","52,700","76.48K","-2.20%"
"2023- 10- 25","54,600","53,900","55,200","53,600","0.00K","1.68%"
"2023- 10- 24","53,700","53,600","53,800","52,000","73.68K","1.51%"
"2023- 10- 23","52,900","52,200","53,100","52,100","55.59K","1.15%"
"2023- 10- 20","52,300","53,300","53,600","51,700","68.11K","-2.06%"
"2023- 10- 19","53,400","53,600","54,100","52,900","51.77K","-1.48%"
"2023- 10- 18","54,200","55,000","55,400","53,800","144.43K","-1.63%"
"2023- 10- 17","55,100","55,400","55,500","54,600","91.97K","0.00%"
"2023- 10- 16","55,100","55,300","55,300","54,100","66.92K","-0.54%"
"2023- 10- 13","55,400","54,700","55,400","54,500","89.18K","0.36%"
"2023- 10- 12","55,200","56,000","56,200","55,100","92.04K","-0.54%"
"2023- 10- 11","55,500","56,100","56,600","54,700","66.49K","-0.54%"
"2023- 10- 10","55,800","56,800","57,400","55,300","87.87K","-1.76%"
"2023- 10- 06","56,800","57,700","58,300","55,700","196.02K","-2.07%"
"2023- 10- 05","58,000","59,200","59,700","57,900","0.02K","-2.03%"
"2023- 10- 04","59,200","62,100","62,500","58,500","242.03K","-6.92%"
"2023- 09- 27","63,600","63,200","64,000","62,200","70.01K","-0.31%"
"2023- 09- 26","63,800","66,300","66,400","63,000","112.83K","-3.19%"
"2023- 09- 25","65,900","64,200","66,500","64,200","61.48K","1.54%"
"2023- 09- 24","64,900","64,900","64,900","64,900","","0.00%"
"2023- 09- 22","64,900","64,800","65,300","63,500","55.69K","-0.61%"
"2023- 09- 21","65,300","66,100","66,700","65,300","0.00K","-1.80%"
"2023- 09- 20","66,500","67,000","68,200","66,500","0.00K","-0.60%"
"2023- 09- 19","66,900","67,100","67,400","66,300","48.21K","-0.59%"
"2023- 09- 18","67,300","67,500","67,800","66,500","36.10K","0.00%"
"2023- 09- 15","67,300","66,800","67,800","66,100","100.23K","1.51%"
"2023- 09- 14","66,300","65,800","66,800","65,500","81.23K","1.38%"
"2023- 09- 13","65,400","66,600","67,000","64,700","135.04K","-2.82%"
"2023- 09- 12","67,300","69,900","69,900","66,500","0.00K","-2.89%"
"2023- 09- 11","69,300","67,900","69,900","67,200","0.01K","2.06%"
"2023- 09- 10","67,900","67,900","67,900","67,900","","0.00%"
"2023- 09- 08","67,900","67,300","68,000","65,700","115.32K","0.89%"
"2023- 09- 07","67,300","67,400","67,700","65,800","107.57K","-1.32%"
"2023- 09- 06","68,200","68,800","69,900","68,100","0.00K","-0.44%"
"2023- 09- 05","68,500","69,500","70,800","68,300","0.02K","-1.15%"
"2023- 09- 04","69,300","67,900","69,600","67,200","0.03K","1.76%"
"2023- 09- 01","68,100","69,000","70,200","68,100","105.69K","-1.87%"
"2023- 08- 31","69,400","70,300","70,700","68,600","0.00K","-1.42%"
"2023- 08- 30","70,400","70,800","71,400","69,800","0.00K","-0.28%"
"2023- 08- 29","70,600","70,100","70,800","68,900","0.00K","1.00%"
"2023- 08- 28","69,900","69,100","71,000","68,500","211.67K","4.17%"
"2023- 08- 25","67,100","65,600","68,000","65,300","87.06K","1.36%"
"2023- 08- 24","66,200","66,000","67,300","65,200","0.03K","0.61%"
"2023- 08- 23","65,800","64,200","66,800","64,100","91.94K","1.86%"
"2023- 08- 22","64,600","64,400","65,900","63,800","59.33K","0.31%"
"2023- 08- 21","64,400","64,200","65,300","62,800","99.56K","-1.08%"
"2023- 08- 20","65,100","65,100","65,100","65,100","","0.00%"
"2023- 08- 18","65,100","65,100","67,500","64,700","160.60K","-0.31%"
"2023- 08- 17","65,300","67,200","67,300","64,100","0.06K","-3.97%"
"2023- 08- 16","68,000","69,000","69,000","65,000","347.21K","-3.95%"
"2023- 08- 15","70,800","70,800","70,800","70,800","","0.00%"
"2023- 08- 14","70,800","66,700","71,700","66,600","420.64K","6.31%"
"2023- 08- 11","66,600","65,900","67,000","64,900","406.22K","2.15%"
"2023- 08- 10","65,200","59,700","65,800","59,300","1.02M","15.40%"
"2023- 08- 09","56,500","57,700","58,900","56,400","232.24K","-0.88%"
"2023- 08- 08","57,000","60,200","60,700","57,000","0.10K","-6.25%"
"2023- 08- 07","60,800","59,400","61,200","59,100","0.00K","1.67%"
"2023- 08- 06","59,800","59,800","59,800","59,800","","0.00%"
"2023- 08- 04","59,800","56,800","60,100","56,000","246.12K","5.47%"
"2023- 08- 03","56,700","56,900","57,400","55,800","89.46K","-0.18%"
"2023- 08- 02","56,800","55,900","57,500","55,800","0.00K","0.89%"
"2023- 08- 01","56,300","55,100","56,800","55,100","0.01K","1.62%"
"2023- 07- 31","55,400","55,600","56,200","55,200","67.58K","-0.18%"
"2023- 07- 28","55,500","56,000","56,400","55,000","89.28K","-1.94%"
"2023- 07- 27","56,600","52,800","57,000","52,800","0.03K","7.20%"
"2023- 07- 26","52,800","53,600","54,000","51,800","128.58K","-1.49%"
"2023- 07- 25","53,600","54,200","54,400","53,200","0.00K","-1.11%"
"2023- 07- 24","54,200","54,800","55,100","53,800","96.54K","-1.09%"
"2023- 07- 23","54,800","54,800","54,800","54,800","","0.00%"
"2023- 07- 21","54,800","55,000","55,500","54,700","59.97K","-0.36%"
"2023- 07- 20","55,000","54,000","55,400","53,500","124.66K","1.85%"
"2023- 07- 19","54,000","53,800","55,100","53,700","72.76K","0.00%"
"2023- 07- 18","54,000","54,700","54,800","53,300","77.67K","-1.28%"
"2023- 07- 17","54,700","53,600","55,000","53,600","97.44K","1.48%"
"2023- 07- 14","53,900","54,000","54,600","53,200","87.52K","-0.19%"
"2023- 07- 13","54,000","54,600","55,300","53,800","0.01K","-0.74%"
"2023- 07- 12","54,400","52,600","54,800","52,200","276.25K","3.62%"
"2023- 07- 11","52,500","52,000","52,500","51,600","0.00K","1.35%"
"2023- 07- 10","51,800","50,900","51,900","50,500","0.00K","1.97%"
"2023- 07- 09","50,800","50,800","50,800","50,800","","0.00%"
"2023- 07- 07","50,800","51,200","51,500","50,200","127.43K","-1.17%"
"2023- 07- 06","51,400","51,600","52,000","50,900","189.26K","-0.39%"
"2023- 07- 05","51,600","49,750","51,700","49,750","0.00K","4.03%"
"2023- 07- 04","49,600","49,550","50,000","49,450","69.86K","-0.50%"
"2023- 07- 03","49,850","49,500","49,950","49,300","88.07K","1.12%"
"2023- 06- 30","49,300","47,750","49,650","47,550","187.95K","3.03%"
"2023- 06- 29","47,850","48,600","48,800","47,850","82.63K","-2.25%"
"2023- 06- 28","48,950","49,100","49,300","48,500","52.87K","-0.20%"
"2023- 06- 27","49,050","48,700","49,050","48,550","41.81K","0.72%"
"2023- 06- 26","48,700","48,050","48,750","47,850","60.63K","0.52%"
"2023- 06- 23","48,450","49,250","49,250","48,250","64.73K","-0.82%"
"2023- 06- 22","48,850","49,200","49,200","48,800","94.33K","-0.51%"
"2023- 06- 21","49,100","50,700","50,700","49,100","0.02K","-3.16%"
"2023- 06- 20","50,700","50,700","51,300","50,700","31.00K","0.00%"
"2023- 06- 19","50,700","50,900","51,100","50,600","36.20K","-0.59%"
"2023- 06- 16","51,000","50,600","51,300","50,400","98.65K","0.79%"
"2023- 06- 15","50,600","51,200","51,400","50,500","66.95K","-1.36%"
"2023- 06- 14","51,300","51,200","51,400","50,600","51.03K","0.20%"
"2023- 06- 13","51,200","51,500","51,800","51,000","0.00K","-0.58%"
"2023- 06- 12","51,500","52,000","52,000","51,100","54.24K","-0.77%"
"2023- 06- 09","51,900","51,700","51,900","51,100","66.51K","0.78%"
"2023- 06- 08","51,500","51,600","51,600","50,900","60.30K","0.19%"
"2023- 06- 07","51,400","51,500","51,900","51,400","60.87K","0.39%"
"2023- 06- 05","51,200","51,100","51,300","50,900","50.81K","0.79%"
"2023- 06- 02","50,800","50,700","51,000","50,400","66.85K","0.20%"
"2023- 06- 01","50,700","51,100","51,300","50,600","64.72K","-0.78%"
"2023- 05- 31","51,100","51,500","51,700","51,000","0.00K","-0.78%"
"2023- 05- 30","51,500","52,000","52,000","51,300","48.19K","-0.58%"
"2023- 05- 26","51,800","51,800","52,200","51,400","51.95K","-0.38%"
"2023- 05- 25","52,000","52,300","52,600","51,800","50.26K","-0.95%"
"2023- 05- 24","52,500","52,800","53,000","52,300","70.15K","-0.94%"
"2023- 05- 23","53,000","53,700","53,700","52,900","56.20K","-0.93%"
"2023- 05- 22","53,500","53,000","53,800","52,900","88.78K","1.13%"
"2023- 05- 19","52,900","52,700","53,300","52,600","76.78K","0.38%"
"2023- 05- 18","52,700","52,100","53,100","52,000","70.13K","0.96%"
"2023- 05- 17","52,200","51,600","52,400","51,400","63.97K","1.16%"
"2023- 05- 16","51,600","51,900","52,000","51,300","64.48K","-0.19%"
"2023- 05- 15","51,700","51,500","51,700","51,000","48.80K","0.00%"
"2023- 05- 12","51,700","52,200","52,300","51,100","89.36K","-0.96%"
"2023- 05- 11","52,200","52,600","52,800","52,100","76.04K","-0.38%"
"2023- 05- 10","52,400","52,200","53,000","52,000","88.68K","0.58%"
"2023- 05- 09","52,100","52,400","52,600","51,900","39.12K","-0.57%"
"2023- 05- 08","52,400","51,500","52,500","51,500","0.03K","2.14%"
"2023- 05- 07","51,300","51,300","51,300","51,300","","0.00%"
"2023- 05- 04","51,300","51,900","51,900","50,800","115.84K","-1.72%"
"2023- 05- 03","52,200","52,700","53,300","51,900","0.00K","-1.51%"
"2023- 05- 02","53,000","51,700","53,500","51,600","130.24K","2.51%"
"2023- 04- 28","51,700","50,800","52,000","50,500","88.64K","1.77%"
"2023- 04- 27","50,800","51,000","51,000","50,300","65.88K","-0.59%"
"2023- 04- 26","51,100","50,700","51,400","50,600","0.00K","0.59%"
"2023- 04- 25","50,800","51,800","51,900","50,600","0.02K","-1.74%"
"2023- 04- 24","51,700","52,400","52,400","51,600","72.04K","-1.34%"
"2023- 04- 23","52,400","52,400","52,400","52,400","","0.00%"
"2023- 04- 21","52,400","52,300","52,600","51,700","90.87K","-0.19%"
"2023- 04- 20","52,500","53,200","53,200","52,300","0.00K","-1.32%"
"2023- 04- 19","53,200","53,000","53,500","52,900","81.95K","0.76%"
"2023- 04- 18","52,800","52,600","53,100","52,300","92.42K","0.19%"
"2023- 04- 17","52,700","53,200","53,300","52,500","69.51K","-0.75%"
"2023- 04- 16","53,100","53,100","53,100","53,100","","0.00%"
"2023- 04- 14","53,100","52,700","53,300","52,600","137.67K","0.95%"
"2023- 04- 13","52,600","52,200","52,600","52,100","102.00K","0.38%"
"2023- 04- 12","52,400","52,300","52,700","52,100","0.00K","0.00%"
"2023- 04- 11","52,400","51,900","52,500","51,600","99.16K","1.16%"
"2023- 04- 10","51,800","52,200","52,200","51,700","74.09K","-0.77%"
"2023- 04- 09","52,200","52,200","52,200","52,200","","0.00%"
"2023- 04- 07","52,200","52,400","52,400","51,900","68.99K","-0.19%"
"2023- 04- 06","52,300","53,000","53,300","52,300","94.20K","-1.51%"
"2023- 04- 05","53,100","53,500","53,900","53,100","0.02K","-1.12%"
"2023- 04- 04","53,700","54,900","54,900","53,400","0.01K","-2.01%"
"2023- 04- 03","54,800","54,700","55,200","54,400","73.34K","0.18%"
"2023- 03- 31","54,700","54,000","54,900","53,900","124.85K","1.48%"
"2023- 03- 30","53,900","53,600","54,300","53,000","83.76K","0.75%"
"2023- 03- 29","53,500","53,500","54,000","53,100","77.31K","0.00%"
"2023- 03- 28","53,500","53,000","53,500","52,800","0.00K","1.13%"
