"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","34,300","33,550","34,300","33,300","293.21K","3.00%"
"2024- 02- 15","33,300","34,550","34,550","33,200","399.29K","-2.92%"
"2024- 02- 14","34,300","33,600","34,750","33,600","266.96K","0.44%"
"2024- 02- 13","34,150","34,400","35,250","34,050","0.02K","0.29%"
"2024- 02- 12","34,050","34,050","34,050","34,050","","0.00%"
"2024- 02- 08","34,050","32,900","34,150","32,600","696.26K","3.81%"
"2024- 02- 07","32,800","32,700","33,550","32,150","888.98K","0.46%"
"2024- 02- 06","32,650","36,200","36,650","32,600","1.57M","-11.40%"
"2024- 02- 05","36,850","37,600","38,550","36,050","1.23K","0.27%"
"2024- 02- 02","36,750","36,300","37,050","35,600","511.22K","2.94%"
"2024- 02- 01","35,700","34,700","36,050","34,600","304.61K","1.42%"
"2024- 01- 31","35,200","34,900","35,550","34,850","161.10K","0.57%"
"2024- 01- 30","35,000","35,750","36,100","35,000","0.12K","-1.41%"
"2024- 01- 29","35,500","35,500","35,900","35,000","144.13K","0.00%"
"2024- 01- 26","35,500","35,650","35,650","35,000","123.28K","0.42%"
"2024- 01- 25","35,350","34,950","35,600","34,600","131.80K","1.14%"
"2024- 01- 24","34,950","35,400","35,400","34,500","83.67K","-0.71%"
"2024- 01- 23","35,200","34,100","35,200","33,800","0.00K","3.68%"
"2024- 01- 22","33,950","34,450","34,450","33,800","118.49K","-1.02%"
"2024- 01- 21","34,300","34,300","34,300","34,300","","0.00%"
"2024- 01- 19","34,300","34,350","34,650","34,050","158.51K","0.15%"
"2024- 01- 18","34,250","35,000","35,150","34,200","168.01K","-2.14%"
"2024- 01- 17","35,000","37,000","37,300","35,000","319.35K","-5.41%"
"2024- 01- 16","37,000","38,300","38,500","37,000","0.06K","-3.39%"
"2024- 01- 15","38,300","37,950","38,700","37,700","0.01K","0.52%"
"2024- 01- 12","38,100","38,000","38,400","37,250","165.59K","0.26%"
"2024- 01- 11","38,000","38,650","38,750","38,000","0.03K","-0.26%"
"2024- 01- 10","38,100","37,650","38,900","37,550","0.00K","1.20%"
"2024- 01- 09","37,650","38,200","38,450","37,600","109.03K","-0.40%"
"2024- 01- 08","37,800","37,700","38,050","37,650","83.98K","0.53%"
"2024- 01- 05","37,600","38,000","38,150","37,350","167.70K","-1.57%"
"2024- 01- 04","38,200","38,300","39,000","37,750","283.40K","-1.55%"
"2024- 01- 03","38,800","39,750","39,850","38,750","235.67K","-3.24%"
"2024- 01- 02","40,100","39,300","40,200","39,000","286.25K","1.91%"
"2023- 12- 28","39,350","37,700","39,550","37,700","502.75K","4.52%"
"2023- 12- 27","37,650","38,650","38,700","37,350","292.82K","-2.71%"
"2023- 12- 26","38,700","38,450","39,000","38,000","189.63K","1.57%"
"2023- 12- 22","38,100","38,450","38,750","38,100","212.47K","-0.26%"
"2023- 12- 21","38,200","38,200","39,650","37,900","610.45K","-0.13%"
"2023- 12- 20","38,250","36,600","38,300","36,450","0.02K","5.37%"
"2023- 12- 19","36,300","36,400","36,550","36,150","162.33K","0.28%"
"2023- 12- 18","36,200","36,750","37,000","35,950","0.03K","-0.55%"
"2023- 12- 15","36,400","35,800","36,750","35,600","401.90K","1.96%"
"2023- 12- 14","35,700","35,900","36,150","35,250","249.85K","0.85%"
"2023- 12- 13","35,400","35,800","35,800","35,350","95.20K","-0.84%"
"2023- 12- 12","35,700","35,550","35,850","35,450","0.11K","0.85%"
"2023- 12- 11","35,400","36,300","36,300","35,050","158.94K","-1.94%"
"2023- 12- 08","36,100","35,650","36,250","35,400","198.25K","1.83%"
"2023- 12- 07","35,450","35,150","35,700","35,050","155.52K","-0.42%"
"2023- 12- 06","35,600","35,200","35,600","35,050","0.97K","2.01%"
"2023- 12- 05","34,900","35,200","35,600","34,800","128.08K","-0.99%"
"2023- 12- 04","35,250","35,450","36,250","35,200","210.31K","0.43%"
"2023- 12- 01","35,100","35,650","35,700","35,100","156.79K","-1.54%"
"2023- 11- 30","35,650","36,100","36,150","35,550","0.01K","-2.06%"
"2023- 11- 29","36,400","36,500","36,800","36,200","134.48K","-0.27%"
"2023- 11- 28","36,500","36,400","36,550","36,150","80.55K","0.41%"
"2023- 11- 27","36,350","36,550","36,550","36,000","0.44K","-0.14%"
"2023- 11- 24","36,400","36,400","36,550","36,050","86.47K","0.28%"
"2023- 11- 23","36,300","36,000","36,300","35,800","106.32K","0.55%"
"2023- 11- 22","36,100","35,550","36,200","35,450","0.00K","0.28%"
"2023- 11- 21","36,000","36,150","36,200","35,800","0.01K","0.42%"
"2023- 11- 20","35,850","35,550","35,900","35,300","131.18K","0.56%"
"2023- 11- 17","35,650","35,700","35,750","35,250","102.84K","-0.28%"
"2023- 11- 16","35,750","34,800","36,000","34,700","215.20K","2.29%"
"2023- 11- 15","34,950","34,650","35,100","34,600","212.42K","2.79%"
"2023- 11- 14","34,000","33,850","34,150","33,600","126.94K","1.19%"
"2023- 11- 13","33,600","33,850","34,100","33,250","0.00K","0.15%"
"2023- 11- 10","33,550","33,650","34,050","33,450","138.94K","-1.76%"
"2023- 11- 09","34,150","34,200","34,800","34,150","0.01K","-0.15%"
"2023- 11- 08","34,200","34,600","34,800","34,150","163.68K","-0.44%"
"2023- 11- 07","34,350","35,250","35,250","34,100","0.01K","-3.24%"
"2023- 11- 06","35,500","34,450","35,500","34,150","0.00K","5.97%"
"2023- 11- 03","33,500","34,000","34,000","32,850","316.25K","0.00%"
"2023- 11- 02","33,500","33,050","33,850","33,050","315.42K","2.45%"
"2023- 11- 01","32,700","33,000","33,200","32,400","0.00K","-0.15%"
"2023- 10- 31","32,750","34,150","34,450","32,650","433.65K","-3.53%"
"2023- 10- 30","33,950","35,600","35,700","33,000","0.00K","-4.90%"
"2023- 10- 29","35,700","35,700","35,700","35,700","","0.00%"
"2023- 10- 27","35,700","36,000","36,300","35,350","183.28K","0.00%"
"2023- 10- 26","35,700","35,850","35,900","35,450","235.36K","-1.11%"
"2023- 10- 25","36,100","36,900","37,000","35,850","289.01K","-2.43%"
"2023- 10- 24","37,000","35,800","37,050","35,150","344.31K","2.64%"
"2023- 10- 23","36,050","35,550","36,400","35,500","0.01K","0.84%"
"2023- 10- 20","35,750","35,700","36,250","35,050","299.41K","-1.79%"
"2023- 10- 19","36,400","36,650","36,650","36,050","355.23K","-1.36%"
"2023- 10- 18","36,900","36,700","37,250","36,700","271.35K","0.68%"
"2023- 10- 17","36,650","37,150","37,600","36,650","0.00K","-0.68%"
"2023- 10- 16","36,900","37,250","37,950","36,700","357.22K","-0.94%"
"2023- 10- 15","37,250","37,250","37,250","37,250","","0.00%"
"2023- 10- 13","37,250","39,800","39,850","37,150","945.84K","-7.80%"
"2023- 10- 12","40,400","39,350","40,500","39,350","556.64K","3.06%"
"2023- 10- 11","39,200","40,700","41,250","39,050","850.87K","-3.45%"
"2023- 10- 10","40,600","41,650","41,700","40,300","274.70K","-1.10%"
"2023- 10- 09","41,050","41,050","41,050","41,050","","0.00%"
"2023- 10- 06","41,050","40,700","41,400","40,400","170.40K","0.74%"
"2023- 10- 05","40,750","41,400","41,600","40,400","0.01K","-1.21%"
"2023- 10- 04","41,250","41,650","42,000","41,000","355.72K","-1.79%"
"2023- 10- 03","42,000","42,000","42,000","42,000","","0.00%"
"2023- 09- 27","42,000","40,550","42,450","40,500","352.84K","2.19%"
"2023- 09- 26","41,100","42,250","42,250","41,000","245.01K","-2.49%"
"2023- 09- 25","42,150","41,350","42,250","40,950","319.84K","1.93%"
"2023- 09- 24","41,350","41,350","41,350","41,350","","0.00%"
"2023- 09- 22","41,350","40,450","41,400","39,950","326.07K","1.60%"
"2023- 09- 21","40,700","40,900","42,400","40,600","504.95K","-1.57%"
"2023- 09- 20","41,350","40,800","42,000","40,600","314.02K","0.73%"
"2023- 09- 19","41,050","40,700","41,250","40,700","0.01K","0.86%"
"2023- 09- 18","40,700","41,350","41,550","40,550","217.60K","-2.05%"
"2023- 09- 17","41,550","41,550","41,550","41,550","","0.00%"
"2023- 09- 15","41,550","40,800","41,700","40,300","359.32K","2.34%"
"2023- 09- 14","40,600","40,750","41,000","40,350","258.24K","-0.37%"
"2023- 09- 13","40,750","40,150","41,100","40,150","0.00K","0.99%"
"2023- 09- 12","40,350","40,850","41,350","40,150","0.05K","-0.25%"
"2023- 09- 11","40,450","40,900","40,950","40,300","184.42K","-0.98%"
"2023- 09- 08","40,850","41,200","41,200","40,600","154.93K","-0.61%"
"2023- 09- 07","41,100","41,000","41,300","40,650","0.02K","-0.48%"
"2023- 09- 06","41,300","41,550","42,250","41,000","265.76K","-0.84%"
"2023- 09- 05","41,650","42,050","42,150","41,500","0.09K","-1.19%"
"2023- 09- 04","42,150","42,100","42,250","41,350","218.64K","0.24%"
"2023- 09- 03","42,050","42,050","42,050","42,050","","0.00%"
"2023- 09- 01","42,050","41,600","42,150","41,600","181.80K","0.36%"
"2023- 08- 31","41,900","42,300","42,300","41,500","0.00K","-0.83%"
"2023- 08- 30","42,250","42,500","42,650","41,850","245.63K","0.84%"
"2023- 08- 29","41,900","41,800","42,200","41,600","180.99K","0.96%"
"2023- 08- 28","41,500","41,500","41,600","40,950","131.79K","0.97%"
"2023- 08- 27","41,100","41,100","41,100","41,100","","0.00%"
"2023- 08- 25","41,100","41,050","41,350","40,950","117.10K","-1.20%"
"2023- 08- 24","41,600","41,700","41,800","41,250","0.01K","0.60%"
"2023- 08- 23","41,350","41,550","41,750","41,100","161.60K","-1.08%"
"2023- 08- 22","41,800","41,800","42,150","41,400","115.95K","0.72%"
"2023- 08- 21","41,500","42,500","42,500","41,250","172.04K","-1.89%"
"2023- 08- 20","42,300","42,300","42,300","42,300","","0.00%"
"2023- 08- 18","42,300","41,350","42,300","41,150","219.85K","0.71%"
"2023- 08- 17","42,000","41,200","42,000","40,900","252.26K","0.12%"
"2023- 08- 16","41,950","42,850","43,000","41,250","0.01K","-2.78%"
"2023- 08- 15","43,150","43,150","43,150","43,150","","0.00%"
"2023- 08- 14","43,150","44,250","44,300","43,150","235.26K","-2.04%"
"2023- 08- 13","44,050","44,050","44,050","44,050","","0.00%"
"2023- 08- 11","44,050","42,900","44,350","42,850","371.79K","3.65%"
"2023- 08- 10","42,500","42,500","42,600","41,900","228.49K","-0.70%"
"2023- 08- 09","42,800","42,350","42,800","42,150","0.03K","0.94%"
"2023- 08- 08","42,400","43,350","43,550","42,350","360.06K","-1.62%"
"2023- 08- 07","43,100","44,350","44,350","43,000","437.73K","-3.47%"
"2023- 08- 06","44,650","44,650","44,650","44,650","","0.00%"
"2023- 08- 04","44,650","44,700","44,850","44,150","218.93K","0.00%"
