"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","119,900","117,900","121,500","117,600","214.72K","3.01%"
"2024- 02- 15","116,400","115,600","116,700","114,500","120.49K","1.84%"
"2024- 02- 14","114,300","117,400","117,400","114,200","201.67K","-3.54%"
"2024- 02- 13","118,500","122,700","123,200","118,000","200.14K","-2.15%"
"2024- 02- 12","121,100","121,100","121,100","121,100","","0.00%"
"2024- 02- 08","121,100","121,400","122,200","120,200","249.11K","-0.25%"
"2024- 02- 07","121,400","121,600","122,500","119,600","0.00K","0.83%"
"2024- 02- 06","120,400","121,900","123,800","119,800","187.76K","-2.11%"
"2024- 02- 05","123,000","119,100","123,500","116,900","301.44K","3.27%"
"2024- 02- 02","119,100","115,000","120,000","114,900","314.06K","3.84%"
"2024- 02- 01","114,700","112,500","115,900","112,000","159.78K","1.06%"
"2024- 01- 31","113,500","110,500","113,700","110,500","131.32K","1.61%"
"2024- 01- 30","111,700","114,500","116,000","111,000","139.36K","-1.59%"
"2024- 01- 29","113,500","117,600","117,600","113,500","0.04K","-2.58%"
"2024- 01- 28","116,500","116,500","116,500","116,500","","0.00%"
"2024- 01- 26","116,500","115,900","118,300","115,200","129.20K","0.52%"
"2024- 01- 25","115,900","112,500","116,300","111,400","127.73K","4.04%"
"2024- 01- 24","111,400","113,600","114,100","109,700","92.08K","-1.85%"
"2024- 01- 23","113,500","116,500","117,400","112,800","0.12K","-0.96%"
"2024- 01- 22","114,600","116,500","116,600","112,000","153.42K","1.15%"
"2024- 01- 19","113,300","105,600","113,300","105,600","203.30K","7.80%"
"2024- 01- 18","105,100","105,100","106,700","104,600","109.12K","0.67%"
"2024- 01- 17","104,400","109,500","109,500","104,000","154.19K","-4.48%"
"2024- 01- 16","109,300","112,200","112,700","109,300","0.00K","-3.10%"
"2024- 01- 15","112,800","109,700","113,100","108,200","0.00K","3.39%"
"2024- 01- 14","109,100","109,100","109,100","109,100","","0.00%"
"2024- 01- 12","109,100","108,300","110,200","108,200","79.46K","0.46%"
