"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","16,170","16,100","16,300","16,090","34.57K","0.75%"
"2024- 02- 15","16,050","16,370","16,370","16,030","47.76K","-1.05%"
"2024- 02- 14","16,220","16,180","16,380","16,070","65.75K","-1.04%"
"2024- 02- 13","16,390","16,430","16,550","16,200","59.76K","0.06%"
"2024- 02- 08","16,380","16,440","16,500","16,250","73.02K","0.18%"
"2024- 02- 07","16,350","16,250","16,400","16,100","87.24K","1.11%"
"2024- 02- 06","16,170","16,000","16,320","16,000","81.34K","0.06%"
"2024- 02- 05","16,160","15,830","16,160","15,610","123.99K","2.28%"
"2024- 02- 02","15,800","15,370","15,950","15,300","80.56K","2.80%"
"2024- 02- 01","15,370","14,770","15,550","14,670","123.98K","3.99%"
"2024- 01- 31","14,780","15,000","15,040","14,690","0.00K","-1.66%"
"2024- 01- 30","15,030","15,010","15,210","14,950","32.52K","0.20%"
"2024- 01- 29","15,000","14,980","15,280","14,810","0.01K","1.15%"
"2024- 01- 26","14,830","14,810","15,050","14,810","26.94K","-0.80%"
"2024- 01- 25","14,950","14,790","14,970","14,760","41.39K","1.08%"
"2024- 01- 24","14,790","14,840","14,860","14,670","0.00K","-0.40%"
"2024- 01- 23","14,850","14,860","15,000","14,800","23.97K","-0.07%"
"2024- 01- 22","14,860","14,900","14,900","14,800","23.14K","0.81%"
"2024- 01- 19","14,740","14,760","15,050","14,740","37.50K","0.00%"
"2024- 01- 18","14,740","14,930","14,930","14,680","28.38K","-0.14%"
