"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","504,000","489,000","515,000","488,000","585.93K","4.24%"
"2024- 02- 15","483,500","468,000","488,500","468,000","0.02K","4.88%"
"2024- 02- 14","461,000","460,500","463,500","449,000","0.02K","-2.12%"
"2024- 02- 13","471,000","473,000","475,000","469,500","0.01K","0.11%"
"2024- 02- 12","470,500","470,500","470,500","470,500","","0.00%"
"2024- 02- 08","470,500","489,000","489,000","470,500","760.55K","1.51%"
"2024- 02- 07","463,500","467,000","474,000","456,000","0.01K","0.22%"
"2024- 02- 06","462,500","454,000","470,000","453,000","307.65K","-0.96%"
"2024- 02- 05","467,000","465,000","477,500","456,500","0.03K","1.30%"
"2024- 02- 04","461,000","461,000","461,000","461,000","","0.00%"
"2024- 02- 02","461,000","451,000","468,500","433,000","673.14K","7.21%"
"2024- 02- 01","430,000","428,500","433,000","417,000","0.00K","-1.04%"
"2024- 01- 31","434,500","425,500","441,500","423,500","238.43K","1.88%"
"2024- 01- 30","426,500","426,000","444,500","425,500","0.02K","0.35%"
"2024- 01- 29","425,000","421,500","430,500","419,500","0.00K","2.04%"
"2024- 01- 28","416,500","416,500","416,500","416,500","","0.00%"
"2024- 01- 26","416,500","402,500","424,000","401,500","310.23K","2.97%"
"2024- 01- 25","404,500","398,500","407,500","393,000","0.01K","1.00%"
"2024- 01- 24","400,500","390,000","409,500","389,000","287.19K","2.43%"
"2024- 01- 23","391,000","385,000","393,000","385,000","0.03K","1.03%"
"2024- 01- 22","387,000","404,000","408,000","384,500","451.20K","-4.33%"
"2024- 01- 21","404,500","404,500","404,500","404,500","","0.00%"
"2024- 01- 19","404,500","415,500","417,000","400,500","285.77K","-1.82%"
"2024- 01- 18","412,000","407,500","416,000","403,000","0.20K","0.86%"
"2024- 01- 17","408,500","430,500","430,500","408,000","0.06K","-5.44%"
"2024- 01- 16","432,000","432,500","438,000","431,000","0.06K","-1.48%"
"2024- 01- 15","438,500","445,000","447,500","435,000","263.51K","-2.34%"
"2024- 01- 14","449,000","449,000","449,000","449,000","","0.00%"
