"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","70,100","66,700","70,800","66,400","86.96K","6.05%"
"2024- 02- 15","66,100","67,800","68,200","66,100","0.00K","-2.79%"
"2024- 02- 14","68,000","68,700","69,300","67,600","0.35K","-2.16%"
"2024- 02- 13","69,500","69,300","70,000","69,000","32.31K","1.16%"
"2024- 02- 12","68,700","68,700","68,700","68,700","","0.00%"
"2024- 02- 08","68,700","69,900","70,200","67,900","29.35K","-1.15%"
"2024- 02- 07","69,500","68,900","70,400","68,800","37.59K","0.43%"
"2024- 02- 06","69,200","69,000","70,500","68,400","34.17K","0.29%"
"2024- 02- 05","69,000","69,900","71,400","68,100","72.93K","0.15%"
"2024- 02- 02","68,900","66,900","69,600","66,300","98.67K","2.99%"
"2024- 02- 01","66,900","63,600","67,300","63,600","0.00K","3.72%"
"2024- 01- 31","64,500","65,600","65,600","63,900","0.01K","-1.98%"
"2024- 01- 30","65,800","65,900","67,000","65,100","70.60K","0.61%"
"2024- 01- 29","65,400","65,300","66,500","65,200","0.65K","0.15%"
"2024- 01- 26","65,300","64,700","66,400","64,700","17.09K","0.00%"
"2024- 01- 25","65,300","65,300","65,400","64,300","16.64K","0.15%"
"2024- 01- 24","65,200","64,900","65,700","64,400","24.41K","0.93%"
"2024- 01- 23","64,600","63,100","64,700","63,100","27.53K","1.89%"
"2024- 01- 22","63,400","63,000","63,900","63,000","13.94K","0.32%"
"2024- 01- 19","63,200","63,100","64,500","63,100","24.32K","-0.32%"
"2024- 01- 18","63,400","64,700","65,400","63,400","0.01K","-2.16%"
"2024- 01- 17","64,800","66,300","66,300","64,600","19.32K","-1.67%"
"2024- 01- 16","65,900","65,100","66,800","65,100","14.07K","-0.30%"
"2024- 01- 15","66,100","66,000","67,000","65,800","22.07K","-0.60%"
"2024- 01- 12","66,500","68,200","68,900","66,400","65.86K","-3.76%"
"2024- 01- 11","69,100","70,200","70,400","69,100","22.29K","-0.58%"
"2024- 01- 10","69,500","70,700","71,200","69,500","18.33K","-1.56%"
"2024- 01- 09","70,600","69,700","71,300","69,700","30.56K","1.88%"
"2024- 01- 08","69,300","70,600","71,000","69,300","0.02K","-1.98%"
"2024- 01- 05","70,700","69,300","71,900","69,000","58.65K","2.02%"
"2024- 01- 04","69,300","71,200","71,300","69,200","51.86K","-3.08%"
"2024- 01- 03","71,500","66,800","74,000","66,700","0.04K","6.40%"
"2024- 01- 02","67,200","67,000","67,500","66,500","21.06K","-0.15%"
"2023- 12- 28","67,300","66,900","67,500","66,500","30.52K","1.05%"
"2023- 12- 27","66,600","66,600","66,800","65,700","27.79K","0.00%"
"2023- 12- 26","66,600","67,000","67,300","66,500","20.98K","-0.15%"
"2023- 12- 22","66,700","66,600","67,100","66,000","23.75K","0.15%"
"2023- 12- 21","66,600","67,400","67,700","66,500","20.71K","-1.19%"
"2023- 12- 20","67,400","67,700","67,700","66,900","0.00K","1.20%"
"2023- 12- 19","66,600","66,900","67,100","66,600","20.20K","-0.60%"
"2023- 12- 18","67,000","67,100","67,600","66,600","20.91K","-0.59%"
"2023- 12- 15","67,400","66,000","68,300","65,900","80.92K","2.28%"
"2023- 12- 14","65,900","66,600","66,600","65,000","41.89K","0.76%"
"2023- 12- 13","65,400","67,000","67,000","65,400","21.04K","-0.61%"
"2023- 12- 12","65,800","64,900","65,900","64,900","23.09K","0.30%"
"2023- 12- 11","65,600","65,800","65,900","65,200","13.49K","0.61%"
"2023- 12- 08","65,200","65,600","65,900","64,800","17.79K","-0.61%"
"2023- 12- 07","65,600","64,500","65,800","64,500","18.29K","0.46%"
"2023- 12- 06","65,300","65,300","65,900","65,200","19.41K","-0.15%"
"2023- 12- 05","65,400","64,200","65,800","64,000","46.22K","1.40%"
"2023- 12- 04","64,500","65,400","65,500","64,500","13.85K","-0.62%"
"2023- 12- 01","64,900","64,500","65,400","64,400","27.46K","0.93%"
"2023- 11- 30","64,300","64,300","64,800","63,700","24.73K","0.00%"
"2023- 11- 29","64,300","63,900","64,900","63,900","19.84K","0.00%"
"2023- 11- 28","64,300","65,000","65,200","64,100","28.77K","-0.92%"
"2023- 11- 27","64,900","63,900","65,300","63,900","30.07K","0.31%"
"2023- 11- 24","64,700","65,000","65,000","64,600","21.96K","-0.31%"
"2023- 11- 23","64,900","64,500","64,900","63,500","25.92K","0.31%"
"2023- 11- 22","64,700","64,000","64,800","63,500","21.39K","0.15%"
"2023- 11- 21","64,600","64,000","64,700","63,700","41.01K","1.73%"
"2023- 11- 20","63,500","63,100","64,400","62,900","39.71K","1.11%"
"2023- 11- 17","62,800","63,200","63,700","62,200","10.61K","-0.63%"
"2023- 11- 16","63,200","62,300","63,600","62,200","42.09K","1.61%"
"2023- 11- 15","62,200","62,500","62,700","61,800","31.70K","1.63%"
"2023- 11- 14","61,200","61,400","62,100","61,000","23.52K","1.16%"
"2023- 11- 13","60,500","61,400","61,500","60,400","15.11K","-0.17%"
"2023- 11- 10","60,600","61,400","62,500","60,600","24.95K","-2.10%"
"2023- 11- 09","61,900","61,500","62,000","61,200","26.87K","0.81%"
"2023- 11- 08","61,400","61,800","62,000","61,200","26.57K","0.00%"
"2023- 11- 07","61,400","61,300","61,800","60,300","62.90K","0.82%"
"2023- 11- 06","60,900","59,200","60,900","58,600","85.54K","5.00%"
"2023- 11- 03","58,000","58,500","58,600","57,600","44.16K","0.17%"
"2023- 11- 02","57,900","58,000","58,300","57,400","32.39K","1.22%"
"2023- 11- 01","57,200","56,500","57,400","56,300","21.10K","1.42%"
"2023- 10- 31","56,400","57,100","57,700","55,900","21.96K","-0.35%"
"2023- 10- 30","56,600","55,600","57,000","55,600","22.25K","0.71%"
"2023- 10- 27","56,200","56,500","56,900","55,900","25.37K","-0.53%"
"2023- 10- 26","56,500","56,700","57,800","56,000","35.84K","-2.08%"
"2023- 10- 25","57,700","57,100","58,200","57,100","26.40K","0.52%"
"2023- 10- 24","57,400","57,000","57,400","55,600","47.08K","0.70%"
"2023- 10- 23","57,000","57,100","57,800","56,600","28.67K","-0.35%"
"2023- 10- 22","57,200","57,200","57,200","57,200","","0.00%"
"2023- 10- 20","57,200","58,000","58,700","56,300","82.44K","-3.38%"
"2023- 10- 19","59,200","59,800","59,800","58,500","49.41K","-1.66%"
"2023- 10- 18","60,200","60,700","60,800","59,700","88.98K","-0.50%"
"2023- 10- 17","60,500","61,000","61,500","60,400","30.44K","-1.14%"
"2023- 10- 16","61,200","60,600","61,200","59,500","60.64K","0.33%"
"2023- 10- 13","61,000","61,600","61,900","61,000","25.78K","-2.40%"
"2023- 10- 12","62,500","61,900","62,900","61,900","0.02K","1.46%"
"2023- 10- 11","61,600","61,800","62,100","61,100","33.30K","0.98%"
"2023- 10- 10","61,000","63,800","63,900","60,900","54.05K","-2.87%"
"2023- 10- 06","62,800","62,300","63,500","62,300","32.32K","-0.32%"
"2023- 10- 05","63,000","63,400","64,500","62,200","58.11K","-0.63%"
"2023- 10- 04","63,400","63,100","63,800","61,100","66.24K","0.48%"
"2023- 09- 27","63,100","62,000","64,100","62,000","36.49K","-0.16%"
"2023- 09- 26","63,200","63,200","64,500","62,500","58.32K","-1.10%"
"2023- 09- 25","63,900","64,300","66,000","62,600","102.24K","-1.08%"
"2023- 09- 24","64,600","64,600","64,600","64,600","","0.00%"
"2023- 09- 22","64,600","61,000","66,200","59,900","296.24K","7.49%"
"2023- 09- 21","60,100","61,200","67,300","60,100","318.68K","-2.28%"
"2023- 09- 20","61,500","61,400","61,800","61,300","19.26K","-0.32%"
"2023- 09- 19","61,700","61,500","62,000","61,200","16.61K","0.33%"
"2023- 09- 18","61,500","62,000","62,400","61,500","17.98K","-0.97%"
"2023- 09- 15","62,100","61,700","63,100","61,400","65.86K","0.98%"
"2023- 09- 14","61,500","60,800","61,700","60,500","50.38K","1.82%"
"2023- 09- 13","60,400","60,900","61,500","60,200","56.74K","-1.63%"
"2023- 09- 12","61,400","62,200","62,800","61,400","28.68K","-0.49%"
"2023- 09- 11","61,700","62,000","62,200","61,400","20.83K","-0.32%"
"2023- 09- 08","61,900","61,700","62,800","61,600","23.08K","1.31%"
"2023- 09- 07","61,100","61,800","62,100","61,000","0.02K","-1.45%"
"2023- 09- 06","62,000","62,500","62,700","62,000","28.74K","-1.27%"
"2023- 09- 05","62,800","62,800","63,200","62,300","25.85K","-0.79%"
"2023- 09- 04","63,300","62,000","63,400","62,000","30.45K","1.28%"
"2023- 09- 01","62,500","62,600","63,300","62,500","22.63K","-0.64%"
"2023- 08- 31","62,900","62,900","64,200","62,800","33.24K","-0.16%"
