"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","306,000","303,500","308,000","301,500","14.64K","1.66%"
"2024- 02- 15","301,000","304,000","304,500","300,500","11.06K","0.00%"
"2024- 02- 14","301,000","303,500","303,500","299,500","14.13K","-1.47%"
"2024- 02- 13","305,500","307,500","309,500","303,500","0.00K","0.33%"
"2024- 02- 08","304,500","308,000","313,000","304,000","13.79K","-0.81%"
"2024- 02- 07","307,000","306,000","311,000","303,500","13.43K","1.15%"
"2024- 02- 06","303,500","302,000","306,000","299,000","15.76K","0.50%"
"2024- 02- 05","302,000","306,500","306,500","299,500","15.74K","-1.47%"
"2024- 02- 02","306,500","300,000","312,000","300,000","21.12K","2.17%"
"2024- 02- 01","300,000","298,000","303,000","298,000","19.00K","-0.33%"
"2024- 01- 31","301,000","308,000","308,500","298,000","29.22K","-1.63%"
"2024- 01- 30","306,000","330,000","335,500","306,000","0.01K","-6.71%"
"2024- 01- 29","328,000","330,000","333,500","325,500","8.66K","-0.30%"
"2024- 01- 26","329,000","333,000","335,500","325,500","13.96K","-0.15%"
"2024- 01- 25","329,500","317,500","330,000","311,000","19.76K","3.78%"
"2024- 01- 24","317,500","315,000","330,000","313,000","19.62K","-0.63%"
"2024- 01- 23","319,500","319,000","323,000","312,000","0.00K","1.11%"
"2024- 01- 22","316,000","324,000","324,000","314,000","8.04K","-1.56%"
"2024- 01- 19","321,000","321,500","329,000","319,000","6.69K","0.00%"
"2024- 01- 18","321,000","319,000","326,000","319,000","10.33K","0.31%"
