"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","6,470","6,410","6,490","6,380","543.59K","2.21%"
"2024- 02- 15","6,330","6,440","6,440","6,320","485.96K","0.16%"
"2024- 02- 14","6,320","6,430","6,460","6,320","836.89K","-3.07%"
"2024- 02- 13","6,520","6,480","6,590","6,420","0.01K","1.88%"
"2024- 02- 12","6,400","6,400","6,400","6,400","","0.00%"
"2024- 02- 08","6,400","6,440","6,470","6,340","696.82K","0.16%"
"2024- 02- 07","6,390","6,250","6,450","6,230","643.98K","3.40%"
"2024- 02- 06","6,180","6,320","6,450","6,110","730.95K","-2.98%"
"2024- 02- 05","6,370","6,490","6,510","6,300","0.00K","-1.70%"
"2024- 02- 02","6,480","6,360","6,550","6,260","1.08M","1.89%"
"2024- 02- 01","6,360","6,160","6,420","6,120","770.67K","2.25%"
"2024- 01- 31","6,220","6,260","6,340","6,160","597.17K","-0.48%"
"2024- 01- 30","6,250","6,330","6,440","6,250","0.01K","-0.95%"
"2024- 01- 29","6,310","6,250","6,400","6,210","720.40K","1.12%"
"2024- 01- 26","6,240","6,170","6,310","6,130","499.69K","0.81%"
"2024- 01- 25","6,190","6,150","6,200","6,060","0.01K","1.14%"
"2024- 01- 24","6,120","6,150","6,200","6,040","565.46K","-1.29%"
"2024- 01- 23","6,200","5,970","6,200","5,960","583.44K","3.85%"
"2024- 01- 22","5,970","6,100","6,110","5,870","994.46K","-1.81%"
"2024- 01- 19","6,080","6,110","6,250","6,040","852.97K","0.33%"
"2024- 01- 18","6,060","6,380","6,400","6,060","0.10K","-6.05%"
"2024- 01- 17","6,450","6,540","6,570","6,430","615.11K","-0.92%"
"2024- 01- 16","6,510","6,790","6,790","6,500","0.09K","-4.12%"
"2024- 01- 15","6,790","6,850","6,860","6,760","301.69K","0.00%"
"2024- 01- 12","6,790","6,860","6,890","6,780","437.35K","-0.88%"
"2024- 01- 11","6,850","6,870","6,930","6,850","0.21K","0.00%"
"2024- 01- 10","6,850","6,870","6,920","6,850","373.32K","-0.58%"
"2024- 01- 09","6,890","7,040","7,050","6,880","689.22K","-0.58%"
"2024- 01- 08","6,930","7,000","7,030","6,930","0.01K","-0.72%"
"2024- 01- 05","6,980","7,000","7,090","6,980","413.97K","-0.43%"
"2024- 01- 04","7,010","7,030","7,080","6,980","0.01K","-0.57%"
"2024- 01- 03","7,050","7,290","7,290","7,050","0.11K","-3.56%"
"2024- 01- 02","7,310","7,290","7,340","7,170","0.05K","0.27%"
"2023- 12- 28","7,290","7,090","7,290","7,060","775.81K","2.82%"
"2023- 12- 27","7,090","7,250","7,280","6,920","1.05M","-3.01%"
