"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","27,150","26,650","27,150","26,500","312.80K","2.84%"
"2024- 02- 15","26,400","27,050","27,150","26,350","319.84K","-1.49%"
"2024- 02- 14","26,800","26,800","27,350","26,650","313.59K","-1.83%"
"2024- 02- 13","27,300","27,850","28,050","27,250","0.02K","-1.27%"
"2024- 02- 12","27,650","27,650","27,650","27,650","","0.00%"
"2024- 02- 08","27,650","27,850","28,350","27,650","369.59K","-1.25%"
"2024- 02- 07","28,000","27,000","28,250","26,750","0.24K","4.09%"
"2024- 02- 06","26,900","27,100","27,750","26,650","334.78K","-1.82%"
"2024- 02- 05","27,400","27,650","27,850","26,500","0.01K","-0.54%"
"2024- 02- 04","27,550","27,550","27,550","27,550","","0.00%"
"2024- 02- 02","27,550","27,300","28,400","26,500","1.07M","0.00%"
"2024- 02- 01","27,550","26,150","28,450","25,800","1.34K","4.16%"
"2024- 01- 31","26,450","26,100","26,450","25,600","0.06K","0.76%"
"2024- 01- 30","26,250","26,600","26,700","25,400","945.05K","-0.19%"
"2024- 01- 29","26,300","23,600","26,450","23,400","1.64M","11.44%"
"2024- 01- 28","23,600","23,600","23,600","23,600","","0.00%"
"2024- 01- 26","23,600","23,350","23,800","23,350","119.92K","0.21%"
"2024- 01- 25","23,550","23,050","23,750","22,950","0.02K","2.17%"
"2024- 01- 24","23,050","23,250","23,250","22,950","110.10K","-0.65%"
"2024- 01- 23","23,200","23,300","23,450","23,000","107.30K","-0.43%"
"2024- 01- 22","23,300","22,950","23,400","22,900","117.50K","1.75%"
"2024- 01- 19","22,900","22,950","23,050","22,750","214.86K","-0.43%"
"2024- 01- 18","23,000","23,000","23,200","22,900","186.52K","0.00%"
"2024- 01- 17","23,000","23,600","23,700","22,900","233.44K","-2.54%"
"2024- 01- 16","23,600","23,600","23,800","23,400","124.14K","0.21%"
"2024- 01- 15","23,550","23,650","23,800","23,500","76.69K","-0.42%"
"2024- 01- 14","23,650","23,650","23,650","23,650","","0.00%"
"2024- 01- 12","23,650","23,800","23,950","23,550","150.24K","-1.05%"
"2024- 01- 11","23,900","24,400","24,450","23,900","188.31K","-2.05%"
"2024- 01- 10","24,400","24,450","24,550","24,200","89.70K","0.21%"
"2024- 01- 09","24,350","24,300","24,500","24,200","73.47K","0.83%"
"2024- 01- 08","24,150","24,250","24,350","24,100","0.01K","-0.41%"
"2024- 01- 05","24,250","24,450","24,450","24,050","131.49K","-0.41%"
"2024- 01- 04","24,350","24,600","24,700","24,300","107.02K","-1.22%"
"2024- 01- 03","24,650","24,450","24,950","24,400","178.20K","0.20%"
"2024- 01- 02","24,600","24,700","24,800","24,400","98.74K","-0.40%"
"2023- 12- 28","24,700","24,550","24,800","24,450","75.24K","0.82%"
"2023- 12- 27","24,500","24,500","24,550","24,150","118.68K","-0.20%"
"2023- 12- 26","24,550","24,850","24,900","24,550","112.47K","-0.81%"
"2023- 12- 25","24,750","24,750","24,750","24,750","","0.00%"
"2023- 12- 22","24,750","25,150","25,150","24,700","121.25K","-1.20%"
"2023- 12- 21","25,050","24,800","25,100","24,700","0.04K","0.00%"
"2023- 12- 20","25,050","24,950","25,100","24,750","0.00K","0.20%"
"2023- 12- 19","25,000","25,150","25,200","24,500","0.00K","-0.99%"
"2023- 12- 18","25,250","25,450","25,750","25,050","0.02K","0.20%"
"2023- 12- 15","25,200","25,700","25,850","25,050","476.76K","-1.56%"
"2023- 12- 14","25,600","25,900","25,900","25,500","200.58K","-0.19%"
"2023- 12- 13","25,650","25,900","26,000","25,600","172.32K","0.00%"
"2023- 12- 12","25,650","25,750","25,900","25,550","145.27K","-0.19%"
"2023- 12- 11","25,700","25,750","25,750","25,250","144.78K","0.39%"
"2023- 12- 08","25,600","25,950","26,050","25,450","202.92K","-1.16%"
"2023- 12- 07","25,900","24,600","26,350","24,550","0.01K","4.65%"
"2023- 12- 06","24,750","24,300","24,750","24,300","101.76K","1.85%"
"2023- 12- 05","24,300","24,600","24,750","24,300","177.02K","-1.42%"
"2023- 12- 04","24,650","24,850","24,850","24,550","134.54K","-0.40%"
"2023- 12- 01","24,750","24,850","24,900","24,550","106.41K","-0.40%"
"2023- 11- 30","24,850","24,500","24,850","24,350","0.00K","1.43%"
"2023- 11- 29","24,500","24,550","24,700","24,350","129.26K","-0.20%"
"2023- 11- 28","24,550","24,700","24,700","24,300","117.64K","-0.20%"
"2023- 11- 27","24,600","24,300","24,650","24,300","111.80K","0.41%"
"2023- 11- 24","24,500","24,200","24,550","24,200","170.46K","1.03%"
"2023- 11- 23","24,250","23,600","24,300","23,600","307.17K","2.75%"
"2023- 11- 22","23,600","23,650","23,800","23,500","76.09K","-0.63%"
"2023- 11- 21","23,750","23,800","23,900","23,650","0.00K","0.21%"
"2023- 11- 20","23,700","23,600","23,800","23,450","117.38K","0.42%"
"2023- 11- 17","23,600","23,750","23,850","23,450","121.92K","-0.21%"
"2023- 11- 16","23,650","23,550","23,850","23,400","110.68K","0.21%"
"2023- 11- 15","23,600","23,550","23,800","23,500","161.96K","1.07%"
"2023- 11- 14","23,350","23,400","23,550","23,200","150.88K","-0.21%"
"2023- 11- 13","23,400","23,250","23,450","23,000","134.51K","1.30%"
"2023- 11- 10","23,100","23,050","23,250","23,000","90.25K","0.00%"
"2023- 11- 09","23,100","23,350","23,400","23,100","0.04K","-1.07%"
"2023- 11- 08","23,350","23,600","23,650","23,150","132.66K","-0.21%"
"2023- 11- 07","23,400","23,550","23,600","23,150","140.07K","-1.47%"
"2023- 11- 06","23,750","23,150","23,750","23,000","262.80K","3.71%"
"2023- 11- 05","22,900","22,900","22,900","22,900","","0.00%"
"2023- 11- 03","22,900","22,900","23,000","22,800","112.38K","0.44%"
"2023- 11- 02","22,800","23,000","23,150","22,750","150.25K","-0.44%"
"2023- 11- 01","22,900","22,900","23,150","22,800","83.30K","0.22%"
"2023- 10- 31","22,850","23,350","23,400","22,800","120.63K","-1.72%"
"2023- 10- 30","23,250","22,950","23,250","22,850","87.55K","1.31%"
"2023- 10- 27","22,950","23,000","23,300","22,850","101.74K","-0.22%"
"2023- 10- 26","23,000","22,950","23,250","22,900","180.04K","-1.50%"
"2023- 10- 25","23,350","23,200","23,350","23,050","0.00K","0.65%"
"2023- 10- 24","23,200","23,500","23,500","22,750","148.28K","-0.64%"
"2023- 10- 23","23,350","23,700","23,800","23,200","188.11K","-1.48%"
"2023- 10- 22","23,700","23,700","23,700","23,700","","0.00%"
"2023- 10- 20","23,700","23,950","24,100","23,650","203.59K","-1.66%"
"2023- 10- 19","24,100","24,000","24,150","23,600","0.00K","-0.21%"
"2023- 10- 18","24,150","23,700","24,150","23,700","112.00K","1.26%"
"2023- 10- 17","23,850","24,250","24,250","23,750","103.28K","-1.04%"
"2023- 10- 16","24,100","23,850","24,400","23,600","214.20K","1.26%"
"2023- 10- 15","23,800","23,800","23,800","23,800","","0.00%"
"2023- 10- 13","23,800","23,650","23,850","23,550","89.07K","0.00%"
"2023- 10- 12","23,800","24,000","24,000","23,600","0.04K","0.00%"
"2023- 10- 11","23,800","24,350","24,350","23,200","161.78K","-1.04%"
"2023- 10- 10","24,050","23,800","24,350","23,700","210.85K","2.56%"
"2023- 10- 06","23,450","23,300","23,550","23,200","87.98K","0.64%"
"2023- 10- 05","23,300","23,200","23,450","23,200","124.83K","0.65%"
"2023- 10- 04","23,150","23,900","23,900","23,150","261.97K","-3.14%"
"2023- 10- 03","23,900","23,900","23,900","23,900","","0.00%"
"2023- 09- 27","23,900","23,850","24,050","23,700","87.86K","0.00%"
"2023- 09- 26","23,900","24,250","24,250","23,850","0.00K","-1.65%"
"2023- 09- 25","24,300","24,500","24,650","24,200","0.00K","-0.41%"
"2023- 09- 24","24,400","24,400","24,400","24,400","","0.00%"
"2023- 09- 22","24,400","24,350","24,500","24,200","142.19K","-0.61%"
"2023- 09- 21","24,550","25,100","25,100","24,500","0.00K","-2.39%"
"2023- 09- 20","25,150","25,150","25,250","24,800","162.49K","0.60%"
"2023- 09- 19","25,000","24,950","25,150","24,800","133.38K","0.20%"
"2023- 09- 18","24,950","25,050","25,150","24,800","153.07K","-0.99%"
"2023- 09- 17","25,200","25,200","25,200","25,200","","0.00%"
"2023- 09- 15","25,200","24,950","25,250","24,800","381.76K","1.41%"
"2023- 09- 14","24,850","24,650","25,100","24,550","316.24K","1.64%"
"2023- 09- 13","24,450","24,250","24,700","24,100","312.83K","1.03%"
"2023- 09- 12","24,200","25,050","25,200","24,050","511.51K","-2.81%"
"2023- 09- 11","24,900","25,000","25,150","24,850","139.62K","0.00%"
"2023- 09- 10","24,900","24,900","24,900","24,900","","0.00%"
"2023- 09- 08","24,900","24,350","24,950","24,350","213.71K","2.26%"
"2023- 09- 07","24,350","24,350","24,550","24,100","124.81K","-0.81%"
"2023- 09- 06","24,550","25,050","25,050","24,500","0.01K","-1.80%"
"2023- 09- 05","25,000","24,850","25,250","24,850","135.64K","0.00%"
"2023- 09- 04","25,000","24,750","25,050","24,650","96.11K","0.40%"
"2023- 09- 01","24,900","24,900","25,150","24,850","178.58K","-0.80%"
"2023- 08- 31","25,100","25,000","25,200","24,600","0.01K","0.00%"
