"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","179,300","177,400","179,300","176,000","77.50K","1.99%"
"2024- 02- 15","175,800","178,400","178,500","175,100","57.91K","-0.45%"
"2024- 02- 14","176,600","179,600","180,500","174,600","120.64K","-2.48%"
"2024- 02- 13","181,100","185,100","187,600","179,800","0.10K","-1.63%"
"2024- 02- 08","184,100","188,500","190,600","183,700","95.18K","-2.49%"
"2024- 02- 07","188,800","191,200","191,900","187,100","0.18K","0.91%"
"2024- 02- 06","187,100","186,300","192,400","186,200","81.80K","-0.53%"
"2024- 02- 05","188,100","188,700","189,800","183,200","0.11K","-0.53%"
"2024- 02- 02","189,100","184,000","191,500","184,000","214.41K","3.11%"
"2024- 02- 01","183,400","174,000","187,100","174,000","0.00K","4.86%"
"2024- 01- 31","174,900","169,300","175,300","169,300","77.99K","2.82%"
"2024- 01- 30","170,100","170,000","173,400","169,800","0.02K","0.29%"
"2024- 01- 29","169,600","168,000","170,300","167,000","64.89K","1.13%"
"2024- 01- 26","167,700","169,800","171,400","167,200","92.96K","-1.76%"
"2024- 01- 25","170,700","169,200","171,700","167,000","68.90K","1.31%"
"2024- 01- 24","168,500","169,700","170,400","167,300","60.13K","-0.71%"
"2024- 01- 23","169,700","170,700","170,800","168,500","0.00K","0.35%"
"2024- 01- 22","169,100","169,500","170,600","167,100","25.74K","0.71%"
"2024- 01- 19","167,900","168,500","169,600","166,400","46.66K","0.54%"
"2024- 01- 18","167,000","168,600","170,800","167,000","49.90K","-0.95%"
"2024- 01- 17","168,600","173,000","173,800","168,600","0.01K","-2.26%"
"2024- 01- 16","172,500","178,000","178,200","172,500","52.73K","-3.25%"
"2024- 01- 15","178,300","174,000","179,400","173,900","56.23K","2.06%"
"2024- 01- 12","174,700","174,000","175,500","172,900","46.02K","0.87%"
"2024- 01- 11","173,200","178,600","178,800","173,200","0.05K","-2.70%"
"2024- 01- 10","178,000","177,400","180,000","176,900","0.03K","0.45%"
"2024- 01- 09","177,200","178,900","178,900","175,800","51.05K","0.28%"
"2024- 01- 08","176,700","179,100","179,700","176,000","0.02K","-1.34%"
"2024- 01- 07","179,100","179,100","179,100","179,100","","0.00%"
"2024- 01- 05","179,100","181,900","182,900","178,100","44.50K","-1.54%"
"2024- 01- 04","181,900","181,300","184,500","181,000","0.00K","-0.05%"
"2024- 01- 03","182,000","186,000","186,000","182,000","0.05K","-2.67%"
"2024- 01- 02","187,000","191,500","191,500","185,500","0.02K","-2.35%"
"2023- 12- 28","191,500","189,000","193,400","188,900","59.32K","1.32%"
"2023- 12- 27","189,000","187,200","189,800","186,600","78.22K","0.11%"
"2023- 12- 26","188,800","190,500","191,500","186,900","1.00K","-0.68%"
"2023- 12- 25","190,100","190,100","190,100","190,100","","0.00%"
"2023- 12- 22","190,100","184,500","191,200","183,100","136.52K","3.82%"
"2023- 12- 21","183,100","183,100","185,100","181,900","41.29K","-0.70%"
"2023- 12- 20","184,400","180,900","187,000","179,100","0.00K","2.56%"
"2023- 12- 19","179,800","179,000","181,700","178,200","44.15K","-0.06%"
"2023- 12- 18","179,900","179,800","180,800","178,000","44.19K","0.45%"
"2023- 12- 15","179,100","178,400","181,900","177,200","72.01K","1.07%"
"2023- 12- 14","177,200","179,900","180,700","177,200","73.96K","-0.62%"
"2023- 12- 13","178,300","178,500","180,900","176,300","59.85K","-0.17%"
"2023- 12- 12","178,600","177,800","183,000","177,800","0.03K","1.25%"
"2023- 12- 11","176,400","177,500","177,500","175,600","28.48K","0.00%"
"2023- 12- 10","176,400","176,400","176,400","176,400","","0.00%"
"2023- 12- 08","176,400","176,000","177,500","174,000","33.74K","0.80%"
"2023- 12- 07","175,000","175,300","177,000","174,000","32.69K","-0.91%"
"2023- 12- 06","176,600","176,000","178,700","176,000","32.60K","0.17%"
"2023- 12- 05","176,300","175,500","177,900","174,000","31.80K","-0.17%"
"2023- 12- 04","176,600","175,700","177,800","174,600","42.49K","1.26%"
"2023- 12- 01","174,400","172,900","175,200","172,500","41.66K","0.40%"
"2023- 11- 30","173,700","177,700","178,000","171,800","122.24K","-2.25%"
"2023- 11- 29","177,700","177,000","178,900","176,200","46.77K","-0.11%"
"2023- 11- 28","177,900","179,300","179,600","176,800","38.42K","-0.11%"
"2023- 11- 27","178,100","178,000","178,600","176,700","18.57K","0.56%"
"2023- 11- 24","177,100","178,500","179,000","176,800","22.89K","-1.06%"
"2023- 11- 23","179,000","178,000","179,500","177,400","25.89K","0.17%"
"2023- 11- 22","178,700","177,100","179,700","176,100","31.76K","-0.56%"
"2023- 11- 21","179,700","178,500","179,900","176,800","55.93K","1.58%"
"2023- 11- 20","176,900","175,000","178,500","173,700","42.12K","0.80%"
"2023- 11- 17","175,500","176,200","177,300","174,500","38.46K","-0.96%"
"2023- 11- 16","177,200","177,200","180,300","176,800","54.96K","-0.11%"
"2023- 11- 15","177,400","174,800","177,900","173,100","69.75K","3.38%"
"2023- 11- 14","171,600","172,800","172,800","171,000","43.26K","0.29%"
"2023- 11- 13","171,100","173,600","173,900","170,800","34.60K","-1.33%"
"2023- 11- 10","173,400","172,100","173,400","171,200","25.71K","0.00%"
"2023- 11- 09","173,400","169,700","173,400","169,700","59.38K","2.66%"
"2023- 11- 08","168,900","172,800","172,800","168,900","41.19K","-1.69%"
"2023- 11- 07","171,800","171,500","171,800","168,900","50.44K","-0.69%"
"2023- 11- 06","173,000","169,100","173,000","168,300","66.03K","3.65%"
"2023- 11- 03","166,900","168,000","168,000","162,800","78.75K","0.85%"
"2023- 11- 02","165,500","166,600","168,800","165,100","63.96K","-0.12%"
"2023- 11- 01","165,700","171,200","171,600","164,700","98.41K","-3.16%"
"2023- 10- 31","171,100","172,200","174,400","169,800","58.33K","0.35%"
"2023- 10- 30","170,500","169,700","171,700","168,500","46.82K","-0.47%"
"2023- 10- 27","171,300","170,800","173,400","167,700","72.89K","0.29%"
"2023- 10- 26","170,800","172,000","172,000","169,000","51.91K","-0.64%"
"2023- 10- 25","171,900","170,400","173,600","169,900","45.89K","1.72%"
"2023- 10- 24","169,000","171,600","171,700","166,100","34.84K","-0.47%"
