"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","49,750","49,050","50,300","48,850","75.99K","2.37%"
"2024- 02- 15","48,600","49,600","49,600","48,500","58.68K","-1.02%"
"2024- 02- 14","49,100","48,800","49,150","48,550","45.21K","0.31%"
"2024- 02- 13","48,950","50,400","50,800","48,900","110.99K","-2.00%"
"2024- 02- 08","49,950","51,200","51,300","49,900","85.71K","-2.44%"
"2024- 02- 07","51,200","51,300","51,600","50,400","69.89K","0.99%"
"2024- 02- 06","50,700","50,700","51,200","50,400","45.16K","-0.78%"
"2024- 02- 05","51,100","51,200","51,500","50,300","64.29K","0.00%"
"2024- 02- 02","51,100","51,100","51,800","50,200","101.93K","0.20%"
"2024- 02- 01","51,000","48,850","51,500","48,600","0.07K","2.51%"
"2024- 01- 31","49,750","49,300","49,750","48,600","0.00K","0.71%"
"2024- 01- 30","49,400","49,500","50,400","49,400","67.26K","0.71%"
"2024- 01- 29","49,050","48,650","49,450","48,300","59.34K","0.82%"
"2024- 01- 26","48,650","49,150","49,350","48,500","42.69K","-0.71%"
"2024- 01- 25","49,000","47,550","49,300","47,350","0.00K","3.81%"
"2024- 01- 24","47,200","47,000","48,850","46,650","105.75K","0.43%"
"2024- 01- 23","47,000","46,500","47,050","46,350","82.23K","0.97%"
"2024- 01- 22","46,550","47,700","47,950","46,400","70.61K","-2.21%"
"2024- 01- 19","47,600","47,550","48,400","47,300","78.10K","0.74%"
"2024- 01- 18","47,250","48,100","48,500","47,050","100.09K","-2.07%"
