"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","12,590","12,560","12,700","12,520","27.53K","0.64%"
"2024- 02- 15","12,510","12,680","12,680","12,470","54.88K","-0.32%"
"2024- 02- 14","12,550","12,730","12,730","12,540","37.82K","-0.32%"
"2024- 02- 13","12,590","12,570","12,700","12,460","0.03K","0.00%"
"2024- 02- 08","12,590","12,610","12,670","12,460","37.21K","0.48%"
"2024- 02- 07","12,530","12,700","12,730","12,450","47.27K","-0.56%"
"2024- 02- 06","12,600","12,650","12,710","12,450","81.03K","-0.40%"
"2024- 02- 05","12,650","12,370","12,670","12,120","0.00K","3.52%"
"2024- 02- 02","12,220","12,340","12,350","12,030","60.37K","0.99%"
"2024- 02- 01","12,100","11,830","12,350","11,830","89.22K","0.41%"
"2024- 01- 31","12,050","12,050","12,140","11,900","49.32K","0.00%"
"2024- 01- 30","12,050","11,700","12,110","11,660","90.41K","4.33%"
"2024- 01- 29","11,550","11,510","11,670","11,410","0.00K","1.14%"
"2024- 01- 26","11,420","11,380","11,510","11,300","33.90K","0.18%"
"2024- 01- 25","11,400","11,240","11,400","11,170","27.85K","1.42%"
"2024- 01- 24","11,240","11,370","11,380","11,220","27.91K","-1.14%"
"2024- 01- 23","11,370","11,290","11,430","11,280","40.71K","0.00%"
"2024- 01- 22","11,370","11,450","11,520","11,350","18.81K","-0.35%"
"2024- 01- 19","11,410","11,350","11,630","11,330","32.29K","0.00%"
"2024- 01- 18","11,410","11,380","11,530","11,370","29.91K","-0.61%"
"2024- 01- 17","11,480","11,650","11,750","11,390","42.34K","-0.78%"
"2024- 01- 16","11,570","11,860","11,860","11,500","107.03K","-3.10%"
"2024- 01- 15","11,940","11,910","11,960","11,830","40.35K","0.93%"
"2024- 01- 14","11,830","11,830","11,830","11,830","","0.00%"
"2024- 01- 12","11,830","11,900","11,960","11,710","53.74K","-0.50%"
"2024- 01- 11","11,890","12,000","12,010","11,890","41.24K","-0.42%"
"2024- 01- 10","11,940","11,990","12,010","11,870","29.02K","0.25%"
"2024- 01- 09","11,910","12,000","12,100","11,850","50.47K","-0.25%"
"2024- 01- 08","11,940","12,010","12,090","11,940","38.97K","-0.91%"
"2024- 01- 05","12,050","12,130","12,210","12,020","50.11K","-0.58%"
"2024- 01- 04","12,120","12,340","12,470","12,120","46.02K","-1.70%"
"2024- 01- 03","12,330","12,360","12,450","12,150","0.00K","-0.24%"
"2024- 01- 02","12,360","12,710","12,710","12,310","103.27K","-3.36%"
"2023- 12- 28","12,790","12,970","12,970","12,710","56.45K","-1.46%"
"2023- 12- 27","12,980","12,590","13,040","12,590","88.62K","-2.63%"
"2023- 12- 26","13,330","13,020","13,330","13,010","0.00K","2.38%"
"2023- 12- 22","13,020","13,010","13,300","12,940","73.17K","0.08%"
"2023- 12- 21","13,010","13,020","13,100","12,940","0.09K","-0.69%"
"2023- 12- 20","13,100","13,170","13,180","13,030","44.30K","1.00%"
"2023- 12- 19","12,970","12,860","13,140","12,850","61.69K","1.01%"
"2023- 12- 18","12,840","12,830","12,920","12,690","0.05K","0.08%"
"2023- 12- 15","12,830","12,580","12,840","12,580","80.77K","1.74%"
"2023- 12- 14","12,610","12,860","12,860","12,530","70.00K","-0.32%"
"2023- 12- 13","12,650","12,810","12,810","12,620","0.02K","-0.24%"
"2023- 12- 12","12,680","12,750","12,880","12,640","28.84K","0.00%"
"2023- 12- 11","12,680","12,900","12,900","12,600","27.96K","-0.70%"
"2023- 12- 08","12,770","12,900","12,900","12,710","21.27K","-0.31%"
"2023- 12- 07","12,810","12,710","12,820","12,650","33.36K","-0.08%"
"2023- 12- 06","12,820","13,080","13,080","12,790","49.62K","-1.00%"
"2023- 12- 05","12,950","12,610","13,140","12,570","0.00K","2.37%"
"2023- 12- 04","12,650","12,510","12,740","12,510","41.41K","0.08%"
"2023- 12- 01","12,640","12,640","12,650","12,550","24.57K","-0.24%"
"2023- 11- 30","12,670","12,660","12,690","12,520","33.42K","0.56%"
"2023- 11- 29","12,600","12,600","12,680","12,530","32.43K","-0.71%"
"2023- 11- 28","12,690","12,720","12,740","12,600","24.28K","0.24%"
"2023- 11- 27","12,660","12,780","12,780","12,590","24.38K","-0.31%"
"2023- 11- 24","12,700","12,510","12,760","12,510","21.71K","0.63%"
"2023- 11- 23","12,620","12,710","12,750","12,550","33.68K","-0.55%"
"2023- 11- 22","12,690","12,640","12,750","12,640","34.31K","-0.08%"
"2023- 11- 21","12,700","12,680","12,780","12,650","25.24K","0.16%"
"2023- 11- 20","12,680","12,650","12,850","12,650","31.60K","-0.16%"
"2023- 11- 17","12,700","12,730","12,760","12,620","21.89K","-0.16%"
"2023- 11- 16","12,720","12,890","12,900","12,700","47.04K","-0.63%"
"2023- 11- 15","12,800","12,870","12,960","12,750","72.34K","0.55%"
"2023- 11- 14","12,730","12,810","12,850","12,660","31.42K","0.08%"
"2023- 11- 13","12,720","12,760","12,910","12,610","33.82K","0.00%"
"2023- 11- 10","12,720","12,530","12,720","12,430","20.51K","0.39%"
"2023- 11- 09","12,670","12,440","12,670","12,420","36.86K","1.44%"
"2023- 11- 08","12,490","12,640","12,640","12,450","36.16K","-0.08%"
"2023- 11- 07","12,500","12,350","12,550","12,330","40.76K","0.00%"
"2023- 11- 06","12,500","12,330","12,500","12,200","100.82K","1.46%"
"2023- 11- 03","12,320","12,300","12,370","12,210","17.35K","1.07%"
"2023- 11- 02","12,190","12,170","12,400","12,010","23.13K","-0.16%"
"2023- 11- 01","12,210","12,180","12,310","12,110","22.88K","0.16%"
"2023- 10- 31","12,190","12,350","12,460","12,050","0.02K","-1.22%"
"2023- 10- 30","12,340","12,030","12,360","12,030","35.95K","1.73%"
"2023- 10- 27","12,130","12,060","12,290","11,950","24.37K","1.51%"
"2023- 10- 26","11,950","12,150","12,150","11,900","33.03K","-1.24%"
"2023- 10- 25","12,100","12,000","12,140","12,000","14.97K","0.58%"
"2023- 10- 24","12,030","12,110","12,130","11,800","30.61K","0.33%"
"2023- 10- 23","11,990","12,240","12,240","11,910","30.09K","-0.08%"
"2023- 10- 20","12,000","12,370","12,390","11,940","68.08K","-2.04%"
"2023- 10- 19","12,250","12,410","12,570","12,200","45.09K","-2.85%"
"2023- 10- 18","12,610","12,750","12,880","12,610","217.23K","-0.63%"
"2023- 10- 17","12,690","12,700","12,700","12,600","27.74K","-0.08%"
"2023- 10- 16","12,700","12,600","12,730","12,390","56.40K","1.44%"
"2023- 10- 13","12,520","12,590","12,790","12,460","36.69K","-1.34%"
"2023- 10- 12","12,690","12,610","12,690","12,440","63.48K","1.20%"
"2023- 10- 11","12,540","12,450","12,570","12,270","51.03K","1.13%"
"2023- 10- 10","12,400","12,050","12,580","11,980","141.34K","4.38%"
"2023- 10- 06","11,880","11,670","11,880","11,660","18.04K","1.37%"
"2023- 10- 05","11,720","11,720","11,800","11,650","39.62K","-0.17%"
