"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","15,330","15,050","15,370","14,940","433.61K","2.68%"
"2024- 02- 15","14,930","15,040","15,070","14,870","364.23K","0.13%"
"2024- 02- 14","14,910","15,080","15,230","14,850","608.93K","-2.04%"
"2024- 02- 13","15,220","15,240","15,600","15,180","0.00K","-0.13%"
"2024- 02- 12","15,240","15,240","15,240","15,240","","0.00%"
"2024- 02- 08","15,240","15,500","15,750","15,240","501.77K","-2.12%"
"2024- 02- 07","15,570","15,280","15,570","15,060","0.03K","2.03%"
"2024- 02- 06","15,260","15,200","15,470","15,140","397.91K","-0.13%"
"2024- 02- 05","15,280","15,300","15,340","14,880","0.17K","-0.78%"
"2024- 02- 04","15,400","15,400","15,400","15,400","","0.00%"
"2024- 02- 02","15,400","15,520","15,530","14,740","1.16M","-1.85%"
"2024- 02- 01","15,690","14,990","15,870","14,990","1.71K","3.84%"
"2024- 01- 31","15,110","15,100","15,360","14,920","737.93K","0.13%"
"2024- 01- 30","15,090","15,260","15,520","15,020","0.05K","-0.66%"
"2024- 01- 29","15,190","14,820","15,260","14,740","0.32K","2.22%"
"2024- 01- 26","14,860","14,400","14,950","14,330","355.76K","2.77%"
"2024- 01- 25","14,460","14,120","14,590","14,020","0.10K","2.26%"
"2024- 01- 24","14,140","14,100","14,140","13,880","190.74K","0.28%"
"2024- 01- 23","14,100","14,030","14,150","13,860","374.83K","0.50%"
"2024- 01- 22","14,030","14,290","14,340","14,000","405.75K","-1.54%"
"2024- 01- 19","14,250","14,250","14,520","14,170","284.90K","0.14%"
"2024- 01- 18","14,230","14,300","14,480","14,190","0.00K","-0.35%"
"2024- 01- 17","14,280","14,590","14,690","14,170","0.02K","-2.33%"
"2024- 01- 16","14,620","14,600","14,860","14,570","0.00K","-0.48%"
"2024- 01- 15","14,690","14,790","14,900","14,650","275.55K","-0.88%"
"2024- 01- 14","14,820","14,820","14,820","14,820","","0.00%"
"2024- 01- 12","14,820","15,150","15,170","14,740","378.31K","-1.72%"
"2024- 01- 11","15,080","15,600","15,600","15,070","0.03K","-1.37%"
"2024- 01- 10","15,290","14,730","15,720","14,720","973.60K","3.10%"
"2024- 01- 09","14,830","14,460","14,950","14,290","451.20K","3.63%"
"2024- 01- 08","14,310","14,250","14,570","14,240","0.15K","0.07%"
"2024- 01- 07","14,300","14,300","14,300","14,300","","0.00%"
"2024- 01- 05","14,300","14,420","14,500","14,270","305.79K","-0.76%"
"2024- 01- 04","14,410","14,630","14,680","14,410","0.26K","-1.77%"
"2024- 01- 03","14,670","14,620","14,810","14,580","446.21K","-0.41%"
"2024- 01- 02","14,730","14,840","14,870","14,560","0.01K","-1.93%"
"2023- 12- 28","15,020","14,840","15,120","14,660","729.40K","0.13%"
"2023- 12- 27","15,000","15,730","15,800","14,820","0.20K","-6.07%"
"2023- 12- 26","15,970","15,480","16,020","15,360","0.07K","3.17%"
"2023- 12- 25","15,480","15,480","15,480","15,480","","0.00%"
"2023- 12- 22","15,480","15,530","15,580","15,440","333.24K","-0.32%"
"2023- 12- 21","15,530","15,430","15,570","15,390","0.02K","0.13%"
"2023- 12- 20","15,510","15,550","15,650","15,470","353.25K","0.06%"
"2023- 12- 19","15,500","15,340","15,610","15,200","481.62K","0.19%"
"2023- 12- 18","15,470","15,700","15,740","15,270","0.21K","-1.72%"
"2023- 12- 15","15,740","15,700","16,040","15,690","454.66K","0.64%"
"2023- 12- 14","15,640","15,930","15,950","15,640","724.60K","0.39%"
"2023- 12- 13","15,580","15,850","15,920","15,550","313.85K","-1.70%"
"2023- 12- 12","15,850","15,570","16,020","15,510","598.84K","1.99%"
"2023- 12- 11","15,540","15,950","15,960","15,230","0.00K","-2.26%"
"2023- 12- 10","15,900","15,900","15,900","15,900","","0.00%"
"2023- 12- 08","15,900","16,060","16,110","15,690","645.25K","-0.06%"
"2023- 12- 07","15,910","16,040","16,140","15,870","384.86K","-1.43%"
"2023- 12- 06","16,140","16,070","16,250","15,890","380.73K","0.75%"
"2023- 12- 05","16,020","16,110","16,220","15,930","0.02K","-1.35%"
"2023- 12- 04","16,240","16,170","16,380","16,030","325.26K","0.43%"
"2023- 12- 03","16,170","16,170","16,170","16,170","","0.00%"
"2023- 12- 01","16,170","16,270","16,320","16,060","311.92K","-0.25%"
"2023- 11- 30","16,210","16,170","16,230","16,020","0.07K","1.31%"
"2023- 11- 29","16,000","16,800","16,810","15,850","1.14M","-4.82%"
"2023- 11- 28","16,810","16,870","16,940","16,650","493.19K","0.12%"
"2023- 11- 27","16,790","16,620","17,020","16,510","17.14K","0.72%"
"2023- 11- 26","16,670","16,670","16,670","16,670","","0.00%"
"2023- 11- 24","16,670","16,920","16,940","16,350","1.09M","-1.42%"
"2023- 11- 23","16,910","17,000","17,380","16,820","0.01K","-0.35%"
"2023- 11- 22","16,970","16,520","17,090","16,500","0.00K","1.43%"
"2023- 11- 21","16,730","16,160","16,800","16,060","0.06K","4.56%"
"2023- 11- 20","16,000","15,820","16,340","15,800","855.04K","1.20%"
"2023- 11- 19","15,810","15,810","15,810","15,810","","0.00%"
"2023- 11- 17","15,810","15,440","15,950","15,340","1.00M","2.53%"
"2023- 11- 16","15,420","15,200","15,660","15,070","1.01M","1.45%"
"2023- 11- 15","15,200","14,750","15,250","14,590","1.28M","4.90%"
"2023- 11- 14","14,490","14,340","14,570","14,340","276.94K","1.05%"
"2023- 11- 13","14,340","14,530","14,530","14,260","290.04K","-0.90%"
"2023- 11- 10","14,470","14,280","14,560","14,170","301.88K","0.63%"
"2023- 11- 09","14,380","14,540","14,760","14,380","0.17K","-1.10%"
"2023- 11- 08","14,540","14,280","14,640","14,130","779.96K","2.76%"
"2023- 11- 07","14,150","14,140","14,200","13,950","560.51K","0.07%"
"2023- 11- 06","14,140","13,950","14,140","13,760","0.05K","3.14%"
"2023- 11- 03","13,710","13,510","13,780","13,470","515.38K","2.16%"
"2023- 11- 02","13,420","13,490","13,550","13,330","396.39K","0.37%"
"2023- 11- 01","13,370","13,210","13,520","13,210","348.79K","1.60%"
"2023- 10- 31","13,160","13,420","13,500","13,080","460.73K","-1.20%"
"2023- 10- 30","13,320","13,150","13,410","13,150","0.01K","0.53%"
"2023- 10- 27","13,250","13,200","13,440","13,180","368.56K","0.45%"
"2023- 10- 26","13,190","13,420","13,430","13,110","386.32K","-2.22%"
"2023- 10- 25","13,490","13,270","13,530","13,210","406.23K","1.66%"
"2023- 10- 24","13,270","13,000","13,280","12,780","490.83K","2.08%"
"2023- 10- 23","13,000","13,250","13,360","12,900","677.74K","-2.77%"
"2023- 10- 22","13,370","13,370","13,370","13,370","","0.00%"
"2023- 10- 20","13,370","13,260","13,470","12,930","559.70K","0.60%"
"2023- 10- 19","13,290","13,420","13,420","13,210","330.67K","-1.92%"
"2023- 10- 18","13,550","13,230","13,550","13,220","1.14M","2.03%"
"2023- 10- 17","13,280","13,380","13,460","13,140","291.49K","-0.08%"
"2023- 10- 16","13,290","13,050","13,340","13,030","448.04K","0.91%"
"2023- 10- 13","13,170","13,330","13,400","13,130","355.40K","-1.20%"
"2023- 10- 12","13,330","13,060","13,480","13,060","591.52K","2.15%"
"2023- 10- 11","13,050","12,820","13,130","12,800","0.01K","2.35%"
"2023- 10- 10","12,750","13,340","13,360","12,670","1.44M","-4.14%"
"2023- 10- 09","13,300","13,300","13,300","13,300","","0.00%"
"2023- 10- 06","13,300","13,370","13,540","13,140","594.83K","-0.67%"
"2023- 10- 05","13,390","13,570","13,700","13,330","0.01K","-0.89%"
"2023- 10- 04","13,510","13,990","14,060","13,510","740.48K","-3.71%"
"2023- 10- 03","14,030","14,030","14,030","14,030","","0.00%"
"2023- 09- 27","14,030","13,650","14,060","13,640","428.44K","1.67%"
"2023- 09- 26","13,800","14,130","14,170","13,740","0.00K","-2.54%"
"2023- 09- 25","14,160","14,200","14,260","14,050","0.01K","-0.35%"
"2023- 09- 24","14,210","14,210","14,210","14,210","","0.00%"
"2023- 09- 22","14,210","14,370","14,380","14,190","501.37K","-1.46%"
"2023- 09- 21","14,420","14,690","14,790","14,370","0.01K","-1.97%"
"2023- 09- 20","14,710","14,670","14,790","14,610","0.10K","-0.07%"
"2023- 09- 19","14,720","14,670","14,750","14,550","323.59K","0.34%"
"2023- 09- 18","14,670","14,830","14,920","14,670","0.00K","-1.15%"
"2023- 09- 15","14,840","14,630","14,940","14,580","1.00M","1.44%"
"2023- 09- 14","14,630","14,620","14,690","14,480","0.01K","0.27%"
"2023- 09- 13","14,590","14,360","14,620","14,300","439.09K","1.46%"
"2023- 09- 12","14,380","14,700","14,730","14,360","0.01K","-1.91%"
"2023- 09- 11","14,660","14,470","14,740","14,400","674.16K","1.81%"
"2023- 09- 10","14,400","14,400","14,400","14,400","","0.00%"
"2023- 09- 08","14,400","14,240","14,430","14,100","342.75K","1.05%"
"2023- 09- 07","14,250","14,310","14,390","14,170","0.01K","-1.11%"
"2023- 09- 06","14,410","14,640","14,680","14,300","0.02K","-1.91%"
"2023- 09- 05","14,690","14,820","14,880","14,620","0.04K","-0.54%"
"2023- 09- 04","14,770","14,480","14,790","14,360","0.01K","2.43%"
"2023- 09- 03","14,420","14,420","14,420","14,420","","0.00%"
"2023- 09- 01","14,420","14,540","14,790","14,420","611.10K","-0.76%"
"2023- 08- 31","14,530","14,540","14,700","14,380","0.06K","0.14%"
"2023- 08- 30","14,510","14,970","14,970","14,480","585.83K","-1.56%"
"2023- 08- 29","14,740","14,560","14,930","14,440","0.25K","1.80%"
"2023- 08- 28","14,480","14,000","14,760","13,440","3.14M","3.43%"
"2023- 08- 27","14,000","14,000","14,000","14,000","","0.00%"
"2023- 08- 25","14,000","13,990","14,140","13,970","345.59K","-0.85%"
"2023- 08- 24","14,120","14,010","14,220","13,980","0.00K","1.29%"
"2023- 08- 23","13,940","13,900","14,230","13,770","667.52K","0.50%"
"2023- 08- 22","13,870","13,870","14,050","13,770","603.27K","0.43%"
"2023- 08- 21","13,810","13,840","14,140","13,800","0.15K","0.07%"
"2023- 08- 20","13,800","13,800","13,800","13,800","","0.00%"
"2023- 08- 18","13,800","13,830","14,040","13,680","524.00K","-0.22%"
"2023- 08- 17","13,830","13,940","14,030","13,770","0.01K","-1.21%"
"2023- 08- 16","14,000","14,270","14,270","13,950","0.00K","-2.03%"
"2023- 08- 15","14,290","14,290","14,290","14,290","","0.00%"
"2023- 08- 14","14,290","14,380","14,400","14,190","454.97K","-0.21%"
"2023- 08- 13","14,320","14,320","14,320","14,320","","0.00%"
"2023- 08- 11","14,320","14,220","14,550","14,220","747.56K","0.92%"
"2023- 08- 10","14,190","14,020","14,440","14,020","1.03M","1.21%"
"2023- 08- 09","14,020","14,020","14,210","13,900","589.69K","0.21%"
"2023- 08- 08","13,990","14,200","14,260","13,970","0.06K","-1.41%"
"2023- 08- 07","14,190","14,310","14,360","14,160","536.52K","-0.84%"
"2023- 08- 06","14,310","14,310","14,310","14,310","","0.00%"
"2023- 08- 04","14,310","14,250","14,380","14,070","471.32K","-0.21%"
"2023- 08- 03","14,340","14,410","14,490","14,200","0.03K","-0.97%"
"2023- 08- 02","14,480","14,470","14,690","14,350","0.03K","-0.21%"
"2023- 08- 01","14,510","14,640","14,680","14,380","0.00K","-0.68%"
"2023- 07- 31","14,610","14,130","14,900","13,940","0.10K","3.62%"
"2023- 07- 30","14,100","14,100","14,100","14,100","","0.00%"
"2023- 07- 28","14,100","13,950","14,190","13,810","945.92K","1.00%"
"2023- 07- 27","13,960","13,950","14,040","13,520","0.12K","-0.14%"
"2023- 07- 26","13,980","14,410","14,410","13,820","0.28K","-2.98%"
"2023- 07- 25","14,410","14,160","14,460","14,000","0.19K","2.13%"
"2023- 07- 24","14,110","14,300","14,300","14,030","0.03K","-1.54%"
"2023- 07- 23","14,330","14,330","14,330","14,330","","0.00%"
