"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","23,100","23,100","23,150","22,900","494.18K","0.87%"
"2024- 02- 15","22,900","23,450","23,500","22,850","0.02K","-1.72%"
"2024- 02- 14","23,300","23,650","23,700","23,150","0.18K","-1.48%"
"2024- 02- 13","23,650","23,050","23,750","23,000","19.09K","3.50%"
"2024- 02- 12","22,850","22,850","22,850","22,850","","0.00%"
"2024- 02- 08","22,850","23,100","23,100","22,850","790.12K","-0.87%"
"2024- 02- 07","23,050","23,000","23,150","22,800","0.06K","0.66%"
"2024- 02- 06","22,900","22,750","22,900","22,650","539.58K","0.22%"
"2024- 02- 05","22,850","23,150","23,200","22,650","752.32K","-1.30%"
"2024- 02- 04","23,150","23,150","23,150","23,150","","0.00%"
"2024- 02- 02","23,150","22,750","23,200","22,550","1.04M","1.98%"
"2024- 02- 01","22,700","23,100","23,350","22,450","0.00K","0.89%"
"2024- 01- 31","22,500","22,450","22,500","22,150","0.03K","0.22%"
"2024- 01- 30","22,450","22,550","22,600","22,300","0.30K","0.22%"
"2024- 01- 29","22,400","22,450","22,600","22,300","513.95K","-0.88%"
"2024- 01- 28","22,600","22,600","22,600","22,600","","0.00%"
"2024- 01- 26","22,600","22,350","22,700","22,350","504.24K","0.44%"
"2024- 01- 25","22,500","22,200","22,500","22,150","0.10K","0.90%"
"2024- 01- 24","22,300","22,400","22,500","22,150","639.57K","-0.89%"
"2024- 01- 23","22,500","22,600","22,650","22,300","672.35K","0.00%"
"2024- 01- 22","22,500","23,000","23,000","22,450","518.12K","-2.17%"
"2024- 01- 21","23,000","23,000","23,000","23,000","","0.00%"
"2024- 01- 19","23,000","22,550","23,000","22,400","721.18K","3.37%"
"2024- 01- 18","22,250","22,000","22,550","21,950","617.43K","0.68%"
"2024- 01- 17","22,100","22,650","22,750","22,100","0.15K","-2.43%"
"2024- 01- 16","22,650","22,950","23,100","22,550","0.12K","-1.31%"
"2024- 01- 15","22,950","23,200","24,300","22,900","1.69M","0.44%"
"2024- 01- 14","22,850","22,850","22,850","22,850","","0.00%"
"2024- 01- 12","22,850","23,100","23,100","22,700","825.64K","-1.30%"
