"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","194,000","188,200","194,300","186,100","189.24K","3.91%"
"2024- 02- 15","186,700","191,000","191,000","185,400","0.01K","-1.06%"
"2024- 02- 14","188,700","192,000","195,400","188,300","220.67K","-3.48%"
"2024- 02- 13","195,500","195,900","199,500","194,700","189.60K","-0.26%"
"2024- 02- 12","196,000","196,000","196,000","196,000","","0.00%"
"2024- 02- 08","196,000","194,400","198,600","191,900","275.37K","-0.86%"
"2024- 02- 07","197,700","193,200","198,200","191,800","0.05K","2.70%"
"2024- 02- 06","192,500","193,700","198,300","191,200","217.16K","-0.36%"
"2024- 02- 05","193,200","196,500","197,900","188,800","0.00K","-1.83%"
"2024- 02- 04","196,800","196,800","196,800","196,800","","0.00%"
"2024- 02- 02","196,800","195,600","199,500","189,800","569.12K","-0.10%"
"2024- 02- 01","197,000","182,600","198,300","181,400","0.22K","7.36%"
"2024- 01- 31","183,500","173,500","184,800","170,800","0.30K","5.10%"
"2024- 01- 30","174,600","179,300","179,700","173,300","0.00K","-0.85%"
"2024- 01- 29","176,100","160,300","180,000","160,000","0.01K","9.93%"
"2024- 01- 28","160,200","160,200","160,200","160,200","","0.00%"
"2024- 01- 26","160,200","159,100","161,200","159,000","65.25K","-0.37%"
"2024- 01- 25","160,800","157,900","160,800","155,700","0.00K","1.77%"
"2024- 01- 24","158,000","158,000","159,200","155,300","65.75K","-0.57%"
"2024- 01- 23","158,900","158,300","159,200","155,300","60.26K","1.53%"
"2024- 01- 22","156,500","154,600","157,900","154,100","67.99K","1.76%"
"2024- 01- 21","153,800","153,800","153,800","153,800","","0.00%"
"2024- 01- 19","153,800","152,000","154,500","151,100","97.25K","1.72%"
"2024- 01- 18","151,200","152,500","154,500","150,300","119.43K","-1.18%"
"2024- 01- 17","153,000","158,000","158,000","152,800","0.01K","-3.29%"
"2024- 01- 16","158,200","160,100","161,900","157,800","96.92K","-2.04%"
"2024- 01- 15","161,500","164,000","164,000","160,500","81.72K","-1.16%"
"2024- 01- 12","163,400","164,100","165,200","162,000","65.31K","-0.24%"
"2024- 01- 11","163,800","165,200","165,500","163,000","92.60K","-0.36%"
"2024- 01- 10","164,400","168,500","170,300","163,900","112.13K","-2.66%"
"2024- 01- 09","168,900","168,400","170,300","167,700","0.01K","1.44%"
"2024- 01- 08","166,500","171,300","171,300","166,500","93.70K","-2.29%"
"2024- 01- 07","170,400","170,400","170,400","170,400","","0.00%"
"2024- 01- 05","170,400","170,100","171,900","169,200","112.87K","-0.64%"
"2024- 01- 04","171,500","175,900","176,000","168,800","204.31K","-3.00%"
"2024- 01- 03","176,800","179,500","179,900","176,600","104.71K","-2.05%"
"2024- 01- 02","180,500","178,000","180,600","176,900","0.01K","1.40%"
"2023- 12- 28","178,000","176,500","178,000","175,300","100.94K","1.02%"
"2023- 12- 27","176,200","174,300","177,300","173,300","93.55K","0.69%"
"2023- 12- 26","175,000","175,300","176,100","173,500","0.00K","0.86%"
"2023- 12- 25","173,500","173,500","173,500","173,500","","0.00%"
"2023- 12- 22","173,500","175,400","176,300","173,000","99.59K","-1.03%"
"2023- 12- 21","175,300","176,000","177,600","174,200","90.23K","-1.07%"
"2023- 12- 20","177,200","175,800","178,200","175,800","0.00K","0.85%"
"2023- 12- 19","175,700","174,200","176,700","174,200","89.70K","0.69%"
"2023- 12- 18","174,500","177,500","177,500","174,500","98.57K","-1.75%"
"2023- 12- 17","177,600","177,600","177,600","177,600","","0.00%"
"2023- 12- 15","177,600","174,600","177,800","174,100","208.27K","2.07%"
"2023- 12- 14","174,000","173,500","174,900","173,200","0.00K","1.16%"
"2023- 12- 13","172,000","171,100","173,100","171,100","108.66K","0.29%"
"2023- 12- 12","171,500","171,600","172,300","169,900","0.00K","0.41%"
"2023- 12- 11","170,800","171,500","171,900","169,500","0.00K","0.00%"
"2023- 12- 08","170,800","170,200","171,000","168,500","103.15K","0.65%"
"2023- 12- 07","169,700","167,300","169,800","166,300","101.89K","0.47%"
"2023- 12- 06","168,900","168,500","170,500","168,200","118.69K","0.24%"
"2023- 12- 05","168,500","165,900","169,500","165,100","131.51K","0.72%"
"2023- 12- 04","167,300","166,600","168,500","164,500","122.79K","1.27%"
"2023- 12- 01","165,200","163,500","166,800","163,500","123.10K","0.98%"
"2023- 11- 30","163,600","165,200","166,300","162,400","252.70K","-0.67%"
"2023- 11- 29","164,700","165,000","166,500","162,300","126.10K","-1.14%"
"2023- 11- 28","166,600","162,600","167,500","161,500","210.28K","2.97%"
"2023- 11- 27","161,800","161,100","162,900","159,900","0.00K","0.68%"
"2023- 11- 24","160,700","163,500","163,500","160,400","111.89K","-1.59%"
"2023- 11- 23","163,300","163,500","164,300","161,800","85.09K","-0.12%"
"2023- 11- 22","163,500","162,700","164,500","162,200","107.26K","-0.30%"
"2023- 11- 21","164,000","164,100","164,600","161,800","0.00K","0.18%"
"2023- 11- 20","163,700","163,000","164,400","161,100","80.60K","0.43%"
"2023- 11- 19","163,000","163,000","163,000","163,000","","0.00%"
"2023- 11- 17","163,000","164,900","164,900","161,400","90.05K","-0.97%"
"2023- 11- 16","164,600","163,000","164,600","162,500","100.75K","0.49%"
"2023- 11- 15","163,800","161,900","164,700","161,900","177.45K","3.28%"
"2023- 11- 14","158,600","157,500","160,700","156,700","124.68K","1.93%"
"2023- 11- 13","155,600","158,700","159,100","154,200","0.01K","-2.51%"
"2023- 11- 12","159,600","159,600","159,600","159,600","","0.00%"
