"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","15,370","15,490","15,570","15,330","1.43M","-0.13%"
"2024- 02- 15","15,390","15,550","15,620","15,370","1.51M","0.20%"
"2024- 02- 14","15,360","15,460","15,460","15,290","1.54M","-1.66%"
"2024- 02- 13","15,620","15,700","15,780","15,550","0.01K","0.00%"
"2024- 02- 12","15,620","15,620","15,620","15,620","","0.00%"
"2024- 02- 08","15,620","15,300","15,710","15,290","2.37M","2.49%"
"2024- 02- 07","15,240","15,280","15,430","15,170","0.53K","-0.52%"
"2024- 02- 06","15,320","15,290","15,450","15,230","1.40M","-0.33%"
"2024- 02- 05","15,370","15,940","15,940","15,340","0.12K","-3.94%"
"2024- 02- 02","16,000","15,400","16,100","15,310","5.80M","4.03%"
"2024- 02- 01","15,380","15,420","15,570","15,210","0.46K","-0.39%"
"2024- 01- 31","15,440","15,000","15,440","14,890","0.49K","2.73%"
"2024- 01- 30","15,030","15,480","15,590","15,030","1.24K","-1.89%"
"2024- 01- 29","15,320","15,230","15,560","15,200","0.00K","0.99%"
"2024- 01- 28","15,170","15,170","15,170","15,170","","0.00%"
"2024- 01- 26","15,170","14,870","15,280","14,790","2.11M","2.02%"
"2024- 01- 25","14,870","14,810","14,870","14,300","2.26K","0.07%"
"2024- 01- 24","14,860","15,010","15,020","14,800","1.19M","-0.93%"
"2024- 01- 23","15,000","15,030","15,150","14,980","1.23M","-0.07%"
"2024- 01- 22","15,010","15,230","15,230","15,000","0.95K","-0.79%"
"2024- 01- 19","15,130","14,870","15,130","14,870","1.62M","2.37%"
"2024- 01- 18","14,780","14,710","14,920","14,640","0.05K","1.44%"
"2024- 01- 17","14,570","15,250","15,250","14,560","4.29K","-4.33%"
"2024- 01- 16","15,230","15,310","15,360","15,100","0.21K","-0.59%"
"2024- 01- 15","15,320","15,110","15,320","15,060","0.00K","1.73%"
"2024- 01- 14","15,060","15,060","15,060","15,060","","0.00%"
"2024- 01- 12","15,060","15,200","15,270","15,020","1.69M","-0.59%"
"2024- 01- 11","15,150","15,400","15,470","15,150","0.04K","-0.26%"
"2024- 01- 10","15,190","15,580","15,640","15,160","2.32M","-2.50%"
"2024- 01- 09","15,580","15,700","15,780","15,580","0.10K","0.13%"
"2024- 01- 08","15,560","15,680","15,730","15,530","1.57M","0.00%"
"2024- 01- 07","15,560","15,560","15,560","15,560","","0.00%"
"2024- 01- 05","15,560","15,690","15,780","15,550","1.53M","-0.06%"
"2024- 01- 04","15,570","15,500","15,660","15,420","0.00K","-0.19%"
"2024- 01- 03","15,600","15,840","15,840","15,600","0.43K","-2.56%"
"2024- 01- 02","16,010","15,900","16,040","15,720","2.09M","0.69%"
"2023- 12- 28","15,900","15,660","15,900","15,510","2.31M","1.66%"
"2023- 12- 27","15,640","15,430","15,640","15,400","1.55M","1.43%"
"2023- 12- 26","15,420","15,610","15,690","15,380","0.00K","-0.58%"
"2023- 12- 25","15,510","15,510","15,510","15,510","","0.00%"
"2023- 12- 22","15,510","15,650","15,650","15,410","1.65M","-0.26%"
"2023- 12- 21","15,550","15,800","15,900","15,480","0.20K","-2.26%"
"2023- 12- 20","15,910","15,750","15,980","15,720","0.98K","1.47%"
"2023- 12- 19","15,680","15,450","15,840","15,450","1.55M","-0.44%"
"2023- 12- 18","15,750","15,850","15,910","15,690","1.43M","-1.01%"
"2023- 12- 17","15,910","15,910","15,910","15,910","","0.00%"
"2023- 12- 15","15,910","15,900","15,930","15,740","2.12M","0.44%"
"2023- 12- 14","15,840","15,680","15,840","15,600","1.51K","2.52%"
"2023- 12- 13","15,450","15,740","15,790","15,390","0.01K","-2.22%"
"2023- 12- 12","15,800","15,830","15,940","15,700","0.01K","1.87%"
"2023- 12- 11","15,510","15,390","15,570","15,220","0.15K","-1.34%"
"2023- 12- 10","15,720","15,720","15,720","15,720","","0.00%"
"2023- 12- 08","15,720","15,870","16,080","15,710","1.74M","-1.07%"
"2023- 12- 07","15,890","15,860","15,890","15,580","0.65K","-0.38%"
"2023- 12- 06","15,950","16,130","16,240","15,850","1.15K","0.31%"
"2023- 12- 05","15,900","15,600","16,170","15,570","0.11K","1.86%"
"2023- 12- 04","15,610","15,400","15,720","15,400","0.09K","2.23%"
"2023- 12- 03","15,270","15,270","15,270","15,270","","0.00%"
"2023- 12- 01","15,270","15,600","15,600","15,220","2.24M","-3.35%"
"2023- 11- 30","15,800","14,940","15,800","14,880","1.83K","4.84%"
"2023- 11- 29","15,070","15,260","15,260","14,970","1.77M","-1.25%"
"2023- 11- 28","15,260","15,110","15,340","15,030","2.61M","2.01%"
"2023- 11- 27","14,960","15,070","15,090","14,840","0.09K","-0.40%"
"2023- 11- 26","15,020","15,020","15,020","15,020","","0.00%"
"2023- 11- 24","15,020","14,950","15,130","14,880","1.68M","0.54%"
"2023- 11- 23","14,940","14,720","15,070","14,710","0.04K","2.26%"
"2023- 11- 22","14,610","14,750","14,770","14,450","1.67M","-0.54%"
"2023- 11- 21","14,690","14,700","14,780","14,530","2.00M","0.07%"
"2023- 11- 20","14,680","14,370","14,720","14,290","1.69M","2.02%"
"2023- 11- 19","14,390","14,390","14,390","14,390","","0.00%"
"2023- 11- 17","14,390","14,610","14,620","14,340","1.37M","-1.44%"
"2023- 11- 16","14,600","14,700","14,740","14,530","1.61M","-0.41%"
"2023- 11- 15","14,660","14,450","14,660","14,360","2.53M","3.17%"
"2023- 11- 14","14,210","13,860","14,210","13,800","1.80M","3.57%"
"2023- 11- 13","13,720","13,970","14,040","13,680","0.01K","-0.87%"
"2023- 11- 12","13,840","13,840","13,840","13,840","","0.00%"
"2023- 11- 10","13,840","13,850","13,940","13,770","1.61M","-1.91%"
"2023- 11- 09","14,110","14,280","14,390","14,020","0.03K","-3.02%"
"2023- 11- 08","14,550","14,610","14,850","14,470","2.26M","-0.21%"
"2023- 11- 07","14,580","14,990","14,990","14,350","0.03K","-2.80%"
