"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","34,050","34,100","34,300","33,650","174.02K","0.89%"
"2024- 02- 15","33,750","35,150","35,150","33,750","0.10K","-2.88%"
"2024- 02- 14","34,750","33,800","35,100","33,500","120.98K","1.31%"
"2024- 02- 13","34,300","34,600","35,350","34,200","0.01K","0.73%"
"2024- 02- 12","34,050","34,050","34,050","34,050","","0.00%"
"2024- 02- 08","34,050","34,500","34,850","33,800","152.84K","-1.30%"
"2024- 02- 07","34,500","34,600","35,250","33,850","0.07K","2.07%"
"2024- 02- 06","33,800","35,500","36,750","33,650","414.51K","-6.11%"
"2024- 02- 05","36,000","37,250","37,350","34,450","0.10K","0.56%"
"2024- 02- 04","35,800","35,800","35,800","35,800","","0.00%"
"2024- 02- 02","35,800","34,450","36,450","33,750","556.70K","6.07%"
"2024- 02- 01","33,750","32,200","34,550","31,900","334.28K","5.14%"
"2024- 01- 31","32,100","31,550","32,750","31,350","0.02K","2.39%"
"2024- 01- 30","31,350","32,350","32,800","31,250","0.54K","-1.88%"
"2024- 01- 29","31,950","31,400","32,250","31,250","74.68K","1.59%"
"2024- 01- 28","31,450","31,450","31,450","31,450","","0.00%"
"2024- 01- 26","31,450","32,500","32,650","31,450","91.29K","-2.33%"
"2024- 01- 25","32,200","31,150","32,200","30,900","0.01K","3.37%"
"2024- 01- 24","31,150","31,450","31,450","30,750","58.07K","-0.32%"
"2024- 01- 23","31,250","30,800","31,250","30,550","98.06K","1.46%"
"2024- 01- 22","30,800","31,300","31,300","30,550","82.05K","-1.12%"
"2024- 01- 19","31,150","31,350","31,700","31,000","68.39K","0.48%"
"2024- 01- 18","31,000","31,700","31,800","30,800","101.19K","-2.52%"
"2024- 01- 17","31,800","32,750","32,900","31,700","54.77K","-2.75%"
"2024- 01- 16","32,700","33,300","33,300","32,500","0.00K","-1.51%"
"2024- 01- 15","33,200","32,600","33,750","32,600","50.69K","0.91%"
"2024- 01- 14","32,900","32,900","32,900","32,900","","0.00%"
"2024- 01- 12","32,900","32,850","33,100","32,300","61.92K","0.15%"
"2024- 01- 11","32,850","33,150","33,650","32,850","0.01K","0.15%"
"2024- 01- 10","32,800","32,200","32,900","32,150","81.17K","1.55%"
"2024- 01- 09","32,300","33,400","33,450","32,100","132.15K","-1.52%"
"2024- 01- 08","32,800","33,350","33,900","32,750","109.80K","-1.20%"
"2024- 01- 05","33,200","33,500","34,050","33,100","82.11K","-0.75%"
"2024- 01- 04","33,450","34,150","34,300","33,250","0.19K","-2.19%"
