"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","23,350","23,650","23,700","23,300","75.25K","0.00%"
"2024- 02- 15","23,350","23,150","23,500","23,000","83.59K","1.97%"
"2024- 02- 14","22,900","23,100","23,200","22,550","128.63K","-1.93%"
"2024- 02- 13","23,350","23,250","23,400","23,050","0.01K","1.52%"
"2024- 02- 08","23,000","23,200","23,500","23,000","109.65K","-1.29%"
"2024- 02- 07","23,300","23,900","23,950","23,100","89.70K","-2.10%"
"2024- 02- 06","23,800","23,250","23,850","23,250","61.62K","0.21%"
"2024- 02- 05","23,750","23,850","23,900","23,150","70.00K","-0.42%"
"2024- 02- 02","23,850","23,000","24,000","22,950","79.11K","3.92%"
"2024- 02- 01","22,950","23,150","23,450","22,600","97.89K","-1.71%"
"2024- 01- 31","23,350","24,250","24,450","23,250","130.90K","-4.11%"
"2024- 01- 30","24,350","24,700","25,050","24,350","62.81K","-1.42%"
"2024- 01- 29","24,700","25,000","25,150","24,650","55.41K","-0.20%"
"2024- 01- 26","24,750","24,950","25,050","24,700","64.45K","-1.39%"
"2024- 01- 25","25,100","25,000","25,150","24,500","59.10K","0.40%"
"2024- 01- 24","25,000","25,700","25,700","24,850","81.19K","-2.72%"
"2024- 01- 23","25,700","25,800","25,850","25,200","0.00K","0.59%"
"2024- 01- 22","25,550","26,150","26,200","25,550","59.86K","-0.97%"
"2024- 01- 19","25,800","25,900","26,400","25,500","83.94K","-0.39%"
"2024- 01- 18","25,900","25,600","26,300","25,600","40.96K","0.00%"
"2024- 01- 17","25,900","26,550","26,650","25,700","60.84K","-2.26%"
"2024- 01- 16","26,500","27,000","27,300","26,350","90.76K","-2.39%"
"2024- 01- 15","27,150","27,650","27,950","26,750","87.08K","-1.81%"
"2024- 01- 12","27,650","27,900","28,050","27,550","36.25K","-0.54%"
"2024- 01- 11","27,800","29,450","29,550","27,450","0.00K","-5.76%"
"2024- 01- 10","29,500","29,900","30,100","29,400","0.00K","-1.34%"
"2024- 01- 09","29,900","30,250","30,600","29,850","41.22K","-0.66%"
"2024- 01- 08","30,100","31,250","31,300","30,100","35.59K","-2.43%"
"2024- 01- 05","30,850","30,050","30,900","30,050","42.02K","2.49%"
"2024- 01- 04","30,100","30,000","30,550","29,800","37.85K","-0.17%"
"2024- 01- 03","30,150","30,300","30,600","30,000","0.05K","-1.63%"
"2024- 01- 02","30,650","30,350","30,950","30,250","39.99K","0.49%"
"2023- 12- 28","30,500","30,700","30,900","30,300","32.03K","-0.33%"
"2023- 12- 27","30,600","30,350","30,600","30,100","24.92K","0.49%"
"2023- 12- 26","30,450","30,750","31,050","30,200","35.70K","0.16%"
"2023- 12- 25","30,400","30,400","30,400","30,400","","0.00%"
"2023- 12- 22","30,400","30,900","31,100","30,400","28.68K","-1.62%"
"2023- 12- 21","30,900","30,400","31,000","30,300","44.97K","0.32%"
"2023- 12- 20","30,800","30,600","30,800","30,000","40.94K","1.65%"
"2023- 12- 19","30,300","30,450","30,450","29,900","30.91K","-0.66%"
"2023- 12- 18","30,500","30,200","30,750","30,200","37.66K","0.16%"
"2023- 12- 15","30,450","30,750","31,150","30,350","50.78K","-1.46%"
"2023- 12- 14","30,900","31,650","31,650","30,650","73.01K","-0.96%"
"2023- 12- 13","31,200","30,150","31,500","29,900","0.01K","3.48%"
"2023- 12- 12","30,150","30,250","30,500","29,850","30.65K","0.33%"
"2023- 12- 11","30,050","30,700","30,700","29,950","22.96K","-0.66%"
"2023- 12- 08","30,250","30,300","30,450","29,950","31.52K","0.33%"
"2023- 12- 07","30,150","30,000","30,550","29,700","50.30K","-0.33%"
"2023- 12- 06","30,250","30,350","30,450","29,950","0.07K","1.17%"
"2023- 12- 05","29,900","30,000","30,550","29,650","50.16K","-1.32%"
"2023- 12- 04","30,300","31,050","31,300","30,300","0.11K","-1.78%"
"2023- 12- 01","30,850","31,200","31,200","30,600","49.65K","-0.32%"
"2023- 11- 30","30,950","31,050","31,850","30,900","0.01K","1.64%"
"2023- 11- 29","30,450","31,000","31,250","30,450","54.15K","-2.56%"
"2023- 11- 28","31,250","31,800","31,800","30,400","107.41K","1.63%"
"2023- 11- 27","30,750","30,250","31,500","30,250","87.54K","1.65%"
"2023- 11- 24","30,250","31,000","31,050","30,150","80.66K","-2.58%"
"2023- 11- 23","31,050","29,850","32,400","29,850","0.00K","4.02%"
"2023- 11- 22","29,850","29,450","30,000","29,350","34.08K","0.51%"
"2023- 11- 21","29,700","29,800","29,850","29,250","52.08K","0.85%"
"2023- 11- 20","29,450","29,350","29,850","29,300","42.91K","0.34%"
"2023- 11- 17","29,350","29,600","29,850","29,050","53.11K","-0.84%"
"2023- 11- 16","29,600","29,000","29,900","29,000","69.09K","2.07%"
"2023- 11- 15","29,000","29,150","29,600","29,000","54.83K","1.05%"
"2023- 11- 14","28,700","29,000","29,450","28,550","56.45K","0.35%"
"2023- 11- 13","28,600","29,250","30,100","28,500","103.87K","-0.69%"
"2023- 11- 10","28,800","28,450","28,850","28,050","75.10K","-0.69%"
"2023- 11- 09","29,000","27,300","29,350","27,300","179.53K","5.07%"
