"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","183,800","178,200","185,500","175,400","111.03K","3.61%"
"2024- 02- 15","177,400","173,700","179,000","172,400","69.35K","3.14%"
"2024- 02- 14","172,000","174,900","174,900","171,600","0.01K","-2.49%"
"2024- 02- 13","176,400","178,200","178,500","174,400","43.38K","-0.73%"
"2024- 02- 08","177,700","177,000","178,100","170,600","39.26K","0.40%"
"2024- 02- 07","177,000","178,800","179,000","176,000","41.88K","-0.28%"
"2024- 02- 06","177,500","179,100","179,800","176,100","37.47K","-1.11%"
"2024- 02- 05","179,500","182,000","182,100","178,800","0.01K","-0.77%"
"2024- 02- 02","180,900","174,300","183,000","174,200","109.10K","4.33%"
"2024- 02- 01","173,400","183,500","183,500","169,500","0.05K","-5.71%"
"2024- 01- 31","183,900","182,200","185,700","180,500","0.01K","0.49%"
"2024- 01- 30","183,000","187,500","188,700","182,300","0.00K","-2.19%"
"2024- 01- 29","187,100","192,000","193,300","185,300","0.00K","-2.55%"
"2024- 01- 26","192,000","192,700","194,500","191,200","27.16K","-0.52%"
"2024- 01- 25","193,000","194,900","194,900","192,200","0.01K","-0.52%"
"2024- 01- 24","194,000","194,900","194,900","192,200","0.01K","0.00%"
"2024- 01- 23","194,000","198,000","199,500","193,000","0.01K","-1.97%"
"2024- 01- 22","197,900","193,800","199,200","190,300","71.53K","2.12%"
"2024- 01- 21","193,800","193,800","193,800","193,800","","0.00%"
"2024- 01- 19","193,800","196,100","199,200","192,600","53.43K","-1.02%"
"2024- 01- 18","195,800","197,000","199,500","193,700","0.01K","-1.95%"
"2024- 01- 17","199,700","203,500","204,500","196,500","0.01K","-1.63%"
"2024- 01- 16","203,000","205,000","208,000","202,000","0.00K","-0.98%"
"2024- 01- 15","205,000","208,500","211,000","205,000","44.86K","-2.15%"
"2024- 01- 14","209,500","209,500","209,500","209,500","","0.00%"
"2024- 01- 12","209,500","212,500","212,500","207,500","33.54K","-0.71%"
"2024- 01- 11","211,000","214,500","215,000","208,500","62.06K","-1.86%"
"2024- 01- 10","215,000","215,000","220,000","212,500","53.49K","0.00%"
"2024- 01- 09","215,000","214,000","217,500","208,000","86.45K","0.70%"
"2024- 01- 08","213,500","212,000","219,000","211,000","79.06K","1.43%"
"2024- 01- 07","210,500","210,500","210,500","210,500","","0.00%"
"2024- 01- 05","210,500","218,500","220,000","209,500","122.53K","-4.32%"
"2024- 01- 04","220,000","217,000","222,500","215,500","72.02K","1.15%"
"2024- 01- 03","217,500","231,500","233,000","214,000","0.08K","-7.25%"
"2024- 01- 02","234,500","221,000","239,500","220,500","235.75K","8.56%"
"2023- 12- 28","216,000","220,000","220,000","216,000","32.18K","-0.92%"
"2023- 12- 27","218,000","220,000","222,500","216,500","29.75K","-0.68%"
"2023- 12- 26","219,500","220,500","221,000","215,500","35.66K","0.23%"
"2023- 12- 22","219,000","223,500","223,500","216,000","48.66K","-2.01%"
"2023- 12- 21","223,500","222,500","224,000","218,500","0.00K","-0.45%"
"2023- 12- 20","224,500","225,500","227,000","221,000","0.01K","-0.88%"
"2023- 12- 19","226,500","220,000","233,500","219,500","78.15K","3.42%"
"2023- 12- 18","219,000","213,500","221,000","211,000","56.96K","3.79%"
"2023- 12- 15","211,000","216,000","217,500","211,000","58.55K","-2.54%"
"2023- 12- 14","216,500","219,000","219,000","210,000","63.67K","0.46%"
"2023- 12- 13","215,500","214,500","219,500","210,000","0.10K","1.89%"
"2023- 12- 12","211,500","212,000","220,000","208,000","63.90K","0.48%"
"2023- 12- 11","210,500","205,000","213,500","203,000","58.15K","3.44%"
"2023- 12- 08","203,500","210,000","210,000","201,000","55.11K","-2.16%"
"2023- 12- 07","208,000","214,500","214,500","204,500","49.67K","-2.80%"
"2023- 12- 06","214,000","211,000","216,000","208,500","40.82K","2.39%"
"2023- 12- 05","209,000","211,500","215,000","208,500","34.31K","-1.18%"
"2023- 12- 04","211,500","215,000","215,500","208,000","45.09K","-1.86%"
"2023- 12- 03","215,500","215,500","215,500","215,500","","0.00%"
"2023- 12- 01","215,500","212,000","222,000","208,500","58.47K","1.89%"
"2023- 11- 30","211,500","216,000","218,000","210,500","48.25K","-2.31%"
"2023- 11- 29","216,500","217,500","218,500","212,000","45.05K","-0.92%"
"2023- 11- 28","218,500","219,500","227,500","217,000","65.18K","0.46%"
"2023- 11- 27","217,500","216,500","222,500","211,000","46.57K","0.46%"
"2023- 11- 24","216,500","216,500","221,000","210,500","57.77K","0.70%"
"2023- 11- 23","215,000","203,500","216,000","199,700","0.01K","6.70%"
"2023- 11- 22","201,500","195,300","204,000","194,700","0.00K","3.39%"
"2023- 11- 21","194,900","197,100","197,400","194,900","0.00K","-0.05%"
"2023- 11- 20","195,000","193,200","196,500","189,400","0.00K","0.93%"
"2023- 11- 19","193,200","193,200","193,200","193,200","","0.00%"
"2023- 11- 17","193,200","198,200","199,900","192,900","59.39K","-2.23%"
"2023- 11- 16","197,600","200,500","204,000","196,600","71.05K","-1.00%"
"2023- 11- 15","199,600","210,000","211,500","194,000","214.57K","-4.95%"
"2023- 11- 14","210,000","207,500","220,000","205,500","118.09K","0.00%"
