"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","55,500","54,700","55,500","53,500","338.19K","3.35%"
"2024- 02- 15","53,700","55,300","55,800","53,200","212.30K","-1.29%"
"2024- 02- 14","54,400","52,000","54,500","51,500","0.00K","2.84%"
"2024- 02- 13","52,900","51,600","53,300","51,000","0.01K","2.52%"
"2024- 02- 12","51,600","51,600","51,600","51,600","","0.00%"
"2024- 02- 08","51,600","51,500","52,400","50,600","333.07K","-0.19%"
"2024- 02- 07","51,700","49,600","51,800","48,900","447.98K","4.66%"
"2024- 02- 06","49,400","50,100","50,700","48,000","353.67K","-1.20%"
"2024- 02- 05","50,000","52,600","52,600","47,950","0.63K","-1.57%"
"2024- 02- 02","50,800","50,800","51,900","50,200","498.37K","-2.31%"
"2024- 02- 01","52,000","51,200","52,700","50,600","508.11K","1.36%"
"2024- 01- 31","51,300","49,650","52,000","49,500","451.09K","3.32%"
"2024- 01- 30","49,650","51,500","51,500","49,100","256.88K","-0.50%"
"2024- 01- 29","49,900","49,200","50,700","49,100","299.76K","1.63%"
"2024- 01- 26","49,100","49,450","50,000","48,700","287.23K","-0.71%"
"2024- 01- 25","49,450","46,300","49,450","46,300","0.00K","4.77%"
"2024- 01- 24","47,200","47,100","47,400","46,050","189.51K","-0.42%"
"2024- 01- 23","47,400","47,950","47,950","46,500","0.00K","0.32%"
"2024- 01- 22","47,250","48,000","48,500","47,050","199.95K","-1.15%"
"2024- 01- 19","47,800","46,750","48,700","46,750","340.85K","1.49%"
"2024- 01- 18","47,100","45,100","47,600","44,200","690.32K","5.84%"
"2024- 01- 17","44,500","45,000","45,400","43,600","412.61K","-0.67%"
"2024- 01- 16","44,800","45,900","46,200","44,250","0.01K","-2.40%"
"2024- 01- 15","45,900","44,250","46,200","44,200","260.78K","4.20%"
"2024- 01- 14","44,050","44,050","44,050","44,050","","0.00%"
"2024- 01- 12","44,050","44,200","44,500","43,350","136.54K","-0.23%"
"2024- 01- 11","44,150","45,000","45,000","44,150","0.01K","-1.67%"
"2024- 01- 10","44,900","44,550","45,000","44,350","0.00K","2.63%"
"2024- 01- 09","43,750","44,200","44,300","43,500","168.42K","0.81%"
"2024- 01- 08","43,400","43,900","44,250","43,250","0.00K","-0.69%"
"2024- 01- 05","43,700","44,650","44,950","43,350","188.14K","-2.89%"
"2024- 01- 04","45,000","44,800","45,600","44,300","0.01K","1.01%"
"2024- 01- 03","44,550","44,800","45,150","44,350","0.00K","-1.76%"
"2024- 01- 02","45,350","44,800","46,050","44,750","128.47K","-0.11%"
"2023- 12- 28","45,400","44,250","45,400","44,000","202.44K","3.18%"
"2023- 12- 27","44,000","45,350","45,600","42,950","264.06K","-2.98%"
"2023- 12- 26","45,350","44,900","46,200","44,100","0.01K","1.57%"
"2023- 12- 25","44,650","44,650","44,650","44,650","","0.00%"
"2023- 12- 22","44,650","44,800","45,200","44,550","121.37K","0.00%"
"2023- 12- 21","44,650","44,850","45,150","44,300","0.03K","-1.22%"
"2023- 12- 20","45,200","45,400","46,000","44,900","316.66K","-1.95%"
"2023- 12- 19","46,100","44,350","46,250","44,150","335.09K","3.02%"
"2023- 12- 18","44,750","46,800","47,150","43,700","0.01K","0.56%"
"2023- 12- 17","44,500","44,500","44,500","44,500","","0.00%"
"2023- 12- 15","44,500","46,100","46,150","43,000","619.01K","-3.58%"
"2023- 12- 14","46,150","46,900","47,250","45,750","0.00K","-0.86%"
"2023- 12- 13","46,550","46,950","47,400","46,100","296.98K","0.11%"
"2023- 12- 12","46,500","46,800","47,550","46,350","0.00K","0.65%"
"2023- 12- 11","46,200","46,200","46,700","45,400","137.62K","-0.43%"
"2023- 12- 10","46,400","46,400","46,400","46,400","","0.00%"
"2023- 12- 08","46,400","46,100","46,600","44,900","268.28K","1.75%"
"2023- 12- 07","45,600","46,000","46,700","45,000","0.01K","1.33%"
"2023- 12- 06","45,000","45,700","45,850","43,300","0.01K","-2.39%"
"2023- 12- 05","46,100","48,300","48,400","45,750","0.05K","1.21%"
"2023- 12- 04","45,550","45,300","46,150","45,000","196.37K","1.45%"
"2023- 12- 03","44,900","44,900","44,900","44,900","","0.00%"
"2023- 12- 01","44,900","45,400","45,850","44,750","152.72K","-0.99%"
"2023- 11- 30","45,350","44,400","45,400","43,700","0.00K","1.00%"
"2023- 11- 29","44,900","44,950","45,100","44,100","244.84K","-2.07%"
"2023- 11- 28","45,850","46,300","46,700","45,650","292.02K","0.55%"
"2023- 11- 27","45,600","45,000","45,900","44,800","165.14K","1.79%"
"2023- 11- 24","44,800","45,100","45,250","44,650","85.29K","-0.44%"
"2023- 11- 23","45,000","44,700","45,250","44,500","115.17K","-0.11%"
"2023- 11- 22","45,050","44,500","45,200","44,100","0.00K","0.22%"
"2023- 11- 21","44,950","43,600","45,250","43,450","285.36K","3.45%"
"2023- 11- 20","43,450","44,550","44,850","43,050","291.55K","-3.12%"
"2023- 11- 17","44,850","45,550","45,600","44,550","281.01K","-2.92%"
"2023- 11- 16","46,200","44,900","46,200","44,500","217.84K","3.01%"
"2023- 11- 15","44,850","46,600","46,650","44,550","393.34K","-1.10%"
"2023- 11- 14","45,350","44,600","46,050","44,250","400.60K","3.89%"
"2023- 11- 13","43,650","43,600","43,950","42,900","166.75K","1.51%"
"2023- 11- 10","43,000","43,000","43,500","42,800","155.14K","-1.38%"
"2023- 11- 09","43,600","43,700","44,000","43,200","132.22K","-0.23%"
"2023- 11- 08","43,700","44,200","44,800","42,300","279.77K","-0.23%"
"2023- 11- 07","43,800","44,550","44,550","42,600","0.19K","-2.67%"
"2023- 11- 06","45,000","42,050","45,000","41,750","0.02K","7.14%"
"2023- 11- 05","42,000","42,000","42,000","42,000","","0.00%"
"2023- 11- 03","42,000","42,000","42,600","40,700","436.26K","1.69%"
"2023- 11- 02","41,300","40,300","42,300","39,300","0.34K","6.17%"
"2023- 11- 01","38,900","38,250","40,650","37,300","604.93K","1.83%"
"2023- 10- 31","38,200","38,400","39,300","38,050","336.40K","1.33%"
"2023- 10- 30","37,700","36,950","38,100","36,650","205.44K","1.34%"
"2023- 10- 29","37,200","37,200","37,200","37,200","","0.00%"
"2023- 10- 27","37,200","37,550","37,700","36,950","161.90K","0.00%"
"2023- 10- 26","37,200","37,850","37,850","37,100","219.10K","-0.93%"
"2023- 10- 25","37,550","37,550","38,050","37,150","114.28K","0.54%"
"2023- 10- 24","37,350","38,650","38,700","37,000","266.18K","-0.93%"
"2023- 10- 23","37,700","37,500","38,300","36,950","237.00K","1.48%"
"2023- 10- 22","37,150","37,150","37,150","37,150","","0.00%"
"2023- 10- 20","37,150","38,100","38,150","37,000","174.06K","-1.33%"
"2023- 10- 19","37,650","36,650","38,350","36,350","371.18K","1.89%"
"2023- 10- 18","36,950","36,250","37,350","36,150","0.00K","1.93%"
"2023- 10- 17","36,250","37,250","37,300","35,950","245.39K","-1.76%"
"2023- 10- 16","36,900","37,150","37,350","36,550","0.03K","-0.54%"
"2023- 10- 13","37,100","36,900","37,400","36,800","97.23K","-0.93%"
"2023- 10- 12","37,450","38,150","38,150","37,050","266.39K","-0.93%"
"2023- 10- 11","37,800","37,550","37,850","37,250","213.95K","1.20%"
"2023- 10- 10","37,350","38,950","38,950","36,850","240.43K","-1.32%"
"2023- 10- 06","37,850","37,950","37,950","37,100","136.95K","0.66%"
"2023- 10- 05","37,600","37,300","37,950","37,100","203.24K","2.31%"
"2023- 10- 04","36,750","38,700","39,500","36,200","471.81K","-7.20%"
"2023- 09- 27","39,600","39,150","40,100","39,150","179.23K","0.51%"
"2023- 09- 26","39,400","39,800","40,200","39,200","0.01K","-1.99%"
