"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","60,900","60,400","60,900","59,800","113.36K","1.50%"
"2024- 02- 15","60,000","62,400","62,400","59,800","117.44K","-2.28%"
"2024- 02- 14","61,400","61,200","62,200","60,700","0.05K","-0.97%"
"2024- 02- 13","62,000","62,200","64,500","61,800","139.02K","0.49%"
"2024- 02- 08","61,700","62,200","63,000","61,100","115.13K","-0.80%"
"2024- 02- 07","62,200","61,000","62,600","61,000","135.66K","2.13%"
"2024- 02- 06","60,900","63,200","63,200","60,500","152.57K","-3.94%"
"2024- 02- 05","63,400","66,000","66,900","61,500","0.34K","-1.71%"
"2024- 02- 02","64,500","61,500","65,500","61,000","507.09K","6.79%"
"2024- 02- 01","60,400","57,300","61,100","57,000","215.70K","3.60%"
"2024- 01- 31","58,300","57,200","58,300","57,100","0.14K","1.75%"
"2024- 01- 30","57,300","58,600","59,200","57,300","0.03K","-1.21%"
"2024- 01- 29","58,000","56,800","58,900","56,500","78.74K","2.11%"
"2024- 01- 28","56,800","56,800","56,800","56,800","","0.00%"
"2024- 01- 26","56,800","58,200","58,300","56,800","65.14K","-2.07%"
"2024- 01- 25","58,000","55,100","58,300","55,000","0.00K","4.50%"
"2024- 01- 24","55,500","56,200","56,200","55,200","40.46K","-0.72%"
"2024- 01- 23","55,900","55,700","56,300","54,700","41.77K","1.27%"
"2024- 01- 22","55,200","55,600","55,700","54,500","45.58K","0.00%"
"2024- 01- 19","55,200","55,500","56,000","55,100","49.35K","0.36%"
"2024- 01- 18","55,000","55,100","55,900","54,800","59.14K","-0.90%"
"2024- 01- 17","55,500","57,300","58,000","55,300","90.56K","-3.65%"
"2024- 01- 16","57,600","59,500","59,500","57,600","0.21K","-2.37%"
"2024- 01- 15","59,000","58,700","59,400","58,100","50.20K","0.68%"
"2024- 01- 12","58,600","59,300","59,500","58,300","80.30K","-1.18%"
"2024- 01- 11","59,300","60,300","60,500","59,300","0.00K","-1.17%"
"2024- 01- 10","60,000","60,200","60,500","59,300","50.84K","-0.33%"
"2024- 01- 09","60,200","61,100","61,600","60,100","0.00K","-0.33%"
"2024- 01- 08","60,400","60,600","60,900","60,100","49.71K","0.17%"
"2024- 01- 07","60,300","60,300","60,300","60,300","","0.00%"
"2024- 01- 05","60,300","60,900","61,400","60,000","77.49K","-1.15%"
"2024- 01- 04","61,000","61,800","62,100","60,400","0.03K","-1.93%"
"2024- 01- 03","62,200","63,300","63,400","62,000","0.05K","-2.81%"
"2024- 01- 02","64,000","65,000","65,100","63,600","0.10K","-1.69%"
"2023- 12- 28","65,100","64,200","65,700","63,800","126.68K","2.20%"
"2023- 12- 27","63,700","62,500","63,700","62,400","61.32K","0.79%"
"2023- 12- 26","63,200","63,700","63,700","62,400","0.07K","-0.94%"
"2023- 12- 25","63,800","63,800","63,800","63,800","","0.00%"
"2023- 12- 22","63,800","64,700","64,700","63,500","69.74K","0.00%"
"2023- 12- 21","63,800","63,500","65,000","63,000","0.01K","0.63%"
"2023- 12- 20","63,400","61,500","63,900","61,300","0.06K","3.09%"
"2023- 12- 19","61,500","61,600","61,900","60,700","0.02K","-0.65%"
"2023- 12- 18","61,900","62,600","63,000","61,500","91.92K","-1.59%"
"2023- 12- 15","62,900","61,300","63,000","61,100","193.54K","3.80%"
"2023- 12- 14","60,600","61,000","61,300","60,100","87.45K","0.33%"
"2023- 12- 13","60,400","60,600","61,300","60,400","55.82K","-0.33%"
"2023- 12- 12","60,600","61,000","61,400","60,500","54.05K","-0.33%"
"2023- 12- 11","60,800","60,200","61,100","59,500","59.98K","1.50%"
"2023- 12- 08","59,900","60,000","60,300","59,600","38.79K","0.34%"
"2023- 12- 07","59,700","59,900","60,200","58,500","63.98K","-0.17%"
"2023- 12- 06","59,800","59,700","60,300","58,800","60.08K","0.50%"
"2023- 12- 05","59,500","60,000","60,500","59,500","66.04K","-1.33%"
"2023- 12- 04","60,300","59,700","61,300","59,500","0.01K","1.69%"
"2023- 12- 01","59,300","59,600","59,800","58,700","71.94K","-0.50%"
"2023- 11- 30","59,600","60,300","60,600","59,300","95.42K","-1.32%"
"2023- 11- 29","60,400","58,700","60,600","58,300","124.99K","2.37%"
"2023- 11- 28","59,000","58,500","59,500","57,900","83.07K","0.34%"
"2023- 11- 27","58,800","58,400","59,400","58,300","66.76K","0.68%"
"2023- 11- 24","58,400","56,800","59,000","56,600","148.74K","2.82%"
"2023- 11- 23","56,800","56,200","56,900","55,700","135.00K","1.61%"
"2023- 11- 22","55,900","56,500","56,500","55,300","112.96K","-0.89%"
"2023- 11- 21","56,400","56,500","57,100","56,200","145.45K","-0.53%"
"2023- 11- 20","56,700","57,000","57,000","55,700","96.75K","-0.70%"
"2023- 11- 19","57,100","57,100","57,100","57,100","","0.00%"
"2023- 11- 17","57,100","55,600","57,200","55,000","129.96K","2.70%"
"2023- 11- 16","55,600","55,000","55,800","54,500","139.35K","1.65%"
"2023- 11- 15","54,700","54,500","54,900","54,100","161.85K","2.24%"
"2023- 11- 14","53,500","52,900","53,700","52,800","103.98K","1.90%"
"2023- 11- 13","52,500","53,400","53,400","52,300","0.00K","-0.76%"
"2023- 11- 10","52,900","52,800","53,100","52,300","71.54K","-0.75%"
"2023- 11- 09","53,300","53,800","54,400","53,000","127.98K","-0.74%"
"2023- 11- 08","53,700","53,900","54,800","53,500","91.88K","0.00%"
"2023- 11- 07","53,700","55,200","55,200","53,300","141.06K","-2.89%"
"2023- 11- 06","55,300","53,100","55,300","52,600","0.07K","6.14%"
"2023- 11- 03","52,100","52,900","53,100","51,500","231.93K","-0.38%"
"2023- 11- 02","52,300","52,700","53,200","51,900","0.00K","0.19%"
