"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","132,100","133,400","133,400","131,800","45.49K","-0.08%"
"2024- 02- 15","132,200","134,600","134,600","132,200","37.02K","-0.90%"
"2024- 02- 14","133,400","133,100","133,800","131,800","30.87K","0.30%"
"2024- 02- 13","133,000","134,400","135,100","133,000","41.31K","-0.08%"
"2024- 02- 08","133,100","138,000","138,000","133,100","84.07K","-3.34%"
"2024- 02- 07","137,700","138,000","138,100","135,400","58.37K","0.88%"
"2024- 02- 06","136,500","137,200","138,200","135,100","46.27K","-0.87%"
"2024- 02- 05","137,700","139,000","139,600","136,600","0.00K","-1.15%"
"2024- 02- 04","139,300","139,300","139,300","139,300","","0.00%"
"2024- 02- 02","139,300","140,800","140,900","138,700","64.91K","-1.07%"
"2024- 02- 01","140,800","139,200","143,100","139,100","49.33K","-0.21%"
"2024- 01- 31","141,100","140,500","142,500","138,600","45.67K","-0.07%"
"2024- 01- 30","141,200","144,500","145,300","141,200","47.84K","-2.35%"
"2024- 01- 29","144,600","147,100","147,100","144,600","19.96K","-1.03%"
"2024- 01- 26","146,100","143,500","146,600","142,800","40.09K","2.17%"
"2024- 01- 25","143,000","143,300","144,800","141,100","42.01K","-0.21%"
"2024- 01- 24","143,300","142,800","146,500","142,800","37.60K","-0.90%"
"2024- 01- 23","144,600","147,300","147,300","143,000","42.55K","-1.03%"
"2024- 01- 22","146,100","145,900","147,100","143,200","64.57K","0.90%"
"2024- 01- 19","144,800","141,000","145,700","141,000","62.48K","2.84%"
"2024- 01- 18","140,800","140,900","144,800","140,200","72.89K","0.57%"
"2024- 01- 17","140,000","146,000","146,000","139,900","58.42K","-3.38%"
"2024- 01- 16","144,900","143,600","147,800","140,900","101.87K","0.98%"
"2024- 01- 15","143,500","141,800","144,500","140,000","0.00K","1.85%"
"2024- 01- 12","140,900","137,000","141,800","136,300","100.01K","3.83%"
"2024- 01- 11","135,700","139,000","140,000","135,000","78.42K","-3.28%"
"2024- 01- 10","140,300","140,300","141,800","139,800","40.19K","0.14%"
"2024- 01- 09","140,100","141,400","143,500","139,400","0.05K","0.07%"
"2024- 01- 08","140,000","137,900","141,700","137,700","78.73K","1.74%"
"2024- 01- 05","137,600","134,800","139,300","134,300","77.71K","2.08%"
"2024- 01- 04","134,800","137,500","137,500","134,800","39.25K","-1.82%"
"2024- 01- 03","137,300","134,800","137,500","133,500","0.01K","1.63%"
"2024- 01- 02","135,100","131,200","135,400","130,800","69.81K","2.89%"
"2023- 12- 28","131,300","129,300","131,400","128,500","72.73K","2.02%"
"2023- 12- 27","128,700","132,300","132,700","128,500","140.36K","-4.53%"
"2023- 12- 26","134,800","133,000","134,800","131,000","84.41K","2.20%"
"2023- 12- 22","131,900","132,800","133,000","131,400","44.92K","-0.45%"
"2023- 12- 21","132,500","133,400","133,700","131,500","46.62K","-0.97%"
"2023- 12- 20","133,800","134,400","134,400","132,200","54.85K","0.83%"
"2023- 12- 19","132,700","131,200","135,500","130,900","82.82K","1.22%"
"2023- 12- 18","131,100","133,100","134,000","130,900","88.10K","-2.31%"
"2023- 12- 15","134,200","135,300","136,000","133,300","51.87K","-0.45%"
"2023- 12- 14","134,800","134,400","134,800","132,300","99.77K","2.04%"
"2023- 12- 13","132,100","135,600","137,300","131,900","99.49K","-2.94%"
"2023- 12- 12","136,100","138,400","138,500","135,900","35.31K","-0.37%"
"2023- 12- 11","136,600","138,900","138,900","136,000","30.75K","-0.29%"
"2023- 12- 08","137,000","137,100","139,200","136,400","52.68K","0.00%"
"2023- 12- 07","137,000","136,800","140,200","136,000","62.78K","-0.51%"
"2023- 12- 06","137,700","143,100","143,100","137,400","52.27K","-2.41%"
"2023- 12- 05","141,100","135,500","143,400","134,700","91.97K","4.13%"
"2023- 12- 04","135,500","138,000","138,000","135,200","0.01K","-1.02%"
"2023- 12- 01","136,900","136,600","141,400","136,600","140.07K","0.88%"
"2023- 11- 30","135,700","130,900","142,900","130,900","991.35K","2.42%"
"2023- 11- 29","132,500","129,400","136,200","129,400","173.88K","2.40%"
"2023- 11- 28","129,400","129,700","130,600","128,500","83.21K","0.39%"
"2023- 11- 27","128,900","131,400","131,700","128,800","90.86K","-1.68%"
"2023- 11- 24","131,100","131,600","132,300","131,000","43.80K","0.00%"
"2023- 11- 23","131,100","132,600","133,300","131,100","60.13K","-0.91%"
"2023- 11- 22","132,300","134,200","135,100","132,300","43.97K","-2.07%"
"2023- 11- 21","135,100","136,300","137,100","134,800","32.24K","-0.22%"
"2023- 11- 20","135,400","133,400","136,500","132,100","37.38K","1.42%"
"2023- 11- 17","133,500","139,300","139,500","132,800","56.81K","-4.37%"
"2023- 11- 16","139,600","141,200","141,500","139,500","0.01K","-1.13%"
"2023- 11- 15","141,200","153,000","153,700","138,800","131.40K","-6.18%"
"2023- 11- 14","150,500","150,000","150,500","147,200","17.98K","1.69%"
"2023- 11- 13","148,000","148,300","148,800","145,200","12.56K","1.86%"
"2023- 11- 10","145,300","145,300","147,000","141,100","36.42K","-1.16%"
"2023- 11- 09","147,000","144,500","152,000","144,500","46.67K","1.45%"
"2023- 11- 08","144,900","147,900","147,900","144,000","18.39K","-0.07%"
"2023- 11- 07","145,000","149,000","149,500","143,400","30.77K","-3.59%"
