"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","51,700","50,600","51,800","50,300","61.71K","3.82%"
"2024- 02- 15","49,800","51,500","51,500","49,750","117.51K","-1.97%"
"2024- 02- 14","50,800","52,200","52,700","50,500","107.29K","-4.15%"
"2024- 02- 13","53,000","55,800","56,300","52,800","86.96K","-4.16%"
"2024- 02- 08","55,300","59,100","59,100","53,600","209.27K","-4.98%"
"2024- 02- 07","58,200","58,500","58,500","57,200","47.85K","0.17%"
"2024- 02- 06","58,100","58,000","58,400","56,400","77.13K","0.17%"
"2024- 02- 05","58,000","57,400","58,300","56,800","68.21K","-0.34%"
"2024- 02- 02","58,200","57,600","58,800","56,400","129.96K","0.34%"
"2024- 02- 01","58,000","55,100","58,500","54,800","166.55K","3.39%"
"2024- 01- 31","56,100","54,800","56,200","54,300","0.00K","1.45%"
"2024- 01- 30","55,300","54,700","56,300","54,700","95.41K","1.10%"
"2024- 01- 29","54,700","51,900","55,700","51,600","106.49K","4.39%"
"2024- 01- 26","52,400","52,200","53,400","52,200","31.08K","-0.38%"
"2024- 01- 25","52,600","51,500","52,900","50,500","27.84K","2.73%"
"2024- 01- 24","51,200","50,700","51,900","50,000","32.00K","0.99%"
"2024- 01- 23","50,700","50,700","51,300","50,300","23.29K","0.40%"
"2024- 01- 22","50,500","50,900","51,300","50,100","26.20K","-0.79%"
"2024- 01- 19","50,900","51,100","51,800","50,300","32.72K","-0.78%"
"2024- 01- 18","51,300","51,400","52,600","51,000","41.60K","-0.19%"
"2024- 01- 17","51,400","52,600","52,800","51,200","42.75K","-2.10%"
"2024- 01- 16","52,500","53,500","53,800","52,100","42.11K","-2.78%"
"2024- 01- 15","54,000","54,700","54,700","53,500","80.89K","-0.55%"
"2024- 01- 14","54,300","54,300","54,300","54,300","","0.00%"
"2024- 01- 12","54,300","51,100","55,600","51,100","299.99K","6.47%"
"2024- 01- 11","51,000","49,400","52,500","49,300","170.44K","4.94%"
"2024- 01- 10","48,600","49,100","49,850","48,500","27.79K","-1.22%"
"2024- 01- 09","49,200","50,100","50,100","48,950","26.41K","0.00%"
"2024- 01- 08","49,200","48,850","49,900","48,800","26.94K","-0.10%"
"2024- 01- 05","49,250","49,950","50,300","49,000","20.66K","-1.40%"
"2024- 01- 04","49,950","48,700","51,000","48,200","51.51K","1.42%"
"2024- 01- 03","49,250","49,800","50,300","49,150","36.33K","-1.70%"
"2024- 01- 02","50,100","50,600","51,400","49,900","0.01K","-2.53%"
"2023- 12- 28","51,400","51,000","51,600","50,400","43.82K","0.59%"
"2023- 12- 27","51,100","51,800","52,000","50,100","0.00K","-1.35%"
"2023- 12- 26","51,800","52,600","52,700","50,600","58.14K","-1.15%"
"2023- 12- 25","52,400","52,400","52,400","52,400","","0.00%"
"2023- 12- 22","52,400","51,700","52,500","50,900","76.17K","1.16%"
"2023- 12- 21","51,800","51,000","51,800","50,500","44.06K","1.17%"
"2023- 12- 20","51,200","50,400","51,200","50,300","55.00K","1.79%"
"2023- 12- 19","50,300","49,800","50,500","49,500","29.56K","0.00%"
"2023- 12- 18","50,300","49,350","50,400","49,350","0.00K","1.00%"
"2023- 12- 15","49,800","48,150","50,200","48,100","97.20K","3.43%"
"2023- 12- 14","48,150","48,450","48,700","47,550","77.04K","0.73%"
"2023- 12- 13","47,800","48,200","48,500","47,400","31.12K","-0.73%"
"2023- 12- 12","48,150","48,100","48,750","48,100","17.58K","0.10%"
"2023- 12- 11","48,100","48,800","49,100","48,100","0.01K","-1.64%"
"2023- 12- 08","48,900","49,350","49,600","48,500","41.18K","-0.91%"
