"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","115,900","118,500","120,300","115,300","239.29K","-0.77%"
"2024- 02- 15","116,800","113,700","119,300","112,700","0.01K","4.01%"
"2024- 02- 14","112,300","106,700","113,500","106,700","396.05K","4.37%"
"2024- 02- 13","107,600","106,600","109,700","106,600","0.00K","0.19%"
"2024- 02- 12","107,400","107,400","107,400","107,400","","0.00%"
"2024- 02- 08","107,400","104,300","109,000","103,600","238.63K","3.77%"
"2024- 02- 07","103,500","106,700","106,700","103,300","0.08K","-3.09%"
"2024- 02- 06","106,800","101,000","106,900","101,000","433.18K","5.85%"
"2024- 02- 05","100,900","99,900","103,700","99,400","0.00K","1.31%"
"2024- 02- 02","99,600","99,500","100,700","97,700","208.97K","0.40%"
"2024- 02- 01","99,200","101,900","102,600","97,500","0.01K","-3.41%"
"2024- 01- 31","102,700","101,000","104,600","100,400","0.28K","2.70%"
"2024- 01- 30","100,000","101,100","102,000","98,700","0.13K","-1.19%"
"2024- 01- 29","101,200","104,400","107,700","101,000","196.90K","-3.07%"
"2024- 01- 28","104,400","104,400","104,400","104,400","","0.00%"
"2024- 01- 26","104,400","103,900","108,400","103,300","202.09K","0.00%"
"2024- 01- 25","104,400","100,900","105,000","99,200","0.01K","3.16%"
"2024- 01- 24","101,200","101,000","101,700","96,000","302.19K","1.20%"
"2024- 01- 23","100,000","101,000","102,400","97,500","0.03K","-0.60%"
"2024- 01- 22","100,600","100,000","100,700","97,100","0.00K","1.93%"
"2024- 01- 21","98,700","98,700","98,700","98,700","","0.00%"
"2024- 01- 19","98,700","98,600","101,500","97,900","304.43K","1.33%"
"2024- 01- 18","97,400","95,000","98,700","94,900","314.74K","4.73%"
"2024- 01- 17","93,000","92,600","95,200","92,400","173.93K","0.00%"
"2024- 01- 16","93,000","95,700","96,100","93,000","0.11K","-2.72%"
"2024- 01- 15","95,600","93,400","96,400","92,200","0.09K","2.91%"
"2024- 01- 14","92,900","92,900","92,900","92,900","","0.00%"
"2024- 01- 12","92,900","89,500","93,800","88,500","226.17K","3.68%"
"2024- 01- 11","89,600","92,000","93,000","89,600","0.10K","-1.10%"
"2024- 01- 10","90,600","91,000","93,400","90,100","0.01K","-0.55%"
"2024- 01- 09","91,100","93,100","94,500","90,400","0.00K","-1.83%"
"2024- 01- 08","92,800","90,000","93,600","89,100","0.09K","2.77%"
"2024- 01- 05","90,300","87,200","92,600","86,500","453.99K","3.67%"
"2024- 01- 04","87,100","85,500","88,900","83,400","0.00K","1.52%"
"2024- 01- 03","85,800","82,500","87,800","81,300","0.25K","7.12%"
"2024- 01- 02","80,100","82,200","82,400","79,400","182.83K","-2.55%"
"2023- 12- 28","82,200","80,400","83,000","79,900","144.94K","2.24%"
"2023- 12- 27","80,400","80,300","81,100","79,000","103.14K","0.50%"
"2023- 12- 26","80,000","83,200","83,200","79,500","193.41K","-3.03%"
"2023- 12- 25","82,500","82,500","82,500","82,500","","0.00%"
"2023- 12- 22","82,500","84,900","84,900","82,500","117.46K","-2.37%"
"2023- 12- 21","84,500","83,400","85,500","83,300","128.87K","0.00%"
"2023- 12- 20","84,500","84,300","86,200","83,900","144.43K","0.48%"
"2023- 12- 19","84,100","85,000","85,000","83,400","133.26K","-0.47%"
"2023- 12- 18","84,500","82,000","85,500","82,000","209.32K","3.05%"
"2023- 12- 17","82,000","82,000","82,000","82,000","","0.00%"
"2023- 12- 15","82,000","82,100","85,300","81,600","260.99K","-0.24%"
"2023- 12- 14","82,200","82,000","83,400","80,300","0.02K","0.61%"
"2023- 12- 13","81,700","80,100","83,700","78,800","311.71K","2.00%"
"2023- 12- 12","80,100","83,500","84,400","79,400","218.49K","-2.91%"
"2023- 12- 11","82,500","80,700","84,200","80,000","204.15K","3.13%"
"2023- 12- 08","80,000","80,100","80,800","79,100","164.29K","-0.12%"
"2023- 12- 07","80,100","81,000","81,600","79,800","123.24K","-0.99%"
"2023- 12- 06","80,900","83,100","83,300","79,000","0.26K","-2.65%"
"2023- 12- 05","83,100","82,700","85,500","81,000","0.03K","-0.95%"
"2023- 12- 04","83,900","86,900","86,900","81,800","286.01K","-2.78%"
"2023- 12- 03","86,300","86,300","86,300","86,300","","0.00%"
"2023- 12- 01","86,300","84,500","88,400","84,400","298.60K","2.62%"
"2023- 11- 30","84,100","86,500","90,800","83,800","0.03K","-2.44%"
"2023- 11- 29","86,200","85,500","86,500","83,200","255.46K","1.29%"
"2023- 11- 28","85,100","86,400","87,300","84,400","0.11K","-1.05%"
"2023- 11- 27","86,000","86,200","89,000","85,400","0.11K","-0.92%"
"2023- 11- 24","86,800","85,000","87,600","84,500","323.76K","3.21%"
"2023- 11- 23","84,100","84,600","86,900","83,500","0.02K","-0.59%"
"2023- 11- 22","84,600","84,700","86,800","83,500","174.59K","-0.82%"
"2023- 11- 21","85,300","85,400","85,700","84,100","156.25K","-0.12%"
"2023- 11- 20","85,400","87,300","87,300","84,800","0.00K","-2.95%"
"2023- 11- 19","88,000","88,000","88,000","88,000","","0.00%"
"2023- 11- 17","88,000","86,800","89,800","86,700","341.50K","1.38%"
"2023- 11- 16","86,800","84,800","88,200","83,800","382.74K","3.09%"
"2023- 11- 15","84,200","83,900","84,500","81,400","180.14K","1.57%"
"2023- 11- 14","82,900","85,100","85,100","80,500","341.90K","-1.78%"
"2023- 11- 13","84,400","84,000","87,100","83,900","0.04K","1.08%"
"2023- 11- 12","83,500","83,500","83,500","83,500","","0.00%"
"2023- 11- 10","83,500","82,500","87,200","82,000","638.59K","1.71%"
"2023- 11- 09","82,100","82,300","83,300","81,400","182.25K","-0.24%"
"2023- 11- 08","82,300","80,600","85,900","80,200","645.28K","2.62%"
"2023- 11- 07","80,200","76,500","82,000","76,300","0.22K","4.16%"
"2023- 11- 06","77,000","75,400","77,200","75,100","0.02K","1.05%"
"2023- 11- 05","76,200","76,200","76,200","76,200","","0.00%"
"2023- 11- 03","76,200","78,500","78,600","73,600","336.95K","-1.80%"
"2023- 11- 02","77,600","79,700","79,900","77,000","0.02K","-1.40%"
"2023- 11- 01","78,700","76,100","79,000","75,500","0.04K","4.93%"
"2023- 10- 31","75,000","75,000","77,600","74,000","489.24K","1.76%"
"2023- 10- 30","73,700","74,600","75,100","71,400","0.00K","-0.94%"
"2023- 10- 29","74,400","74,400","74,400","74,400","","0.00%"
"2023- 10- 27","74,400","74,500","76,800","73,500","339.32K","0.54%"
"2023- 10- 26","74,000","72,000","75,000","71,100","0.02K","-0.67%"
"2023- 10- 25","74,500","76,800","78,000","70,300","606.90K","1.36%"
"2023- 10- 24","73,500","69,300","73,500","69,200","0.07K","7.30%"
"2023- 10- 23","68,500","70,500","70,800","65,500","743.98K","-6.04%"
"2023- 10- 22","72,900","72,900","72,900","72,900","","0.00%"
"2023- 10- 20","72,900","70,300","73,000","67,700","388.38K","2.68%"
"2023- 10- 19","71,000","74,100","74,700","71,000","0.00K","-5.84%"
"2023- 10- 18","75,400","75,900","77,200","74,100","0.02K","-0.79%"
"2023- 10- 17","76,000","73,500","78,000","73,500","0.15K","4.11%"
"2023- 10- 16","73,000","70,600","74,400","70,500","276.40K","1.96%"
"2023- 10- 13","71,600","70,200","72,200","70,200","165.50K","1.27%"
"2023- 10- 12","70,700","71,500","72,200","70,100","149.04K","-0.70%"
"2023- 10- 11","71,200","67,600","71,300","67,100","0.01K","5.79%"
"2023- 10- 10","67,300","67,000","71,400","66,800","0.01K","1.82%"
"2023- 10- 06","66,100","66,000","67,200","65,400","88.81K","0.15%"
"2023- 10- 05","66,000","66,100","67,700","65,000","122.53K","1.38%"
"2023- 10- 04","65,100","66,200","67,500","64,800","145.90K","-2.25%"
"2023- 10- 03","66,600","66,600","66,600","66,600","","0.00%"
"2023- 09- 27","66,600","65,000","67,000","65,000","111.27K","1.83%"
"2023- 09- 26","65,400","67,300","67,900","65,100","148.18K","-2.82%"
"2023- 09- 25","67,300","69,300","70,200","66,300","280.78K","-3.58%"
"2023- 09- 24","69,800","69,800","69,800","69,800","","0.00%"
"2023- 09- 22","69,800","67,600","70,600","67,500","160.26K","0.87%"
"2023- 09- 21","69,200","70,000","71,100","69,000","186.68K","-2.81%"
"2023- 09- 20","71,200","74,400","75,000","71,000","0.00K","-4.30%"
"2023- 09- 19","74,400","72,200","74,800","71,000","280.47K","3.48%"
"2023- 09- 18","71,900","70,200","72,400","69,900","0.00K","2.42%"
"2023- 09- 17","70,200","70,200","70,200","70,200","","0.00%"
"2023- 09- 15","70,200","68,400","71,000","68,000","359.59K","4.62%"
"2023- 09- 14","67,100","67,100","68,200","66,600","157.48K","0.00%"
"2023- 09- 13","67,100","68,700","68,900","66,000","0.01K","-0.59%"
"2023- 09- 12","67,500","68,400","69,700","67,500","0.00K","0.75%"
"2023- 09- 11","67,000","63,000","68,400","62,400","516.74K","6.86%"
"2023- 09- 08","62,700","61,900","63,100","61,500","195.96K","0.16%"
"2023- 09- 07","62,600","64,200","64,900","61,900","0.00K","-2.80%"
"2023- 09- 06","64,400","64,600","65,500","63,400","0.00K","-0.46%"
"2023- 09- 05","64,700","64,500","65,300","63,900","0.06K","0.15%"
"2023- 09- 04","64,600","64,000","65,200","63,200","322.33K","2.38%"
"2023- 09- 01","63,100","70,000","70,000","61,400","1.02M","-10.37%"
"2023- 08- 31","70,400","69,400","71,500","69,000","0.01K","0.86%"
"2023- 08- 30","69,800","70,000","70,200","68,400","169.74K","0.29%"
"2023- 08- 29","69,600","69,200","70,200","68,300","133.37K","1.16%"
"2023- 08- 28","68,800","67,500","69,800","67,500","160.42K","2.08%"
"2023- 08- 27","67,400","67,400","67,400","67,400","","0.00%"
"2023- 08- 25","67,400","68,300","69,500","66,800","298.84K","-3.85%"
"2023- 08- 24","70,100","69,100","70,200","67,500","0.01K","2.34%"
"2023- 08- 23","68,500","71,500","72,500","68,200","234.31K","-4.73%"
"2023- 08- 22","71,900","69,800","72,600","69,600","179.94K","3.60%"
"2023- 08- 21","69,400","70,800","71,200","68,000","252.01K","-0.57%"
"2023- 08- 20","69,800","69,800","69,800","69,800","","0.00%"
"2023- 08- 18","69,800","70,000","70,500","68,000","271.62K","-0.85%"
"2023- 08- 17","70,400","72,500","73,600","68,800","0.03K","-3.43%"
"2023- 08- 16","72,900","74,500","76,400","72,700","0.09K","-2.93%"
"2023- 08- 15","75,100","75,100","75,100","75,100","","0.00%"
"2023- 08- 14","75,100","73,600","76,400","73,100","227.93K","1.49%"
"2023- 08- 13","74,000","74,000","74,000","74,000","","0.00%"
"2023- 08- 11","74,000","72,200","74,600","69,500","273.43K","2.92%"
"2023- 08- 10","71,900","73,600","74,300","71,800","266.46K","-3.23%"
"2023- 08- 09","74,300","75,700","76,600","73,600","0.01K","-2.49%"
"2023- 08- 08","76,200","72,900","77,200","71,600","0.00K","4.96%"
"2023- 08- 07","72,600","73,900","76,100","72,000","0.01K","-0.55%"
"2023- 08- 04","73,000","72,800","74,400","72,500","129.33K","-0.27%"
"2023- 08- 03","73,200","74,000","75,100","70,300","0.14K","-2.14%"
"2023- 08- 02","74,800","73,100","77,900","73,100","0.23K","1.49%"
"2023- 08- 01","73,700","74,500","74,700","71,900","0.34K","-0.81%"
"2023- 07- 31","74,300","74,600","76,200","72,400","416.87K","1.92%"
"2023- 07- 28","72,900","69,400","73,900","68,500","325.05K","3.26%"
"2023- 07- 27","70,600","72,000","74,600","69,000","713.94K","1.44%"
"2023- 07- 26","69,600","82,800","84,000","68,000","1.64M","-13.65%"
"2023- 07- 25","80,600","72,100","81,700","71,000","987.56K","12.26%"
"2023- 07- 24","71,800","70,500","73,300","68,600","377.37K","2.13%"
"2023- 07- 23","70,300","70,300","70,300","70,300","","0.00%"
"2023- 07- 21","70,300","70,000","71,200","68,800","189.12K","0.14%"
"2023- 07- 20","70,200","67,000","71,700","66,600","372.35K","4.46%"
"2023- 07- 19","67,200","68,000","68,600","66,400","0.10K","-0.59%"
"2023- 07- 18","67,600","68,800","68,900","66,200","0.24K","-1.60%"
"2023- 07- 17","68,700","68,300","69,800","67,500","271.49K","1.33%"
"2023- 07- 16","67,800","67,800","67,800","67,800","","0.00%"
"2023- 07- 14","67,800","69,700","69,700","66,400","551.29K","-2.16%"
"2023- 07- 13","69,300","69,100","69,600","66,600","0.18K","-0.14%"
"2023- 07- 12","69,400","73,000","74,400","67,600","0.00K","-4.28%"
"2023- 07- 11","72,500","68,500","73,000","68,500","405.50K","5.99%"
"2023- 07- 10","68,400","67,900","71,000","67,200","343.40K","1.03%"
"2023- 07- 07","67,700","65,700","68,300","65,200","201.40K","2.27%"
"2023- 07- 06","66,200","66,900","67,700","65,500","227.22K","-1.05%"
"2023- 07- 05","66,900","67,700","69,000","66,000","0.19K","-0.59%"
"2023- 07- 04","67,300","65,000","69,200","64,900","392.69K","4.02%"
"2023- 07- 03","64,700","66,400","67,500","64,300","0.00K","-0.61%"
"2023- 06- 30","65,100","61,100","65,900","59,600","781.39K","7.60%"
"2023- 06- 29","60,500","58,400","61,000","56,900","409.92K","4.49%"
"2023- 06- 28","57,900","59,800","59,800","57,700","223.66K","-1.86%"
"2023- 06- 27","59,000","57,400","59,200","56,000","192.97K","3.15%"
"2023- 06- 26","57,200","56,600","59,400","55,800","218.79K","0.53%"
"2023- 06- 25","56,900","56,900","56,900","56,900","","0.00%"
"2023- 06- 23","56,900","57,200","57,700","55,700","105.48K","-0.52%"
"2023- 06- 22","57,200","57,100","58,100","56,100","149.43K","-1.89%"
"2023- 06- 21","58,300","57,700","58,700","56,200","0.09K","1.39%"
"2023- 06- 20","57,500","58,000","59,500","56,700","275.69K","-0.69%"
"2023- 06- 19","57,900","56,000","58,000","55,000","0.10K","3.39%"
"2023- 06- 18","56,000","56,000","56,000","56,000","","0.00%"
"2023- 06- 16","56,000","53,800","56,500","53,400","502.96K","5.26%"
"2023- 06- 15","53,200","52,400","54,500","52,000","209.61K","1.53%"
"2023- 06- 14","52,400","53,800","54,700","51,700","213.10K","-1.50%"
"2023- 06- 13","53,200","52,500","54,100","51,900","0.24K","1.53%"
"2023- 06- 12","52,400","54,100","54,200","51,700","264.56K","-3.14%"
"2023- 06- 11","54,100","54,100","54,100","54,100","","0.00%"
"2023- 06- 09","54,100","53,300","54,600","52,500","211.09K","1.69%"
"2023- 06- 08","53,200","52,400","55,000","52,400","0.00K","1.33%"
"2023- 06- 07","52,500","53,100","53,100","51,600","175.17K","0.19%"
"2023- 06- 05","52,400","52,500","53,900","51,800","352.87K","0.00%"
"2023- 06- 04","52,400","52,400","52,400","52,400","","0.00%"
"2023- 06- 02","52,400","48,550","52,500","48,550","684.29K","9.62%"
"2023- 06- 01","47,800","48,400","49,150","47,300","191.94K","-2.25%"
"2023- 05- 31","48,900","48,800","50,200","48,200","0.01K","1.66%"
"2023- 05- 30","48,100","48,300","48,600","46,800","196.12K","-0.31%"
"2023- 05- 26","48,250","49,400","50,200","48,150","148.34K","-1.43%"
"2023- 05- 25","48,950","50,100","50,500","48,700","211.77K","-2.30%"
"2023- 05- 24","50,100","48,750","50,800","48,350","279.22K","4.05%"
"2023- 05- 23","48,150","48,750","49,350","47,950","178.55K","-0.52%"
"2023- 05- 22","48,400","45,500","48,800","45,500","312.22K","6.14%"
"2023- 05- 19","45,600","47,950","47,950","45,100","574.90K","-4.00%"
"2023- 05- 18","47,500","47,450","48,100","46,850","173.90K","0.42%"
"2023- 05- 17","47,300","46,800","47,550","46,250","132.23K","0.11%"
"2023- 05- 16","47,250","48,050","48,050","46,200","159.69K","-0.74%"
"2023- 05- 15","47,600","47,000","49,000","46,800","174.50K","0.42%"
"2023- 05- 14","47,400","47,400","47,400","47,400","","0.00%"
"2023- 05- 12","47,400","48,000","48,850","46,600","375.10K","-2.47%"
"2023- 05- 11","48,600","49,200","49,650","48,200","170.63K","-1.22%"
"2023- 05- 10","49,200","49,000","50,400","48,150","221.78K","0.41%"
"2023- 05- 09","49,000","49,150","49,900","48,550","218.69K","-0.41%"
