"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","4,040","3,950","4,045","3,950","1.59M","2.80%"
"2024- 02- 15","3,930","3,980","3,990","3,930","1.50K","-0.13%"
"2024- 02- 14","3,935","3,930","3,970","3,930","1.19M","-1.25%"
"2024- 02- 13","3,985","3,990","4,060","3,960","0.01K","1.79%"
"2024- 02- 08","3,915","3,955","3,980","3,915","1.37M","-0.13%"
"2024- 02- 07","3,920","3,910","3,960","3,880","0.00K","0.90%"
"2024- 02- 06","3,885","3,910","3,945","3,875","1.52M","-1.65%"
"2024- 02- 05","3,950","3,980","3,985","3,865","1.85M","-0.50%"
"2024- 02- 02","3,970","3,980","3,980","3,920","1.93M","0.13%"
"2024- 02- 01","3,965","3,910","4,005","3,905","1.37M","0.76%"
"2024- 01- 31","3,935","4,065","4,065","3,935","1.00K","-3.20%"
"2024- 01- 30","4,065","4,055","4,180","4,035","0.95K","0.74%"
"2024- 01- 29","4,035","4,020","4,080","3,990","0.00K","0.50%"
"2024- 01- 28","4,015","4,015","4,015","4,015","","0.00%"
"2024- 01- 26","4,015","3,915","4,025","3,900","801.79K","2.29%"
"2024- 01- 25","3,925","3,910","3,945","3,880","727.50K","0.38%"
"2024- 01- 24","3,910","3,905","3,930","3,870","622.11K","0.26%"
"2024- 01- 23","3,900","3,880","3,950","3,875","668.99K","0.52%"
"2024- 01- 22","3,880","4,015","4,015","3,870","1.44M","-2.51%"
"2024- 01- 19","3,980","4,000","4,040","3,970","740.07K","0.25%"
"2024- 01- 18","3,970","4,005","4,015","3,955","0.00K","-1.00%"
"2024- 01- 17","4,010","4,090","4,110","3,970","1.19M","-1.96%"
"2024- 01- 16","4,090","4,085","4,135","4,075","0.00K","-0.12%"
"2024- 01- 15","4,095","4,205","4,220","4,085","1.17M","-2.62%"
"2024- 01- 12","4,205","4,240","4,330","4,180","922.05K","-0.83%"
"2024- 01- 11","4,240","4,280","4,340","4,240","0.01K","-0.47%"
"2024- 01- 10","4,260","4,195","4,280","4,155","1.79M","2.16%"
"2024- 01- 09","4,170","4,125","4,210","4,110","1.01M","1.71%"
"2024- 01- 08","4,100","4,105","4,135","4,090","0.00K","0.00%"
"2024- 01- 05","4,100","4,100","4,135","4,090","590.67K","0.00%"
"2024- 01- 04","4,100","4,095","4,160","4,080","661.43K","-0.24%"
"2024- 01- 03","4,110","4,160","4,160","4,100","0.28K","-1.44%"
"2024- 01- 02","4,170","4,130","4,180","4,095","709.22K","0.60%"
"2023- 12- 28","4,145","4,150","4,165","4,090","1.21M","0.00%"
"2023- 12- 27","4,145","4,150","4,165","4,085","878.08K","-0.60%"
"2023- 12- 26","4,170","4,160","4,170","4,110","599.95K","0.85%"
"2023- 12- 25","4,135","4,135","4,135","4,135","","0.00%"
"2023- 12- 22","4,135","4,185","4,185","4,130","753.64K","-0.96%"
"2023- 12- 21","4,175","4,155","4,185","4,130","0.01K","-0.12%"
"2023- 12- 20","4,180","4,165","4,200","4,125","0.03K","1.21%"
"2023- 12- 19","4,130","4,115","4,145","4,070","0.00K","-2.82%"
"2023- 12- 18","4,250","4,355","4,365","4,240","0.43K","-2.30%"
"2023- 12- 15","4,350","4,330","4,385","4,305","1.15M","1.05%"
"2023- 12- 14","4,305","4,350","4,380","4,285","0.06K","0.94%"
"2023- 12- 13","4,265","4,430","4,430","4,260","1.00M","-3.29%"
"2023- 12- 12","4,410","4,435","4,440","4,385","478.02K","0.23%"
"2023- 12- 11","4,400","4,445","4,460","4,350","840.60K","-0.68%"
"2023- 12- 10","4,430","4,430","4,430","4,430","","0.00%"
"2023- 12- 08","4,430","4,490","4,490","4,400","687.52K","-0.11%"
"2023- 12- 07","4,435","4,490","4,530","4,430","685.88K","-1.66%"
"2023- 12- 06","4,510","4,485","4,545","4,480","0.00K","0.67%"
"2023- 12- 05","4,480","4,520","4,535","4,460","695.84K","-1.32%"
"2023- 12- 04","4,540","4,645","4,645","4,495","0.01K","-1.84%"
"2023- 12- 01","4,625","4,590","4,660","4,575","1.14M","-0.32%"
"2023- 11- 30","4,640","4,555","4,650","4,480","2.14M","1.87%"
"2023- 11- 29","4,555","4,620","4,630","4,515","1.21M","-1.09%"
"2023- 11- 28","4,605","4,595","4,645","4,560","1.10M","0.44%"
"2023- 11- 27","4,585","4,560","4,590","4,520","649.31K","0.55%"
"2023- 11- 26","4,560","4,560","4,560","4,560","","0.00%"
"2023- 11- 24","4,560","4,500","4,590","4,485","1.17M","1.45%"
"2023- 11- 23","4,495","4,505","4,535","4,480","0.07K","-0.44%"
"2023- 11- 22","4,515","4,515","4,535","4,460","943.18K","0.00%"
"2023- 11- 21","4,515","4,485","4,540","4,450","0.35K","1.23%"
"2023- 11- 20","4,460","4,500","4,530","4,455","1.06M","-0.34%"
"2023- 11- 19","4,475","4,475","4,475","4,475","","0.00%"
"2023- 11- 17","4,475","4,380","4,530","4,370","1.49M","1.82%"
"2023- 11- 16","4,395","4,380","4,430","4,340","815.68K","0.11%"
"2023- 11- 15","4,390","4,300","4,410","4,265","2.45M","3.78%"
"2023- 11- 14","4,230","4,155","4,230","4,150","1.07M","2.17%"
"2023- 11- 13","4,140","4,185","4,205","4,115","705.72K","-0.60%"
"2023- 11- 12","4,165","4,165","4,165","4,165","","0.00%"
"2023- 11- 10","4,165","4,120","4,185","4,075","771.66K","1.09%"
"2023- 11- 09","4,120","4,115","4,155","4,090","0.00K","0.00%"
"2023- 11- 08","4,120","4,155","4,160","4,100","701.63K","-0.48%"
"2023- 11- 07","4,140","4,170","4,170","4,070","0.13K","-1.66%"
"2023- 11- 06","4,210","4,190","4,210","4,130","2.33M","4.34%"
"2023- 11- 05","4,035","4,035","4,035","4,035","","0.00%"
"2023- 11- 03","4,035","4,045","4,055","3,990","847.07K","1.00%"
"2023- 11- 02","3,995","3,985","4,010","3,955","993.92K","1.40%"
"2023- 11- 01","3,940","3,955","3,970","3,915","0.00K","0.25%"
"2023- 10- 31","3,930","3,940","4,035","3,900","1.71M","0.64%"
"2023- 10- 30","3,905","3,925","3,960","3,885","0.03K","-0.51%"
"2023- 10- 27","3,925","3,945","4,000","3,920","884.38K","-0.51%"
"2023- 10- 26","3,945","3,970","4,020","3,930","905.20K","-1.99%"
"2023- 10- 25","4,025","4,010","4,070","3,990","899.75K","0.37%"
"2023- 10- 24","4,010","3,940","4,010","3,865","1.27M","2.04%"
"2023- 10- 23","3,930","4,070","4,075","3,870","2.37M","-3.44%"
"2023- 10- 22","4,070","4,070","4,070","4,070","","0.00%"
"2023- 10- 20","4,070","3,975","4,095","3,910","1.52M","1.75%"
"2023- 10- 19","4,000","4,060","4,060","3,975","1.04K","-2.44%"
"2023- 10- 18","4,100","4,040","4,135","4,040","908.86K","0.99%"
"2023- 10- 17","4,060","4,070","4,100","4,045","0.00K","-0.49%"
"2023- 10- 16","4,080","4,030","4,080","4,010","732.30K","0.62%"
"2023- 10- 15","4,055","4,055","4,055","4,055","","0.00%"
"2023- 10- 13","4,055","4,090","4,110","4,025","680.88K","-1.70%"
"2023- 10- 12","4,125","4,075","4,140","4,060","881.87K","1.60%"
"2023- 10- 11","4,060","4,030","4,105","4,030","0.00K","1.12%"
"2023- 10- 10","4,015","4,105","4,140","3,965","1.26M","-1.95%"
"2023- 10- 09","4,095","4,095","4,095","4,095","","0.00%"
"2023- 10- 06","4,095","3,985","4,095","3,985","952.94K","1.87%"
"2023- 10- 05","4,020","4,100","4,140","4,015","1.31K","-1.59%"
"2023- 10- 04","4,085","4,200","4,200","4,075","1.27M","-2.85%"
"2023- 10- 03","4,205","4,205","4,205","4,205","","0.00%"
"2023- 09- 27","4,205","4,110","4,220","4,100","809.79K","1.33%"
"2023- 09- 26","4,150","4,335","4,335","4,120","0.04K","-4.60%"
"2023- 09- 25","4,350","4,300","4,390","4,260","0.00K","0.35%"
"2023- 09- 24","4,335","4,335","4,335","4,335","","0.00%"
"2023- 09- 22","4,335","4,380","4,410","4,310","1.05M","-2.03%"
"2023- 09- 21","4,425","4,530","4,550","4,425","0.01K","-2.85%"
"2023- 09- 20","4,555","4,540","4,625","4,525","0.10K","0.11%"
"2023- 09- 19","4,550","4,560","4,585","4,500","821.59K","-0.22%"
"2023- 09- 18","4,560","4,575","4,675","4,525","9.73K","-0.22%"
"2023- 09- 17","4,570","4,570","4,570","4,570","","0.00%"
"2023- 09- 15","4,570","4,485","4,660","4,480","2.09M","2.01%"
"2023- 09- 14","4,480","4,415","4,480","4,385","1.04M","1.59%"
"2023- 09- 13","4,410","4,375","4,415","4,345","695.48K","0.46%"
"2023- 09- 12","4,390","4,520","4,530","4,365","0.00K","-2.88%"
"2023- 09- 11","4,520","4,500","4,565","4,450","743.39K","1.57%"
"2023- 09- 10","4,450","4,450","4,450","4,450","","0.00%"
"2023- 09- 08","4,450","4,440","4,480","4,360","835.17K","0.00%"
"2023- 09- 07","4,450","4,465","4,490","4,425","0.00K","-1.33%"
"2023- 09- 06","4,510","4,545","4,570","4,480","0.21K","-1.10%"
"2023- 09- 05","4,560","4,520","4,580","4,520","787.12K","0.11%"
"2023- 09- 04","4,555","4,575","4,600","4,470","0.10K","-0.22%"
"2023- 09- 03","4,565","4,565","4,565","4,565","","0.00%"
"2023- 09- 01","4,565","4,610","4,695","4,560","1.30M","-0.76%"
"2023- 08- 31","4,600","4,645","4,650","4,540","1.40M","-0.97%"
"2023- 08- 30","4,645","4,685","4,710","4,630","0.00K","0.00%"
"2023- 08- 29","4,645","4,565","4,725","4,520","1.93M","2.65%"
"2023- 08- 28","4,525","4,385","4,530","4,310","2.43M","4.14%"
"2023- 08- 27","4,345","4,345","4,345","4,345","","0.00%"
"2023- 08- 25","4,345","4,335","4,380","4,305","863.18K","-0.69%"
"2023- 08- 24","4,375","4,420","4,445","4,350","0.09K","-0.79%"
"2023- 08- 23","4,410","4,435","4,465","4,395","0.06K","-1.01%"
"2023- 08- 22","4,455","4,435","4,480","4,395","0.00K","0.45%"
"2023- 08- 21","4,435","4,495","4,540","4,410","0.50K","-1.00%"
"2023- 08- 18","4,480","4,490","4,515","4,415","1.64M","-1.43%"
"2023- 08- 17","4,545","4,560","4,575","4,485","0.30K","-0.98%"
"2023- 08- 16","4,590","4,675","4,685","4,465","0.25K","-2.03%"
"2023- 08- 15","4,685","4,685","4,685","4,685","","0.00%"
"2023- 08- 14","4,685","4,665","4,760","4,650","2.80M","0.54%"
"2023- 08- 13","4,660","4,660","4,660","4,660","","0.00%"
"2023- 08- 11","4,660","4,690","4,690","4,605","1.78M","-0.53%"
