"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","12,280","12,020","12,340","11,960","303.10K","4.07%"
"2024- 02- 15","11,800","11,930","12,040","11,750","256.53K","-0.08%"
"2024- 02- 14","11,810","12,100","12,190","11,750","549.02K","-3.28%"
"2024- 02- 13","12,210","12,460","12,880","12,200","672.84K","-0.97%"
"2024- 02- 12","12,330","12,330","12,330","12,330","","0.00%"
"2024- 02- 08","12,330","12,100","12,400","12,060","793.27K","2.58%"
"2024- 02- 07","12,020","11,860","12,200","11,750","421.08K","2.65%"
"2024- 02- 06","11,710","11,880","12,150","11,660","505.34K","-2.42%"
"2024- 02- 05","12,000","12,100","12,100","11,560","0.13K","-2.12%"
"2024- 02- 04","12,260","12,260","12,260","12,260","","0.00%"
"2024- 02- 02","12,260","12,460","12,470","11,880","1.27M","-2.54%"
"2024- 02- 01","12,580","11,520","12,790","11,520","2.00M","9.97%"
"2024- 01- 31","11,440","11,210","11,440","11,190","344.76K","1.51%"
"2024- 01- 30","11,270","11,160","11,290","11,090","387.73K","0.99%"
"2024- 01- 29","11,160","10,890","11,310","10,810","643.40K","2.95%"
"2024- 01- 26","10,840","10,750","10,910","10,700","166.18K","0.46%"
"2024- 01- 25","10,790","10,780","10,790","10,670","139.63K","0.19%"
"2024- 01- 24","10,770","10,650","10,790","10,650","153.51K","0.65%"
"2024- 01- 23","10,700","10,720","10,810","10,630","178.48K","0.56%"
"2024- 01- 22","10,640","10,690","10,750","10,610","111.03K","0.38%"
"2024- 01- 19","10,600","10,600","10,720","10,600","166.28K","0.09%"
"2024- 01- 18","10,590","10,790","10,790","10,540","237.84K","-0.47%"
"2024- 01- 17","10,640","10,710","10,810","10,570","308.29K","-0.47%"
"2024- 01- 16","10,690","10,720","10,800","10,560","243.15K","-0.74%"
"2024- 01- 15","10,770","10,690","10,900","10,560","161.52K","0.65%"
"2024- 01- 12","10,700","10,720","10,840","10,630","232.41K","-0.09%"
"2024- 01- 11","10,710","10,800","10,980","10,710","274.03K","-0.09%"
"2024- 01- 10","10,720","10,710","10,800","10,670","220.21K","0.09%"
"2024- 01- 09","10,710","10,740","10,740","10,600","249.10K","0.66%"
"2024- 01- 08","10,640","10,920","10,990","10,570","488.77K","-3.27%"
"2024- 01- 05","11,000","11,010","11,170","10,850","469.88K","-1.79%"
"2024- 01- 04","11,200","11,260","11,310","11,030","493.65K","-0.71%"
"2024- 01- 03","11,280","10,970","11,350","10,970","615.76K","1.90%"
"2024- 01- 02","11,070","11,250","11,340","10,720","703.68K","-2.81%"
"2023- 12- 28","11,390","11,000","11,470","10,970","1.25M","3.55%"
"2023- 12- 27","11,000","10,610","11,000","10,610","809.57K","1.76%"
"2023- 12- 26","10,810","10,700","10,860","10,660","927.10K","1.60%"
"2023- 12- 22","10,640","10,500","10,640","10,480","492.66K","1.43%"
"2023- 12- 21","10,490","10,470","10,530","10,400","289.93K","0.00%"
"2023- 12- 20","10,490","10,500","10,540","10,430","0.00K","0.58%"
"2023- 12- 19","10,430","10,460","10,500","10,430","431.73K","-0.19%"
"2023- 12- 18","10,450","10,560","10,630","10,440","350.01K","-1.51%"
"2023- 12- 15","10,610","10,610","10,800","10,550","587.76K","0.28%"
"2023- 12- 14","10,580","10,710","10,740","10,520","567.76K","-0.28%"
"2023- 12- 13","10,610","10,630","10,720","10,500","317.12K","0.28%"
"2023- 12- 12","10,580","10,490","10,630","10,450","346.28K","1.34%"
"2023- 12- 11","10,440","10,480","10,480","10,330","226.44K","0.48%"
"2023- 12- 08","10,390","10,420","10,480","10,330","232.25K","0.19%"
"2023- 12- 07","10,370","10,300","10,390","10,280","196.98K","0.39%"
"2023- 12- 06","10,330","10,220","10,440","10,220","260.87K","1.18%"
"2023- 12- 05","10,210","10,300","10,400","10,200","476.31K","-1.35%"
"2023- 12- 04","10,350","10,420","10,440","10,310","334.86K","-0.67%"
"2023- 12- 01","10,420","10,390","10,480","10,280","343.64K","0.29%"
"2023- 11- 30","10,390","10,720","10,800","10,360","1.03M","-3.71%"
"2023- 11- 29","10,790","10,750","10,880","10,720","233.57K","-0.28%"
"2023- 11- 28","10,820","10,890","10,940","10,810","375.49K","-0.73%"
"2023- 11- 27","10,900","10,830","10,900","10,770","311.16K","0.65%"
"2023- 11- 24","10,830","10,880","10,910","10,740","184.79K","0.00%"
"2023- 11- 23","10,830","10,860","10,910","10,780","333.87K","-1.01%"
"2023- 11- 22","10,940","10,890","10,970","10,800","172.09K","0.46%"
"2023- 11- 21","10,890","10,960","10,960","10,850","307.18K","0.00%"
"2023- 11- 20","10,890","10,840","10,960","10,840","321.64K","-0.18%"
"2023- 11- 17","10,910","10,910","10,990","10,860","198.39K","-0.27%"
