"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","33,600","32,600","34,150","32,600","1.36M","4.19%"
"2024- 02- 15","32,250","32,750","32,750","32,050","511.37K","0.78%"
"2024- 02- 14","32,000","31,600","32,150","31,450","0.25K","-0.78%"
"2024- 02- 13","32,250","32,550","32,850","32,200","0.50K","1.26%"
"2024- 02- 08","31,850","32,500","32,600","31,600","814.62K","0.79%"
"2024- 02- 07","31,600","32,200","32,200","31,000","0.01K","-2.02%"
"2024- 02- 06","32,250","32,800","33,200","32,250","785.26K","-2.86%"
"2024- 02- 05","33,200","34,650","34,650","32,800","0.62K","-4.32%"
"2024- 02- 04","34,700","34,700","34,700","34,700","","0.00%"
"2024- 02- 02","34,700","35,250","35,850","34,650","833.46K","-0.86%"
"2024- 02- 01","35,000","33,350","35,000","32,900","0.04K","4.95%"
"2024- 01- 31","33,350","33,300","33,900","32,750","633.35K","0.30%"
"2024- 01- 30","33,250","33,100","34,100","32,950","0.57K","1.99%"
"2024- 01- 29","32,600","33,000","33,100","32,550","415.80K","-1.06%"
"2024- 01- 28","32,950","32,950","32,950","32,950","","0.00%"
"2024- 01- 26","32,950","32,750","33,100","32,400","450.23K","0.00%"
"2024- 01- 25","32,950","33,350","33,350","32,550","0.51K","-2.37%"
"2024- 01- 24","33,750","33,750","34,150","33,250","762.56K","2.58%"
"2024- 01- 23","32,900","32,650","33,550","32,600","835.59K","2.17%"
"2024- 01- 22","32,200","32,700","32,900","31,650","757.15K","-1.23%"
"2024- 01- 21","32,600","32,600","32,600","32,600","","0.00%"
"2024- 01- 19","32,600","33,400","34,100","32,450","1.31M","-1.81%"
"2024- 01- 18","33,200","34,100","34,600","32,800","0.28K","-2.78%"
"2024- 01- 17","34,150","36,850","36,850","34,100","0.55K","-9.54%"
"2024- 01- 16","37,750","37,100","38,500","37,050","0.25K","1.48%"
"2024- 01- 15","37,200","36,750","37,950","36,750","622.85K","1.22%"
"2024- 01- 14","36,750","36,750","36,750","36,750","","0.00%"
"2024- 01- 12","36,750","37,550","38,000","36,750","607.80K","-2.00%"
"2024- 01- 11","37,500","38,200","38,700","37,500","1.82K","-2.72%"
"2024- 01- 10","38,550","37,750","39,150","37,600","1.49K","4.19%"
"2024- 01- 09","37,000","36,700","38,100","36,450","1.43M","3.93%"
"2024- 01- 08","35,600","36,300","36,850","35,600","648.25K","-1.93%"
"2024- 01- 07","36,300","36,300","36,300","36,300","","0.00%"
"2024- 01- 05","36,300","36,400","36,950","36,050","646.77K","-0.82%"
"2024- 01- 04","36,600","36,650","36,900","35,550","0.44K","-2.27%"
"2024- 01- 03","37,450","38,050","38,400","37,450","0.05K","-2.98%"
"2024- 01- 02","38,600","39,500","39,500","38,300","0.06K","-2.28%"
"2023- 12- 28","39,500","38,600","39,750","38,300","1.42M","2.33%"
"2023- 12- 27","38,600","38,750","39,150","37,650","1.32K","0.39%"
"2023- 12- 26","38,450","38,100","38,700","37,700","0.19K","-0.26%"
"2023- 12- 25","38,550","38,550","38,550","38,550","","0.00%"
"2023- 12- 22","38,550","39,200","39,200","38,000","1.71M","-0.52%"
"2023- 12- 21","38,750","36,700","39,150","36,600","0.00K","2.79%"
"2023- 12- 20","37,700","36,600","38,250","36,400","3.06K","8.80%"
"2023- 12- 19","34,650","34,500","35,200","34,150","1.03M","-1.00%"
"2023- 12- 18","35,000","35,250","35,850","34,100","4.46K","0.14%"
"2023- 12- 17","34,950","34,950","34,950","34,950","","0.00%"
"2023- 12- 15","34,950","33,650","37,700","33,650","10.68M","7.87%"
"2023- 12- 14","32,400","32,250","32,750","31,950","1.42M","4.52%"
"2023- 12- 13","31,000","31,700","31,700","30,800","905.40K","-3.43%"
"2023- 12- 12","32,100","31,600","32,750","31,600","0.30K","2.23%"
"2023- 12- 11","31,400","31,500","31,650","31,200","0.11K","0.00%"
"2023- 12- 10","31,400","31,400","31,400","31,400","","0.00%"
"2023- 12- 08","31,400","31,750","32,000","31,250","342.93K","-0.48%"
"2023- 12- 07","31,550","31,950","32,050","31,100","0.95K","-1.87%"
"2023- 12- 06","32,150","32,350","32,800","31,950","0.20K","-1.23%"
"2023- 12- 05","32,550","32,200","32,650","32,050","0.07K","0.00%"
"2023- 12- 04","32,550","32,350","32,550","31,750","0.06K","2.20%"
"2023- 12- 03","31,850","31,850","31,850","31,850","","0.00%"
"2023- 12- 01","31,850","33,400","33,400","31,800","792.46K","-4.64%"
"2023- 11- 30","33,400","32,050","33,400","31,800","0.12K","2.77%"
"2023- 11- 29","32,500","32,750","32,900","32,050","742.42K","-0.61%"
"2023- 11- 28","32,700","33,450","33,550","32,650","828.77K","-1.65%"
"2023- 11- 27","33,250","33,600","34,500","33,200","620.98K","-1.63%"
"2023- 11- 24","33,800","34,200","34,650","33,800","428.32K","-2.03%"
"2023- 11- 23","34,500","34,350","35,250","34,200","0.07K","1.47%"
"2023- 11- 22","34,000","33,900","34,450","33,250","739.87K","-0.87%"
"2023- 11- 21","34,300","33,400","34,550","33,300","0.86K","3.94%"
"2023- 11- 20","33,000","31,650","33,300","31,350","767.52K","3.94%"
"2023- 11- 19","31,750","31,750","31,750","31,750","","0.00%"
"2023- 11- 17","31,750","32,900","32,950","31,700","777.31K","-3.79%"
"2023- 11- 16","33,000","33,500","33,550","32,000","975.13K","-1.05%"
"2023- 11- 15","33,350","33,100","34,500","32,550","2.91M","7.75%"
"2023- 11- 14","30,950","30,900","31,200","30,600","337.09K","1.81%"
"2023- 11- 13","30,400","30,900","31,150","30,300","0.13K","-0.16%"
"2023- 11- 12","30,450","30,450","30,450","30,450","","0.00%"
"2023- 11- 10","30,450","30,900","31,450","30,450","478.22K","-3.33%"
"2023- 11- 09","31,500","31,450","31,800","31,100","0.30K","-0.79%"
"2023- 11- 08","31,750","32,000","32,450","31,700","462.40K","-0.47%"
"2023- 11- 07","31,900","32,800","32,800","31,700","0.72K","-3.77%"
"2023- 11- 06","33,150","31,950","33,150","31,500","0.53K","7.80%"
"2023- 11- 03","30,750","30,800","31,500","30,650","1.01M","1.99%"
"2023- 11- 02","30,150","30,300","30,650","29,400","1.35M","-1.79%"
"2023- 11- 01","30,700","29,550","31,800","29,550","1.29K","7.16%"
"2023- 10- 31","28,650","27,900","29,400","26,500","0.45K","3.43%"
"2023- 10- 30","27,700","27,250","27,950","26,950","0.85K","0.73%"
"2023- 10- 29","27,500","27,500","27,500","27,500","","0.00%"
"2023- 10- 27","27,500","28,050","28,100","27,150","1.08M","-1.08%"
"2023- 10- 26","27,800","28,000","28,500","27,600","753.73K","-4.14%"
"2023- 10- 25","29,000","29,150","29,650","28,900","637.75K","0.35%"
"2023- 10- 24","28,900","27,950","28,950","27,350","1.08M","4.33%"
"2023- 10- 23","27,700","29,050","29,250","27,400","2.14M","-7.36%"
"2023- 10- 22","29,900","29,900","29,900","29,900","","0.00%"
"2023- 10- 20","29,900","29,800","30,400","28,800","3.05M","-1.97%"
"2023- 10- 19","30,500","30,550","31,350","30,150","0.07K","-2.56%"
"2023- 10- 18","31,300","31,750","32,450","31,300","0.01K","0.16%"
"2023- 10- 17","31,250","30,500","31,800","30,500","0.01K","1.96%"
"2023- 10- 16","30,650","30,450","31,600","30,050","1.37M","0.82%"
"2023- 10- 15","30,400","30,400","30,400","30,400","","0.00%"
"2023- 10- 13","30,400","29,700","30,600","29,150","851.33K","0.33%"
"2023- 10- 12","30,300","29,250","30,500","29,250","0.03K","3.41%"
"2023- 10- 11","29,300","28,050","29,500","28,000","1.07K","8.32%"
"2023- 10- 10","27,050","27,050","27,700","26,850","927.91K","0.19%"
"2023- 10- 09","27,000","27,000","27,000","27,000","","0.00%"
"2023- 10- 06","27,000","27,000","27,400","26,950","903.19K","-0.92%"
"2023- 10- 05","27,250","28,200","28,200","27,250","4.16K","-2.15%"
"2023- 10- 04","27,850","29,200","29,250","27,850","1.65M","-6.39%"
"2023- 10- 03","29,750","29,750","29,750","29,750","","0.00%"
"2023- 09- 27","29,750","29,150","29,850","28,400","931.37K","0.85%"
"2023- 09- 26","29,500","29,750","30,050","29,400","574.93K","-0.84%"
