"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","6,740","6,790","6,850","6,550","3.37M","0.15%"
"2024- 02- 15","6,730","6,910","6,950","6,600","0.00K","-2.60%"
"2024- 02- 14","6,910","8,070","8,070","6,870","5.24K","-13.95%"
"2024- 02- 13","8,030","8,170","8,540","7,880","31.48K","-0.62%"
"2024- 02- 12","8,080","8,080","8,080","8,080","","0.00%"
"2024- 02- 08","8,080","7,910","8,160","7,760","2.10M","1.76%"
"2024- 02- 07","7,940","7,730","8,060","7,680","0.72K","2.06%"
"2024- 02- 06","7,780","7,800","8,000","7,490","3.07M","-1.77%"
"2024- 02- 05","7,920","7,720","8,070","7,370","2.56K","0.38%"
"2024- 02- 04","7,890","7,890","7,890","7,890","","0.00%"
"2024- 02- 02","7,890","7,490","7,950","7,340","8.46M","5.48%"
"2024- 02- 01","7,480","6,510","7,790","6,470","18.33M","14.55%"
"2024- 01- 31","6,530","6,740","6,850","6,440","0.81K","-4.81%"
"2024- 01- 30","6,860","6,630","7,040","6,450","2.27K","4.89%"
"2024- 01- 29","6,540","6,150","6,660","6,090","0.55K","7.04%"
"2024- 01- 28","6,110","6,110","6,110","6,110","","0.00%"
"2024- 01- 26","6,110","6,200","6,270","6,020","548.12K","-0.97%"
"2024- 01- 25","6,170","5,920","6,260","5,910","0.12K","3.18%"
"2024- 01- 24","5,980","6,100","6,140","5,900","645.71K","-1.32%"
"2024- 01- 23","6,060","6,250","6,350","6,030","1.31M","-4.87%"
"2024- 01- 22","6,370","5,580","6,500","5,540","5.43M","14.16%"
"2024- 01- 21","5,580","5,580","5,580","5,580","","0.00%"
"2024- 01- 19","5,580","5,550","5,640","5,430","447.06K","0.54%"
"2024- 01- 18","5,550","5,410","5,630","5,410","551.20K","1.83%"
"2024- 01- 17","5,450","5,500","5,510","5,310","439.62K","0.00%"
"2024- 01- 16","5,450","5,460","5,530","5,360","0.00K","-0.55%"
"2024- 01- 15","5,480","5,300","5,580","5,290","891.44K","4.18%"
"2024- 01- 12","5,260","5,260","5,310","5,200","407.80K","0.00%"
"2024- 01- 11","5,260","5,270","5,330","5,240","0.10K","-0.57%"
"2024- 01- 10","5,290","5,330","5,340","5,240","326.30K","-0.56%"
"2024- 01- 09","5,320","5,260","5,330","5,220","0.01K","2.31%"
"2024- 01- 08","5,200","5,410","5,420","5,200","649.60K","-4.06%"
"2024- 01- 05","5,420","5,500","5,510","5,370","522.41K","-1.63%"
"2024- 01- 04","5,510","5,520","5,590","5,490","354.68K","-0.54%"
"2024- 01- 03","5,540","5,610","5,720","5,530","488.87K","-1.07%"
"2024- 01- 02","5,600","5,740","5,750","5,510","493.37K","-2.61%"
"2023- 12- 28","5,750","5,670","5,760","5,620","369.57K","2.13%"
"2023- 12- 27","5,630","5,800","5,850","5,530","673.41K","-3.60%"
"2023- 12- 26","5,840","5,890","5,940","5,810","0.05K","-0.34%"
"2023- 12- 22","5,860","5,800","5,890","5,750","422.20K","1.38%"
"2023- 12- 21","5,780","5,790","5,790","5,710","255.22K","-0.52%"
"2023- 12- 20","5,810","5,760","5,810","5,730","0.00K","1.40%"
"2023- 12- 19","5,730","5,700","5,810","5,700","430.73K","0.53%"
"2023- 12- 18","5,700","5,710","5,750","5,660","426.79K","-0.18%"
"2023- 12- 15","5,710","5,700","5,800","5,700","545.80K","-0.17%"
"2023- 12- 14","5,720","5,780","5,840","5,670","0.94K","0.35%"
"2023- 12- 13","5,700","5,840","5,840","5,700","270.74K","-1.55%"
"2023- 12- 12","5,790","5,760","5,860","5,740","503.64K","1.40%"
"2023- 12- 11","5,710","5,810","5,820","5,670","274.57K","-1.04%"
"2023- 12- 10","5,770","5,770","5,770","5,770","","0.00%"
"2023- 12- 08","5,770","5,610","5,810","5,570","383.30K","3.59%"
"2023- 12- 07","5,570","5,580","5,610","5,490","314.35K","-1.24%"
"2023- 12- 06","5,640","5,620","5,670","5,580","308.05K","0.71%"
