"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","57,000","57,700","58,200","56,600","112.20K","-0.52%"
"2024- 02- 15","57,300","58,400","58,800","57,100","123.74K","-1.04%"
"2024- 02- 14","57,900","58,700","61,000","56,600","176.63K","-3.02%"
"2024- 02- 13","59,700","62,600","62,600","59,400","0.04K","-3.71%"
"2024- 02- 08","62,000","61,900","62,900","61,200","208.54K","1.31%"
"2024- 02- 07","61,200","59,600","61,600","59,600","0.29K","3.73%"
"2024- 02- 06","59,000","57,300","59,400","57,300","118.97K","1.37%"
"2024- 02- 05","58,200","58,300","58,700","57,200","173.60K","0.00%"
"2024- 02- 02","58,200","57,000","58,800","56,200","141.36K","3.93%"
"2024- 02- 01","56,000","54,300","56,800","54,300","124.88K","1.27%"
"2024- 01- 31","55,300","56,400","57,500","55,100","160.98K","-2.98%"
"2024- 01- 30","57,000","58,400","58,900","56,600","93.82K","-2.06%"
"2024- 01- 29","58,200","57,400","59,400","57,100","187.91K","2.11%"
"2024- 01- 28","57,000","57,000","57,000","57,000","","0.00%"
"2024- 01- 26","57,000","56,100","57,500","56,000","126.69K","0.00%"
"2024- 01- 25","57,000","56,900","57,000","55,900","60.57K","1.06%"
"2024- 01- 24","56,400","56,500","57,000","55,500","91.61K","-0.18%"
"2024- 01- 23","56,500","56,800","56,800","55,800","70.38K","1.80%"
"2024- 01- 22","55,500","55,600","56,900","54,500","102.77K","0.91%"
"2024- 01- 19","55,000","55,600","56,000","54,800","361.48K","-0.90%"
"2024- 01- 18","55,500","55,700","56,300","55,200","86.08K","-0.36%"
"2024- 01- 17","55,700","54,200","56,400","54,200","180.17K","2.77%"
"2024- 01- 16","54,200","54,300","55,100","53,300","98.05K","-2.87%"
"2024- 01- 15","55,800","54,900","56,100","54,600","111.57K","1.64%"
"2024- 01- 12","54,900","55,000","55,000","53,800","57.32K","-0.18%"
"2024- 01- 11","55,000","55,400","56,000","54,500","83.28K","0.55%"
"2024- 01- 10","54,700","54,000","55,100","53,800","114.13K","2.05%"
"2024- 01- 09","53,600","54,900","54,900","53,200","77.65K","-0.74%"
"2024- 01- 08","54,000","54,000","54,300","53,300","107.39K","1.50%"
"2024- 01- 05","53,200","52,700","53,800","51,900","147.13K","-0.37%"
"2024- 01- 04","53,400","54,500","54,900","52,700","0.01K","-2.91%"
"2024- 01- 03","55,000","54,900","55,700","54,300","0.11K","-1.26%"
"2024- 01- 02","55,700","56,100","56,700","54,500","121.73K","-2.62%"
"2023- 12- 28","57,200","56,200","57,200","55,400","129.30K","2.88%"
"2023- 12- 27","55,600","57,100","57,100","53,900","0.06K","-4.30%"
"2023- 12- 26","58,100","56,600","58,300","56,100","181.82K","3.94%"
"2023- 12- 22","55,900","56,500","56,500","55,300","60.88K","-0.18%"
"2023- 12- 21","56,000","56,800","57,000","55,200","81.11K","-1.58%"
"2023- 12- 20","56,900","56,200","57,500","56,100","0.10K","1.61%"
"2023- 12- 19","56,000","55,600","56,500","55,200","97.52K","-0.18%"
"2023- 12- 18","56,100","55,000","56,600","54,900","128.72K","1.08%"
"2023- 12- 15","55,500","53,700","55,500","53,700","218.71K","2.59%"
"2023- 12- 14","54,100","55,200","55,200","53,400","263.78K","-1.10%"
"2023- 12- 13","54,700","55,600","56,000","54,500","65.82K","-1.26%"
"2023- 12- 12","55,400","55,200","56,200","54,600","168.42K","2.59%"
"2023- 12- 11","54,000","53,600","54,800","53,100","0.00K","1.69%"
"2023- 12- 08","53,100","54,500","54,600","52,600","103.84K","-1.12%"
"2023- 12- 07","53,700","53,600","54,800","52,700","97.81K","-0.74%"
"2023- 12- 06","54,100","52,700","55,300","52,600","153.86K","2.85%"
"2023- 12- 05","52,600","52,200","54,000","51,900","149.47K","1.74%"
"2023- 12- 04","51,700","51,200","52,600","50,800","0.01K","1.97%"
"2023- 12- 01","50,700","50,100","52,000","49,950","85.94K","1.40%"
"2023- 11- 30","50,000","50,300","50,500","49,500","0.01K","-0.79%"
"2023- 11- 29","50,400","52,100","52,700","50,200","135.12K","-4.36%"
"2023- 11- 28","52,700","51,900","53,000","51,400","153.31K","3.54%"
"2023- 11- 27","50,900","50,300","51,300","50,300","75.73K","1.19%"
"2023- 11- 24","50,300","50,500","51,000","49,900","44.34K","-0.40%"
"2023- 11- 23","50,500","51,000","51,800","49,800","100.50K","-1.37%"
"2023- 11- 22","51,200","50,600","51,600","50,200","48.34K","0.00%"
"2023- 11- 21","51,200","51,200","51,600","50,600","96.40K","0.39%"
"2023- 11- 20","51,000","51,600","51,700","50,400","91.30K","-1.73%"
"2023- 11- 17","51,900","52,300","53,600","51,800","90.24K","0.19%"
"2023- 11- 16","51,800","53,300","54,300","51,800","126.37K","-4.25%"
"2023- 11- 15","54,100","52,300","54,100","51,600","226.81K","6.08%"
"2023- 11- 14","51,000","51,700","52,200","51,000","83.53K","-0.58%"
"2023- 11- 13","51,300","52,000","52,300","50,900","0.01K","-0.97%"
"2023- 11- 12","51,800","51,800","51,800","51,800","","0.00%"
"2023- 11- 10","51,800","51,200","52,200","50,500","167.63K","1.37%"
"2023- 11- 09","51,100","48,050","52,500","47,550","0.01K","6.68%"
"2023- 11- 08","47,900","46,300","48,150","45,850","206.82K","4.47%"
"2023- 11- 07","45,850","45,100","45,850","44,500","124.73K","0.55%"
"2023- 11- 06","45,600","44,950","45,600","43,250","184.23K","2.24%"
"2023- 11- 03","44,600","44,700","44,900","44,000","66.54K","1.02%"
"2023- 11- 02","44,150","45,300","45,600","44,100","126.68K","-1.89%"
"2023- 11- 01","45,000","43,300","45,200","43,000","173.59K","4.17%"
"2023- 10- 31","43,200","44,000","44,550","43,050","164.25K","-0.80%"
"2023- 10- 30","43,550","42,200","43,900","42,100","143.84K","3.57%"
"2023- 10- 27","42,050","42,750","42,800","41,950","84.65K","0.24%"
"2023- 10- 26","41,950","42,700","42,750","41,700","115.12K","-0.83%"
"2023- 10- 25","42,300","42,250","42,650","41,950","132.62K","0.24%"
"2023- 10- 24","42,200","44,050","44,050","41,850","190.31K","-2.76%"
"2023- 10- 23","43,400","45,000","45,000","43,250","161.93K","-2.58%"
"2023- 10- 20","44,550","44,750","44,950","44,100","400.65K","-0.45%"
"2023- 10- 19","44,750","43,800","45,650","43,800","0.10K","1.94%"
"2023- 10- 18","43,900","44,000","44,750","43,700","420.45K","0.11%"
"2023- 10- 17","43,850","43,300","44,150","43,100","0.00K","2.21%"
"2023- 10- 16","42,900","42,100","43,300","42,000","300.26K","1.90%"
"2023- 10- 13","42,100","40,850","42,300","40,800","168.47K","2.06%"
"2023- 10- 12","41,250","41,100","41,400","40,700","293.15K","1.10%"
"2023- 10- 11","40,800","41,300","41,350","40,350","291.31K","-1.57%"
"2023- 10- 10","41,450","41,600","42,100","41,150","221.81K","0.73%"
"2023- 10- 09","41,150","41,150","41,150","41,150","","0.00%"
"2023- 10- 06","41,150","41,900","41,900","41,150","92.97K","-0.96%"
"2023- 10- 05","41,550","41,200","41,800","41,000","141.80K","1.22%"
"2023- 10- 04","41,050","40,300","41,250","40,300","269.12K","-0.61%"
"2023- 09- 27","41,300","40,550","41,550","40,550","127.36K","0.61%"
"2023- 09- 26","41,050","40,900","41,350","40,500","145.09K","-0.61%"
"2023- 09- 25","41,300","41,550","41,550","40,950","0.02K","0.00%"
"2023- 09- 22","41,300","41,650","42,000","40,950","152.45K","-1.67%"
"2023- 09- 21","42,000","43,000","43,150","41,850","210.49K","-2.10%"
"2023- 09- 20","42,900","42,550","43,000","42,400","0.06K","0.35%"
"2023- 09- 19","42,750","42,200","42,750","42,100","126.12K","0.83%"
"2023- 09- 18","42,400","43,000","43,150","42,100","178.20K","-1.17%"
"2023- 09- 17","42,900","42,900","42,900","42,900","","0.00%"
"2023- 09- 15","42,900","42,800","42,950","42,100","273.15K","1.54%"
"2023- 09- 14","42,250","42,300","43,050","42,100","251.40K","0.36%"
"2023- 09- 13","42,100","42,300","42,500","41,300","156.43K","-0.47%"
"2023- 09- 12","42,300","42,150","42,400","41,900","118.98K","1.08%"
