"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","303,000","310,000","312,500","302,000","539.58K","0.83%"
"2024- 02- 15","300,500","292,000","304,500","292,000","0.00K","5.25%"
"2024- 02- 14","285,500","270,000","289,500","265,500","549.02K","3.44%"
"2024- 02- 13","276,000","280,000","283,000","274,000","0.01K","-2.30%"
"2024- 02- 12","282,500","282,500","282,500","282,500","","0.00%"
"2024- 02- 08","282,500","274,500","285,500","272,000","662.22K","5.02%"
"2024- 02- 07","269,000","267,000","281,000","265,000","763.81K","3.46%"
"2024- 02- 06","260,000","262,000","263,500","254,500","296.95K","-1.89%"
"2024- 02- 05","265,000","264,500","269,000","259,000","0.10K","0.19%"
"2024- 02- 04","264,500","264,500","264,500","264,500","","0.00%"
"2024- 02- 02","264,500","263,500","267,500","256,000","448.84K","1.73%"
"2024- 02- 01","260,000","253,000","262,000","241,000","0.13K","2.56%"
"2024- 01- 31","253,500","251,000","260,500","251,000","0.02K","-0.20%"
"2024- 01- 30","254,000","265,000","270,500","254,000","0.24K","-1.55%"
"2024- 01- 29","258,000","269,500","269,500","256,000","0.12K","-3.37%"
"2024- 01- 28","267,000","267,000","267,000","267,000","","0.00%"
"2024- 01- 26","267,000","248,000","269,000","247,000","692.33K","6.37%"
"2024- 01- 25","251,000","258,000","259,000","246,500","0.04K","-3.83%"
"2024- 01- 24","261,000","265,000","268,500","257,000","437.43K","-1.69%"
"2024- 01- 23","265,500","261,000","272,000","260,500","0.22K","0.95%"
"2024- 01- 22","263,000","278,500","279,500","263,000","1.24K","-5.57%"
"2024- 01- 21","278,500","278,500","278,500","278,500","","0.00%"
"2024- 01- 19","278,500","287,000","291,500","274,000","485.06K","-2.11%"
"2024- 01- 18","284,500","289,000","296,500","283,000","0.04K","-1.39%"
"2024- 01- 17","288,500","302,000","302,000","288,500","0.22K","-4.94%"
"2024- 01- 16","303,500","300,500","309,500","300,500","0.18K","-0.82%"
"2024- 01- 15","306,000","310,000","313,000","302,500","0.01K","-2.55%"
"2024- 01- 14","314,000","314,000","314,000","314,000","","0.00%"
"2024- 01- 12","314,000","319,500","320,000","308,000","457.07K","-2.64%"
"2024- 01- 11","322,500","328,500","330,000","320,000","0.56K","0.62%"
"2024- 01- 10","320,500","325,500","329,000","319,000","321.98K","-2.14%"
"2024- 01- 09","327,500","333,500","336,000","327,000","0.13K","-0.91%"
"2024- 01- 08","330,500","342,500","342,500","328,500","0.04K","-3.64%"
"2024- 01- 07","343,000","343,000","343,000","343,000","","0.00%"
"2024- 01- 05","343,000","332,000","346,500","326,500","595.71K","3.78%"
"2024- 01- 04","330,500","325,000","334,000","322,500","0.02K","-0.45%"
"2024- 01- 03","332,000","347,000","347,000","332,000","0.02K","-5.68%"
"2024- 01- 02","352,000","359,000","362,000","351,000","325.24K","-1.95%"
"2023- 12- 28","359,000","357,500","362,000","353,500","338.71K","0.42%"
"2023- 12- 27","357,500","349,500","371,500","349,500","0.00K","2.73%"
"2023- 12- 26","348,000","351,500","356,000","344,500","0.01K","-1.97%"
"2023- 12- 25","355,000","355,000","355,000","355,000","","0.00%"
"2023- 12- 22","355,000","371,000","374,500","355,000","549.08K","-3.53%"
"2023- 12- 21","368,000","370,000","382,000","364,000","0.01K","0.00%"
"2023- 12- 20","368,000","366,500","372,000","364,000","0.39K","2.08%"
"2023- 12- 19","360,500","367,500","368,000","356,500","479.81K","-1.37%"
"2023- 12- 18","365,500","374,500","375,500","365,000","0.01K","1.39%"
"2023- 12- 17","360,500","360,500","360,500","360,500","","0.00%"
"2023- 12- 15","360,500","355,000","372,000","352,500","1.19M","3.00%"
"2023- 12- 14","350,000","335,000","350,000","331,500","0.00K","7.53%"
"2023- 12- 13","325,500","335,500","338,000","323,000","0.00K","-4.55%"
"2023- 12- 12","341,000","337,500","347,500","337,000","0.33K","0.29%"
"2023- 12- 11","340,000","343,000","348,000","338,500","611.67K","-0.87%"
"2023- 12- 10","343,000","343,000","343,000","343,000","","0.00%"
"2023- 12- 08","343,000","334,500","346,000","329,500","841.85K","2.54%"
"2023- 12- 07","334,500","328,000","338,500","316,500","3.39K","5.02%"
"2023- 12- 06","318,500","323,000","331,000","318,000","0.05K","-1.39%"
"2023- 12- 05","323,000","339,500","341,000","323,000","1.65K","-7.18%"
"2023- 12- 04","348,000","317,500","349,500","315,500","0.14K","10.83%"
"2023- 12- 03","314,000","314,000","314,000","314,000","","0.00%"
"2023- 12- 01","314,000","319,500","321,500","309,000","703.80K","-3.24%"
"2023- 11- 30","324,500","320,000","328,000","318,000","0.83K","-0.92%"
"2023- 11- 29","327,500","312,500","328,500","305,000","1.04M","7.55%"
"2023- 11- 28","304,500","300,000","310,000","300,000","0.00K","1.50%"
"2023- 11- 27","300,000","302,500","307,000","299,500","0.35K","-1.15%"
"2023- 11- 26","303,500","303,500","303,500","303,500","","0.00%"
"2023- 11- 24","303,500","310,500","322,000","303,500","746.86K","-0.82%"
"2023- 11- 23","306,000","303,500","306,500","299,000","0.03K","0.82%"
"2023- 11- 22","303,500","300,500","313,500","300,500","0.14K","0.00%"
"2023- 11- 21","303,500","303,000","306,500","296,500","0.13K","1.00%"
"2023- 11- 20","300,500","285,000","304,500","284,000","0.07K","5.07%"
"2023- 11- 19","286,000","286,000","286,000","286,000","","0.00%"
"2023- 11- 17","286,000","288,000","293,000","283,000","538.18K","-2.56%"
"2023- 11- 16","293,500","297,500","303,000","289,500","0.01K","-1.34%"
"2023- 11- 15","297,500","317,500","320,000","293,000","1.11M","0.68%"
"2023- 11- 14","295,500","281,500","302,000","279,500","0.02K","7.65%"
"2023- 11- 13","274,500","284,500","289,000","274,000","0.58K","-0.90%"
"2023- 11- 12","277,000","277,000","277,000","277,000","","0.00%"
"2023- 11- 10","277,000","281,500","284,000","274,000","666.85K","-4.97%"
"2023- 11- 09","291,500","306,000","308,000","282,000","0.05K","-2.83%"
"2023- 11- 08","300,000","307,000","324,500","296,500","1.35M","-3.54%"
"2023- 11- 07","311,000","347,500","359,500","300,000","0.77K","-11.02%"
"2023- 11- 06","349,500","320,000","349,500","308,500","0.75K","29.93%"
"2023- 11- 05","269,000","269,000","269,000","269,000","","0.00%"
"2023- 11- 03","269,000","271,500","272,500","260,000","1.31M","3.66%"
"2023- 11- 02","259,500","242,000","259,500","240,500","1.11M","11.13%"
"2023- 11- 01","233,500","241,000","246,000","231,500","0.01K","-1.27%"
"2023- 10- 31","236,500","254,000","254,000","233,000","0.04K","-7.44%"
"2023- 10- 30","255,500","248,500","258,500","247,500","4.84K","1.59%"
"2023- 10- 29","251,500","251,500","251,500","251,500","","0.00%"
"2023- 10- 27","251,500","251,500","260,000","247,000","1.23M","0.80%"
"2023- 10- 26","249,500","260,500","267,000","249,000","1.21K","-8.94%"
"2023- 10- 25","274,000","306,000","306,000","274,000","1.55M","-10.16%"
"2023- 10- 24","305,000","305,500","312,000","291,500","0.34K","1.16%"
"2023- 10- 23","301,500","298,500","310,500","296,000","1.44K","0.50%"
"2023- 10- 22","300,000","300,000","300,000","300,000","","0.00%"
"2023- 10- 20","300,000","310,500","312,000","298,000","953.64K","-5.66%"
"2023- 10- 19","318,000","322,500","324,500","316,000","0.01K","-4.79%"
"2023- 10- 18","334,000","340,000","342,500","332,000","0.01K","-2.05%"
"2023- 10- 17","341,000","341,500","352,000","340,000","0.14K","1.79%"
"2023- 10- 16","335,000","335,500","339,500","329,000","600.06K","-3.74%"
"2023- 10- 15","348,000","348,000","348,000","348,000","","0.00%"
"2023- 10- 13","348,000","350,000","360,000","344,000","512.42K","0.00%"
"2023- 10- 12","348,000","343,000","364,000","339,500","0.14K","2.05%"
"2023- 10- 11","341,000","323,500","344,500","320,000","699.35K","8.43%"
"2023- 10- 10","314,500","336,000","338,500","313,500","0.00K","-5.56%"
"2023- 10- 09","333,000","333,000","333,000","333,000","","0.00%"
"2023- 10- 06","333,000","330,000","338,500","327,500","308.48K","0.00%"
"2023- 10- 05","333,000","343,500","347,500","332,500","0.16K","-0.89%"
"2023- 10- 04","336,000","352,500","354,000","335,500","0.06K","-6.54%"
"2023- 10- 03","359,500","359,500","359,500","359,500","","0.00%"
"2023- 09- 27","359,500","363,000","366,000","349,000","859.30K","-2.31%"
"2023- 09- 26","368,000","370,500","380,500","366,000","0.03K","-0.27%"
"2023- 09- 25","369,000","391,000","392,000","369,000","0.20K","-6.82%"
"2023- 09- 24","396,000","396,000","396,000","396,000","","0.00%"
"2023- 09- 22","396,000","390,000","397,500","385,000","412.91K","-0.50%"
"2023- 09- 21","398,000","407,000","411,500","396,000","363.06K","-3.16%"
"2023- 09- 20","411,000","399,000","411,500","397,000","0.07K","3.66%"
"2023- 09- 19","396,500","411,500","414,500","396,500","0.17K","-3.41%"
"2023- 09- 18","410,500","408,500","419,500","405,000","0.35K","0.49%"
"2023- 09- 17","408,500","408,500","408,500","408,500","","0.00%"
"2023- 09- 15","408,500","403,000","417,000","398,500","575.30K","1.74%"
"2023- 09- 14","401,500","389,500","409,500","389,000","0.38K","3.75%"
"2023- 09- 13","387,000","391,000","399,000","385,000","0.13K","-2.52%"
"2023- 09- 12","397,000","411,500","414,500","394,500","0.03K","-2.58%"
"2023- 09- 11","407,500","419,000","420,500","403,500","473.59K","-2.51%"
"2023- 09- 10","418,000","418,000","418,000","418,000","","0.00%"
"2023- 09- 08","418,000","411,500","419,500","408,000","501.97K","1.33%"
"2023- 09- 07","412,500","431,500","436,000","411,000","0.14K","-5.82%"
"2023- 09- 06","438,000","452,000","459,500","436,000","0.02K","-3.10%"
"2023- 09- 05","452,000","441,000","458,000","435,500","0.78K","2.49%"
"2023- 09- 04","441,000","422,500","444,500","422,500","491.97K","2.32%"
"2023- 09- 03","431,000","431,000","431,000","431,000","","0.00%"
"2023- 09- 01","431,000","449,500","450,000","431,000","567.96K","-4.12%"
"2023- 08- 31","449,500","453,500","457,000","444,500","0.15K","-0.88%"
"2023- 08- 30","453,500","464,000","469,000","452,000","0.21K","-0.33%"
"2023- 08- 29","455,000","476,500","484,000","454,500","0.25K","-3.60%"
"2023- 08- 28","472,000","473,500","474,000","462,500","608.02K","2.05%"
"2023- 08- 27","462,500","462,500","462,500","462,500","","0.00%"
"2023- 08- 25","462,500","455,000","467,000","449,500","830.48K","-1.39%"
"2023- 08- 24","469,000","426,500","474,500","418,500","0.18K","11.14%"
"2023- 08- 23","422,000","438,500","439,000","420,500","0.06K","-3.65%"
"2023- 08- 22","438,000","432,500","445,500","430,500","584.96K","2.82%"
"2023- 08- 21","426,000","417,500","437,500","414,000","0.07K","2.04%"
"2023- 08- 20","417,500","417,500","417,500","417,500","","0.00%"
"2023- 08- 18","417,500","421,000","429,000","412,000","469.72K","-1.65%"
"2023- 08- 17","424,500","408,500","425,500","400,000","0.49K","3.41%"
"2023- 08- 16","410,500","426,000","429,500","410,000","1.23K","-5.41%"
"2023- 08- 15","434,000","434,000","434,000","434,000","","0.00%"
"2023- 08- 14","434,000","431,000","440,500","423,000","446.53K","-1.48%"
"2023- 08- 13","440,500","440,500","440,500","440,500","","0.00%"
"2023- 08- 11","440,500","459,000","459,000","436,000","388.16K","-2.54%"
"2023- 08- 10","452,000","451,000","454,500","443,000","422.30K","-0.88%"
"2023- 08- 09","456,000","443,000","465,000","439,500","0.13K","2.01%"
"2023- 08- 08","447,000","439,500","449,000","430,500","0.20K","1.82%"
"2023- 08- 07","439,000","469,000","472,000","436,000","0.37K","-8.64%"
"2023- 08- 06","480,500","480,500","480,500","480,500","","0.00%"
"2023- 08- 04","480,500","492,000","495,000","478,000","477.44K","-1.64%"
"2023- 08- 03","488,500","492,500","497,000","472,500","1.42K","0.51%"
"2023- 08- 02","486,000","491,000","511,000","484,500","2.43K","-4.52%"
"2023- 08- 01","509,000","528,000","535,000","501,000","0.04K","-3.42%"
"2023- 07- 31","527,000","516,000","541,000","510,000","1.11M","3.33%"
"2023- 07- 30","510,000","510,000","510,000","510,000","","0.00%"
"2023- 07- 28","510,000","473,000","510,000","464,000","1.95M","4.94%"
"2023- 07- 27","486,000","547,000","561,000","484,000","3.07M","-13.21%"
"2023- 07- 26","560,000","600,000","694,000","523,000","5.97M","-6.35%"
"2023- 07- 25","598,000","570,000","603,000","553,000","2.72M","10.33%"
"2023- 07- 24","542,000","510,000","553,000","503,000","3.05M","10.50%"
"2023- 07- 23","490,500","490,500","490,500","490,500","","0.00%"
"2023- 07- 21","490,500","448,000","496,000","447,500","2.07M","5.60%"
"2023- 07- 20","464,500","462,000","471,500","450,000","1.46M","-3.23%"
"2023- 07- 19","480,000","464,000","483,000","458,000","0.53K","4.80%"
"2023- 07- 18","458,000","410,500","460,000","409,000","0.01K","13.23%"
"2023- 07- 17","404,500","402,000","413,500","397,500","0.00K","0.87%"
"2023- 07- 16","401,000","401,000","401,000","401,000","","0.00%"
"2023- 07- 14","401,000","391,500","403,000","389,500","829.42K","3.22%"
"2023- 07- 13","388,500","390,000","394,000","386,000","0.02K","-0.38%"
"2023- 07- 12","390,000","398,000","399,000","385,500","2.07K","-1.52%"
"2023- 07- 11","396,000","411,500","414,000","389,500","0.61K","-2.94%"
"2023- 07- 10","408,000","408,000","420,000","401,500","1.66M","2.38%"
"2023- 07- 09","398,500","398,500","398,500","398,500","","0.00%"
"2023- 07- 07","398,500","368,500","400,000","368,000","1.12M","6.69%"
"2023- 07- 06","373,500","384,000","384,500","372,500","0.02K","-1.97%"
"2023- 07- 05","381,000","375,000","383,000","373,000","530.99K","1.60%"
"2023- 07- 04","375,000","369,500","386,000","368,000","0.05K","1.63%"
"2023- 07- 03","369,000","358,000","372,000","356,500","4.21K","4.53%"
"2023- 07- 02","353,000","353,000","353,000","353,000","","0.00%"
"2023- 06- 30","353,000","350,500","355,500","344,500","448.90K","0.86%"
"2023- 06- 29","350,000","351,500","358,500","348,000","0.00K","0.14%"
"2023- 06- 28","349,500","368,000","369,500","349,000","0.02K","-4.25%"
"2023- 06- 27","365,000","372,500","372,500","359,000","0.01K","-2.41%"
"2023- 06- 26","374,000","373,000","380,000","372,000","0.03K","-0.27%"
"2023- 06- 25","375,000","375,000","375,000","375,000","","0.00%"
"2023- 06- 23","375,000","380,000","382,500","373,000","326.26K","-0.53%"
"2023- 06- 22","377,000","370,500","379,000","369,500","0.21K","0.80%"
"2023- 06- 21","374,000","377,000","383,000","373,000","1.43K","0.13%"
"2023- 06- 20","373,500","381,000","382,500","372,000","0.65K","-2.48%"
"2023- 06- 19","383,000","382,000","384,500","372,000","0.54K","0.39%"
"2023- 06- 18","381,500","381,500","381,500","381,500","","0.00%"
"2023- 06- 16","381,500","376,500","381,500","365,500","751.26K","2.01%"
"2023- 06- 15","374,000","379,500","386,000","365,500","0.08K","0.27%"
"2023- 06- 14","373,000","397,500","399,500","371,500","0.94K","-5.09%"
"2023- 06- 13","393,000","392,000","400,000","383,000","0.01K","1.16%"
"2023- 06- 12","388,500","389,500","395,500","388,000","0.01K","0.52%"
"2023- 06- 11","386,500","386,500","386,500","386,500","","0.00%"
"2023- 06- 09","386,500","392,000","395,000","385,500","707.12K","0.39%"
"2023- 06- 08","385,000","381,500","396,500","380,000","1.32K","0.00%"
"2023- 06- 07","385,000","384,500","387,500","376,000","906.70K","1.32%"
"2023- 06- 06","380,000","380,000","380,000","380,000","","0.00%"
"2023- 06- 05","380,000","380,500","395,000","377,000","1.20M","1.60%"
"2023- 06- 04","374,000","374,000","374,000","374,000","","0.00%"
"2023- 06- 02","374,000","361,500","381,500","358,500","1.45M","4.03%"
"2023- 06- 01","359,500","351,500","359,500","347,500","851.62K","2.71%"
"2023- 05- 31","350,000","343,000","350,000","338,500","0.76K","2.49%"
"2023- 05- 30","341,500","331,500","342,000","329,500","0.04K","5.40%"
"2023- 05- 29","324,000","324,000","324,000","324,000","","0.00%"
"2023- 05- 26","324,000","326,000","330,500","321,000","473.91K","-0.92%"
"2023- 05- 25","327,000","329,500","336,000","326,000","576.40K","-1.95%"
