"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","9,930","9,960","10,020","9,840","516.70K","0.10%"
"2024- 02- 15","9,920","9,990","10,010","9,910","0.15K","0.10%"
"2024- 02- 14","9,910","9,790","9,980","9,790","0.00K","-0.70%"
"2024- 02- 13","9,980","9,890","10,160","9,880","0.15K","1.73%"
"2024- 02- 08","9,810","9,700","9,900","9,670","661.85K","1.45%"
"2024- 02- 07","9,670","9,700","9,740","9,560","0.06K","0.73%"
"2024- 02- 06","9,600","9,600","9,730","9,410","380.12K","0.00%"
"2024- 02- 05","9,600","9,680","9,780","9,380","0.01K","-0.52%"
"2024- 02- 04","9,650","9,650","9,650","9,650","","0.00%"
"2024- 02- 02","9,650","9,330","9,820","9,310","697.83K","3.54%"
"2024- 02- 01","9,320","9,170","9,380","9,140","0.01K","0.11%"
"2024- 01- 31","9,310","9,360","9,520","9,260","0.05K","0.65%"
"2024- 01- 30","9,250","10,030","10,040","9,220","0.08K","-4.84%"
"2024- 01- 29","9,720","10,750","11,160","9,720","7.75K","-9.16%"
"2024- 01- 28","10,700","10,700","10,700","10,700","","0.00%"
"2024- 01- 26","10,700","10,790","10,830","10,540","1.21M","-1.47%"
"2024- 01- 25","10,860","10,870","10,930","10,410","0.49K","0.65%"
"2024- 01- 24","10,790","10,080","11,310","9,970","11.01M","9.99%"
"2024- 01- 23","9,810","9,560","9,840","9,560","320.89K","2.62%"
"2024- 01- 22","9,560","9,740","9,800","9,550","279.52K","-0.93%"
"2024- 01- 21","9,650","9,650","9,650","9,650","","0.00%"
"2024- 01- 19","9,650","9,380","9,720","9,370","414.08K","3.43%"
"2024- 01- 18","9,330","9,400","9,510","9,310","0.10K","-1.17%"
