"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","39,950","40,150","40,400","39,600","107.37K","0.25%"
"2024- 02- 15","39,850","41,000","41,000","39,550","150.69K","-1.97%"
"2024- 02- 14","40,650","41,200","41,600","40,500","102.77K","-2.98%"
"2024- 02- 13","41,900","40,900","41,900","40,500","190.95K","4.49%"
"2024- 02- 08","40,100","41,600","41,950","40,100","149.97K","-3.02%"
"2024- 02- 07","41,350","41,650","41,700","40,650","95.36K","0.49%"
"2024- 02- 06","41,150","40,150","41,600","40,150","80.35K","1.60%"
"2024- 02- 05","40,500","40,950","41,650","40,050","0.00K","-2.17%"
"2024- 02- 02","41,400","40,050","41,500","39,750","147.71K","3.37%"
"2024- 02- 01","40,050","39,800","40,700","39,800","84.89K","-1.23%"
"2024- 01- 31","40,550","40,000","40,550","39,800","59.95K","0.00%"
"2024- 01- 30","40,550","40,250","40,800","39,900","75.35K","0.12%"
"2024- 01- 29","40,500","40,300","41,000","39,850","95.90K","0.87%"
"2024- 01- 26","40,150","40,000","40,550","39,850","46.00K","-0.62%"
"2024- 01- 25","40,400","39,700","40,400","39,550","92.27K","2.41%"
"2024- 01- 24","39,450","39,950","40,000","39,050","59.96K","-1.25%"
"2024- 01- 23","39,950","40,000","40,050","39,600","107.99K","0.38%"
"2024- 01- 22","39,800","40,100","40,100","39,550","78.34K","-0.50%"
"2024- 01- 19","40,000","39,200","40,000","39,100","122.62K","2.04%"
"2024- 01- 18","39,200","39,350","39,350","38,750","63.41K","0.26%"
"2024- 01- 17","39,100","39,350","39,400","38,700","109.36K","-0.38%"
"2024- 01- 16","39,250","39,000","39,250","38,650","88.22K","-0.76%"
"2024- 01- 15","39,550","39,200","39,550","38,750","81.81K","0.89%"
"2024- 01- 12","39,200","38,900","39,650","38,000","101.14K","0.64%"
"2024- 01- 11","38,950","39,200","39,500","38,750","71.62K","0.26%"
"2024- 01- 10","38,850","38,650","39,050","38,550","40.48K","-0.13%"
"2024- 01- 09","38,900","39,350","39,400","38,900","49.89K","-0.38%"
"2024- 01- 08","39,050","38,400","39,300","38,400","57.65K","1.69%"
"2024- 01- 05","38,400","38,350","38,550","38,100","34.67K","-1.16%"
"2024- 01- 04","38,850","38,450","39,050","38,100","50.52K","1.17%"
"2024- 01- 03","38,400","37,800","38,800","37,700","66.97K","1.05%"
"2024- 01- 02","38,000","38,100","38,550","37,900","60.85K","-1.81%"
"2023- 12- 28","38,700","38,700","39,200","38,350","80.99K","0.26%"
"2023- 12- 27","38,600","38,300","38,600","37,150","87.13K","0.65%"
"2023- 12- 26","38,350","39,000","39,100","38,200","111.83K","-0.78%"
"2023- 12- 22","38,650","38,400","38,950","37,700","127.84K","1.05%"
"2023- 12- 21","38,250","38,400","38,400","37,800","118.52K","-0.39%"
"2023- 12- 20","38,400","38,250","38,400","37,800","373.22K","0.92%"
"2023- 12- 19","38,050","37,600","38,150","37,600","67.89K","0.40%"
"2023- 12- 18","37,900","37,600","38,050","37,100","121.93K","-0.13%"
