"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","49,750","49,300","49,900","49,250","227.94K","1.43%"
"2024- 02- 15","49,050","49,200","49,700","48,800","221.06K","0.51%"
"2024- 02- 14","48,800","49,200","49,200","48,000","433.15K","-1.61%"
"2024- 02- 13","49,600","50,100","50,400","49,300","0.01K","-1.00%"
"2024- 02- 12","50,100","50,100","50,100","50,100","","0.00%"
"2024- 02- 08","50,100","49,950","50,300","49,550","233.03K","0.30%"
"2024- 02- 07","49,950","49,800","50,300","49,350","202.16K","0.50%"
"2024- 02- 06","49,700","49,300","50,000","48,150","256.32K","0.61%"
"2024- 02- 05","49,400","51,300","51,300","49,400","0.58K","-3.52%"
"2024- 02- 04","51,200","51,200","51,200","51,200","","0.00%"
"2024- 02- 02","51,200","50,400","51,200","50,000","230.38K","2.20%"
"2024- 02- 01","50,100","49,550","50,200","48,700","274.94K","0.50%"
"2024- 01- 31","49,850","50,600","51,200","49,850","0.00K","-1.68%"
"2024- 01- 30","50,700","50,900","51,200","50,400","0.00K","0.40%"
"2024- 01- 29","50,500","50,600","51,600","50,200","240.10K","0.20%"
"2024- 01- 28","50,400","50,400","50,400","50,400","","0.00%"
"2024- 01- 26","50,400","50,300","51,100","50,300","136.06K","-0.40%"
"2024- 01- 25","50,600","50,900","51,400","49,950","0.04K","-0.59%"
"2024- 01- 24","50,900","51,600","51,900","50,600","133.39K","-1.55%"
"2024- 01- 23","51,700","51,800","51,800","50,900","0.01K","-0.19%"
"2024- 01- 22","51,800","52,500","52,700","51,600","287.89K","0.19%"
"2024- 01- 19","51,700","51,500","52,200","51,300","210.06K","2.38%"
"2024- 01- 18","50,500","49,800","51,000","49,800","171.38K","1.41%"
"2024- 01- 17","49,800","50,900","51,400","49,700","0.11K","-1.39%"
"2024- 01- 16","50,500","51,200","51,600","50,400","176.62K","-1.56%"
"2024- 01- 15","51,300","51,800","52,100","51,200","126.34K","-1.16%"
"2024- 01- 14","51,900","51,900","51,900","51,900","","0.00%"
"2024- 01- 12","51,900","53,000","53,200","51,300","231.19K","-1.70%"
"2024- 01- 11","52,800","52,500","53,300","52,100","0.03K","0.00%"
"2024- 01- 10","52,800","51,900","52,800","51,800","186.67K","1.73%"
"2024- 01- 09","51,900","52,300","52,800","51,300","263.86K","1.17%"
