"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 16","404,500","394,000","408,500","394,000","497.88K","4.79%"
"2024- 02- 15","386,000","393,000","393,000","385,500","256.50K","-0.13%"
"2024- 02- 14","386,500","385,000","390,000","381,000","0.02K","-1.15%"
"2024- 02- 13","391,000","391,500","393,000","386,000","0.01K","1.56%"
"2024- 02- 12","385,000","385,000","385,000","385,000","","0.00%"
"2024- 02- 08","385,000","393,000","394,500","385,000","364.10K","0.79%"
"2024- 02- 07","382,000","378,000","395,000","378,000","445.82K","2.14%"
"2024- 02- 06","374,000","382,500","385,000","374,000","346.62K","-3.36%"
"2024- 02- 05","387,000","395,500","399,000","387,000","0.22K","-1.53%"
"2024- 02- 04","393,000","393,000","393,000","393,000","","0.00%"
"2024- 02- 02","393,000","377,000","395,000","376,500","378.28K","4.11%"
"2024- 02- 01","377,500","369,000","379,500","366,000","0.00K","1.34%"
"2024- 01- 31","372,500","371,500","385,000","369,000","0.06K","-0.53%"
"2024- 01- 30","374,500","383,000","390,000","373,500","0.10K","-1.19%"
"2024- 01- 29","379,000","364,000","383,500","361,000","0.01K","5.13%"
"2024- 01- 26","360,500","342,500","366,000","342,000","594.44K","3.74%"
"2024- 01- 25","347,500","351,000","353,000","345,000","0.06K","-1.84%"
"2024- 01- 24","354,000","358,500","361,500","350,000","514.35K","-1.26%"
"2024- 01- 23","358,500","355,000","362,000","355,000","0.01K","0.14%"
"2024- 01- 22","358,000","374,000","376,000","358,000","551.80K","-4.28%"
"2024- 01- 21","374,000","374,000","374,000","374,000","","0.00%"
"2024- 01- 19","374,000","380,000","384,500","373,500","317.09K","-0.66%"
"2024- 01- 18","376,500","372,000","388,000","367,500","0.00K","-0.66%"
"2024- 01- 17","379,000","395,000","397,500","379,000","0.24K","-4.05%"
"2024- 01- 16","395,000","398,500","405,500","395,000","0.02K","-1.25%"
"2024- 01- 15","400,000","400,000","404,000","396,500","336.30K","-1.96%"
"2024- 01- 14","408,000","408,000","408,000","408,000","","0.00%"
"2024- 01- 12","408,000","417,000","418,500","405,500","365.82K","-2.04%"
"2024- 01- 11","416,500","419,000","421,500","416,500","0.48K","0.00%"
"2024- 01- 10","416,500","431,000","431,500","416,500","0.02K","-3.59%"
"2024- 01- 09","432,000","441,000","442,000","432,000","0.09K","-0.92%"
"2024- 01- 08","436,000","445,000","446,000","435,500","212.83K","-2.02%"
"2024- 01- 07","445,000","445,000","445,000","445,000","","0.00%"
"2024- 01- 05","445,000","445,500","449,000","442,000","171.28K","0.00%"
"2024- 01- 04","445,000","444,500","448,500","440,500","0.04K","-0.34%"
"2024- 01- 03","446,500","461,000","461,000","446,500","0.00K","-4.39%"
"2024- 01- 02","467,000","472,000","472,000","463,000","0.02K","-1.06%"
"2023- 12- 28","472,000","463,500","472,000","458,000","299.38K","3.62%"
"2023- 12- 27","455,500","451,000","459,000","450,000","172.13K","1.90%"
"2023- 12- 26","447,000","454,000","456,500","446,500","140.12K","-0.78%"
"2023- 12- 25","450,500","450,500","450,500","450,500","","0.00%"
"2023- 12- 22","450,500","454,000","457,000","450,500","165.50K","-0.11%"
"2023- 12- 21","451,000","453,000","456,500","450,000","0.08K","-2.38%"
"2023- 12- 20","462,000","454,000","463,000","453,000","0.01K","2.55%"
"2023- 12- 19","450,500","450,000","452,500","446,500","0.00K","-0.22%"
"2023- 12- 18","451,500","458,000","458,500","450,000","0.01K","-0.22%"
"2023- 12- 17","452,500","452,500","452,500","452,500","","0.00%"
"2023- 12- 15","452,500","459,500","467,000","449,000","475.48K","0.89%"
"2023- 12- 14","448,500","436,500","450,500","431,000","0.01K","4.42%"
"2023- 12- 13","429,500","442,000","443,000","429,000","307.88K","-3.59%"
"2023- 12- 12","445,500","446,000","449,500","443,000","0.03K","-0.11%"
"2023- 12- 11","446,000","455,500","456,500","440,500","0.17K","-0.89%"
